embedding_set,group_id,n_embeddings,median_within_group_abs_spearman,top_trait,top_trait_category,top_trait_rho,top_trait_p,top_trait_n,top_field_trait,top_field_trait_category,top_field_trait_rho,top_field_trait_p,top_field_trait_n,example_embeddings
sam3,16,3,0.07594527639492447,NE2025_image__leaf_pixels,image_leaf_size,-0.7079574590809432,7.343195125422995e-147,960,MI2020__leaf_width_cm,architecture,-0.3999487907037884,3.4932904149203372e-15,358,embedding_std_298;embedding_std_399;embedding_std_802
sam3,18,3,0.2597538386277853,NE2025_image__leaf_pixels,image_leaf_size,0.6913221413829195,2.3147771991250573e-137,960,NE2021__leaf_width_cm,architecture,0.391566734003065,1.1339487370999443e-18,470,embedding_std_94;embedding_std_175;embedding_std_703
sam3,20,3,0.7625211580105274,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8077680334487556,4.240703001021299e-222,960,MI2020__leaf_width_cm,architecture,-0.4100298304636645,5.993389307803716e-16,358,embedding_mean_537;embedding_mean_565;embedding_mean_932
sam3,22,3,0.5295087190575187,NE2025_image__leaf_pixels,image_leaf_size,0.5061869999451697,1.336493137990755e-63,960,MI2021__stem_diameter_lower_mm,architecture,0.2647581009003729,3.197071543082021e-07,362,embedding_mean_228;embedding_mean_272;embedding_mean_760
sam3,26,3,0.3829242204350162,NE2025__seed_red_intensity,seed_color,-0.3820796752637949,3.5315012898420003e-12,309,NE2025__seed_red_intensity,seed_color,-0.3820796752637949,3.5315012898420003e-12,309,embedding_mean_340;embedding_std_253;embedding_std_358
sam3,30,3,0.7010079890186909,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6601237829609538,3.474338480125766e-121,960,NE2020__stem_diameter_lower_mm,architecture,-0.4045192830610734,7.169796680116745e-14,316,embedding_mean_577;embedding_std_711;embedding_std_897
sam3,35,3,0.07359876116835688,NE2023__starch_pct,composition,-0.23468809355112744,3.6900374220530685e-05,303,NE2023__starch_pct,composition,-0.23468809355112744,3.6900374220530685e-05,303,embedding_mean_996;embedding_mean_997;embedding_std_1005
sam3,39,3,0.5673032385302574,NE2025_image__log_leaf_pixels,image_leaf_size,-0.3855681987148721,2.1935741760339752e-35,960,NE2025__seed_mass_g,yield,-0.2642036756730452,1.1131318550342554e-15,890,embedding_mean_146;embedding_std_444;embedding_std_586
sam3,47,3,0.6498958130446179,NE2025_image__percentUnhealthy,disease_severity,0.6811787127450174,5.127765357872115e-132,961,NE2025__seed_mass_g,yield,-0.377053334200885,1.8994796921062788e-31,890,embedding_mean_117;embedding_mean_150;embedding_mean_698
sam3,53,3,0.25308920643829547,NE2025_image__leaf_pixels,image_leaf_size,-0.4572645169474977,8.952125149136728e-51,960,MI2020__leaf_width_cm,architecture,-0.24081825551288796,4.054689783808141e-06,358,embedding_mean_832;embedding_std_81;embedding_std_454
sam3,63,3,0.166638415422617,NE2025_image__percentUnhealthy,disease_severity,0.4160417512653521,1.62438784639207e-41,961,NE2020__stem_diameter_upper_mm,architecture,0.29859004149115975,6.276264838717136e-08,316,embedding_mean_59;embedding_mean_846;embedding_std_89
sam3,64,3,0.5918788056447142,NE2025_image__percentUnhealthy,disease_severity,0.5371407627826681,6.189801475272128e-73,961,AL2022__days_to_flower,phenology,-0.1892809392958171,0.00031034395659547805,359,embedding_mean_155;embedding_mean_210;embedding_std_785
sam3,75,3,0.4985199043326995,NE2025_image__percentUnhealthy,disease_severity,0.2875994168486396,9.298651775754605e-20,961,NE2020__days_to_flower,phenology,-0.19392727953284697,0.0005057881223495969,318,embedding_mean_740;embedding_mean_1022;embedding_std_1022
sam3,77,3,0.44561853999130185,NE2025_image__log_leaf_pixels,image_leaf_size,-0.4845131458593909,1.1624187855616995e-57,960,MI2020__leaf_width_cm,architecture,-0.2592545176579482,6.576811834674401e-07,358,embedding_std_674;embedding_std_823;embedding_std_828
sam3,92,3,0.6008155193200176,NE2025_image__percentUnhealthy,disease_severity,0.4387069893376345,1.782543700397085e-46,961,NE2025__seed_red_intensity,seed_color,-0.2158679413737048,0.00013108030433344934,309,embedding_std_335;embedding_std_344;embedding_std_837
sam3,98,3,0.6985768417500137,NE2025_image__log_leaf_pixels,image_leaf_size,-0.2864207440184086,1.388391773788914e-19,960,NE2021__ash_pct,composition,0.2718045318178754,1.036205653695167e-14,782,embedding_mean_136;embedding_std_359;embedding_std_413
sam3,100,3,0.37351904405172665,NE2025_image__human_score,disease_severity,-0.3200172138521313,1.0469171703615004e-15,598,NE2020__leaf_angle_median_degrees,architecture,-0.24416975510299133,1.063419941582336e-05,318,embedding_mean_0;embedding_std_70;embedding_std_292
sam3,101,3,0.2609209475138015,NE2025_image__human_score,disease_severity,0.4102874145397862,1.101644564913736e-25,598,NE2020__seed_mass_g,yield,-0.21956147840762777,9.21113550857334e-05,312,embedding_mean_142;embedding_mean_754;embedding_std_266
sam3,105,3,0.7066896496334188,NE2025_image__leaf_pixels,image_leaf_size,0.4280300416654314,4.771283826420329e-44,960,MI2021__stem_diameter_lower_mm,architecture,0.3120233597443306,1.2928739350987773e-09,362,embedding_mean_199;embedding_mean_419;embedding_mean_806
sam3,1,2,0.5327604188814535,NE2025_image__percentUnhealthy,disease_severity,-0.5747795042068273,1.3736651065080843e-85,961,AL2022__days_to_flower,phenology,0.2679673277283927,2.5483564236882127e-07,359,embedding_mean_430;embedding_mean_746
sam3,2,2,0.5307345231058624,NE2025_image__leaf_pixels,image_leaf_size,0.6156278222468722,3.256588287220719e-101,960,NE2020__leaf_width_cm,architecture,0.38907171942011787,6.724156653036989e-13,317,embedding_mean_121;embedding_mean_406
sam3,4,2,0.39840483625962947,NE2025_image__percentUnhealthy,disease_severity,0.29788595329703904,3.8171147578158674e-21,961,NE2025__seed_mass_g,yield,-0.2855828400950276,3.644271986833694e-18,890,embedding_mean_33;embedding_mean_391
sam3,8,2,0.30109560922732304,NE2025_image__log_leaf_pixels,image_leaf_size,-0.5871046759889452,5.235813981232723e-90,960,NE2025__seed_red_intensity,seed_color,-0.2656467793734051,2.178871629392001e-06,309,embedding_mean_743;embedding_mean_838
sam3,9,2,0.6119921308459979,NE2025_image__log_leaf_pixels,image_leaf_size,-0.41067652921049025,2.3476131633708685e-40,960,NE2025__seed_red_intensity,seed_color,-0.27938770156304915,6.006062591367522e-07,309,embedding_mean_953;embedding_std_184
sam3,12,2,0.2724254055269858,NE2025_image__log_leaf_pixels,image_leaf_size,-0.34983363763347136,5.094113275299778e-29,960,NE2020__seed_mass_g,yield,-0.28228037493637753,3.9881908734478957e-07,312,embedding_mean_716;embedding_std_634
sam3,23,2,0.21861134560856818,NE2025_image__log_leaf_pixels,image_leaf_size,-0.4924214615683354,8.861022042303712e-60,960,NE2025__leaf_number,architecture,-0.2203597060808808,2.641478393616866e-11,895,embedding_mean_308;embedding_std_275
sam3,24,2,0.23124736887543326,NE2025_image__log_leaf_pixels,image_leaf_size,-0.2700144343380495,1.682931441069726e-17,960,NE2020__leaf_angle_median_degrees,architecture,-0.14361410192766916,0.010340591170474265,318,embedding_mean_824;embedding_std_357
sam3,40,2,0.653725425626124,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6376513099199753,1.0956162740514861e-110,960,NE2025__seed_mass_g,yield,-0.4339551278904278,3.59467236889912e-42,890,embedding_std_98;embedding_std_707
sam3,43,2,0.4216643999643313,NE2025_image__log_leaf_pixels,image_leaf_size,-0.5468003316932392,5.942650858647633e-76,960,NE2025__leaf_number,architecture,-0.28499951766308546,3.460788459992161e-18,895,embedding_mean_795;embedding_std_512
sam3,45,2,0.679595308281095,NE2025_image__log_leaf_pixels,image_leaf_size,-0.530400513681477,9.216433123706955e-71,960,NE2025__seed_mass_g,yield,-0.3410308440498798,1.1222688897148991e-25,890,embedding_mean_46;embedding_std_532
sam3,51,2,0.6762810496360826,NE2025_image__leaf_pixels,image_leaf_size,-0.4629390289661129,3.703740403107022e-52,960,AL2022__days_to_flower,phenology,-0.3236779483644282,3.3570395793530187e-10,359,embedding_mean_261;embedding_mean_896
sam3,54,2,0.05752290527667616,NE2021__ash_pct,composition,0.23705037965413286,1.890189454062587e-11,782,NE2021__ash_pct,composition,0.23705037965413286,1.890189454062587e-11,782,embedding_mean_232;embedding_std_872
sam3,58,2,0.4289881899140726,NE2020__leaf_width_cm,architecture,-0.29179413633910267,1.2211940449401576e-07,317,NE2020__leaf_width_cm,architecture,-0.29179413633910267,1.2211940449401576e-07,317,embedding_mean_6;embedding_std_121
sam3,66,2,0.5491304097391513,NE2025_image__percentUnhealthy,disease_severity,0.43218062851882094,5.224471046163134e-45,961,AL2022__protein_pct,composition,0.2229670702364861,2.065416550780166e-05,358,embedding_mean_973;embedding_std_255
sam3,68,2,0.306182415126775,NE2025_image__leaf_pixels,image_leaf_size,0.17902946088725663,2.33727952340303e-08,960,NE2021__seed_length_mm,seed_morphology,0.1210622306106894,0.0006246996467341181,795,embedding_std_158;embedding_std_761
sam3,70,2,0.12391893104224341,NE2025_image__leaf_pixels,image_leaf_size,-0.6280951953870747,1.7533777543870307e-106,960,NE2020__leaf_width_cm,architecture,-0.3889826272076058,6.812719382151359e-13,317,embedding_mean_125;embedding_std_977
sam3,71,2,0.35083176494027485,NE2025_image__percentUnhealthy,disease_severity,0.534448923347108,4.3293140836958107e-72,961,NE2020__leaf_angle_median_degrees,architecture,0.24171470201083461,1.311293959651184e-05,318,embedding_mean_68;embedding_mean_903
sam3,76,2,0.8405531143557131,NE2025_image__human_score,disease_severity,0.5770736897277404,2.1788857071597148e-54,598,NE2025__seed_mass_g,yield,-0.37084509983974334,2.1213877478254022e-30,890,embedding_mean_337;embedding_mean_616
sam3,82,2,0.03555847852025453,NE2025_image__human_score,disease_severity,-0.35942622251698697,1.1255121260719474e-19,598,NE2020__leaf_angle_median_degrees,architecture,-0.1647677054001658,0.0032105492721638644,318,embedding_mean_26;embedding_std_968
sam3,83,2,0.4484564395968842,NE2025_image__leaf_pixels,image_leaf_size,-0.7289463390131194,7.566126875241103e-160,960,MI2020__leaf_width_cm,architecture,-0.4103189616232225,5.692870853343892e-16,358,embedding_std_18;embedding_std_962
sam3,84,2,0.3891402321534966,NE2025_image__leaf_pixels,image_leaf_size,0.33547482433462256,1.1078197958909625e-26,960,MI2021__single_plant_dry_weight_g,biomass,0.22795735622268207,1.2205198204760531e-05,361,embedding_std_267;embedding_std_938
sam3,86,2,0.15196679836007798,NE2025_image__human_score,disease_severity,0.48069922940595317,6.665777856513988e-36,598,NE2020__leaf_angle_median_degrees,architecture,0.2628877010939719,2.0005746488463417e-06,318,embedding_std_172;embedding_std_935
sam3,87,2,0.1778739688712823,NE2025_image__leaf_pixels,image_leaf_size,-0.287138151854966,1.117333752839097e-19,960,MI2020__panicle_length_cm,panicle,0.19740072281494347,0.0001706022277740849,358,embedding_std_628;embedding_std_929
sam3,88,2,0.8278303531330014,NE2025_image__log_leaf_pixels,image_leaf_size,-0.4483274972288904,1.197608853036099e-48,960,NE2025__seed_mass_g,yield,-0.3429602029764639,5.748047389786112e-26,890,embedding_std_287;embedding_std_922
