embedding_set,group_id,rank,trait,category,rho,p,n,n_embeddings,median_within_group_abs_spearman,example_embeddings
sam3,16,2,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7064908285155198,5.372344152620645e-146,960,3,0.07594527639492447,embedding_std_298;embedding_std_399;embedding_std_802
sam3,16,3,MI2020__leaf_width_cm,architecture,-0.3999487907037884,3.4932904149203372e-15,358,3,0.07594527639492447,embedding_std_298;embedding_std_399;embedding_std_802
sam3,16,4,NE2020__leaf_width_cm,architecture,-0.3943792043337831,3.0619231718481576e-13,317,3,0.07594527639492447,embedding_std_298;embedding_std_399;embedding_std_802
sam3,16,5,NE2021__leaf_width_cm,architecture,-0.37521038088044795,3.689198044557638e-17,470,3,0.07594527639492447,embedding_std_298;embedding_std_399;embedding_std_802
sam3,17,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6953137408924016,1.3957079384651054e-139,960,11,0.5858415329321303,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794
sam3,17,2,NE2025_image__leaf_pixels,image_leaf_size,-0.6916651529353742,1.496875364116822e-137,960,11,0.5858415329321303,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794
sam3,17,3,MI2020__leaf_width_cm,architecture,-0.36774421087172376,6.617819973635991e-13,358,11,0.5858415329321303,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794
sam3,17,4,NE2020__seed_mass_g,yield,-0.32467769536195185,4.311774849314801e-09,312,11,0.5858415329321303,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794
sam3,17,5,NE2021__leaf_width_cm,architecture,-0.29088292209764904,1.2850207018169833e-10,470,11,0.5858415329321303,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_794
sam3,18,1,NE2025_image__leaf_pixels,image_leaf_size,0.6913221413829195,2.3147771991250573e-137,960,3,0.2597538386277853,embedding_std_94;embedding_std_175;embedding_std_703
sam3,18,2,NE2025_image__log_leaf_pixels,image_leaf_size,0.6894163347735761,2.5798414579944537e-136,960,3,0.2597538386277853,embedding_std_94;embedding_std_175;embedding_std_703
sam3,18,3,NE2021__leaf_width_cm,architecture,0.391566734003065,1.1339487370999443e-18,470,3,0.2597538386277853,embedding_std_94;embedding_std_175;embedding_std_703
sam3,18,4,MI2020__leaf_width_cm,architecture,0.3727656250146216,3.0333864638219824e-13,358,3,0.2597538386277853,embedding_std_94;embedding_std_175;embedding_std_703
sam3,18,5,NE2020__leaf_width_cm,architecture,0.3494381163237824,1.5551466209793956e-10,317,3,0.2597538386277853,embedding_std_94;embedding_std_175;embedding_std_703
sam3,19,1,NE2025_image__leaf_pixels,image_leaf_size,-0.7662049947159583,3.398184754380786e-186,960,1,,embedding_std_925
sam3,19,2,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7615073954583652,1.3130741560330845e-182,960,1,,embedding_std_925
sam3,19,3,NE2020__leaf_width_cm,architecture,-0.44822392770479796,4.517858742489551e-17,317,1,,embedding_std_925
sam3,19,4,MI2020__leaf_width_cm,architecture,-0.445457743968382,7.475866467314994e-19,358,1,,embedding_std_925
sam3,19,5,NE2021__leaf_width_cm,architecture,-0.412700324389869,9.363846136800693e-21,470,1,,embedding_std_925
sam3,20,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8077680334487556,4.240703001021299e-222,960,3,0.7625211580105274,embedding_mean_537;embedding_mean_565;embedding_mean_932
sam3,20,2,NE2025_image__leaf_pixels,image_leaf_size,-0.8046547724214889,4.098478244694917e-219,960,3,0.7625211580105274,embedding_mean_537;embedding_mean_565;embedding_mean_932
sam3,20,3,MI2020__leaf_width_cm,architecture,-0.4100298304636645,5.993389307803716e-16,358,3,0.7625211580105274,embedding_mean_537;embedding_mean_565;embedding_mean_932
sam3,20,4,NE2021__leaf_width_cm,architecture,-0.38117430662174034,1.060042388431241e-17,470,3,0.7625211580105274,embedding_mean_537;embedding_mean_565;embedding_mean_932
sam3,20,5,NE2020__leaf_width_cm,architecture,-0.3661025383660415,1.7258711754816946e-11,317,3,0.7625211580105274,embedding_mean_537;embedding_mean_565;embedding_mean_932
sam3,21,1,NE2025_image__human_score,disease_severity,-0.36582619980161885,2.250054550484816e-20,598,4,0.38749920985981373,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
sam3,21,2,NE2025__seed_red_intensity,seed_color,0.29626861574002583,1.1179598117703435e-07,309,4,0.38749920985981373,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
sam3,21,3,NE2025__seed_green_intensity,seed_color,0.29221265717815004,1.691324976780713e-07,309,4,0.38749920985981373,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
sam3,21,4,NE2025__seed_blue_intensity,seed_color,0.2653299330316781,2.242725207254973e-06,309,4,0.38749920985981373,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
sam3,21,5,NE2025_image__percentUnhealthy,disease_severity,-0.25034466806069006,3.371177132189027e-15,961,4,0.38749920985981373,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
sam3,22,1,NE2025_image__leaf_pixels,image_leaf_size,0.5061869999451697,1.336493137990755e-63,960,3,0.5295087190575187,embedding_mean_228;embedding_mean_272;embedding_mean_760
sam3,22,2,NE2025_image__log_leaf_pixels,image_leaf_size,0.5037730677502427,6.43858641008261e-63,960,3,0.5295087190575187,embedding_mean_228;embedding_mean_272;embedding_mean_760
sam3,22,3,MI2021__stem_diameter_lower_mm,architecture,0.2647581009003729,3.197071543082021e-07,362,3,0.5295087190575187,embedding_mean_228;embedding_mean_272;embedding_mean_760
sam3,22,4,MI2021__leaf_width_cm,architecture,0.25882646528697817,5.950673319132198e-07,362,3,0.5295087190575187,embedding_mean_228;embedding_mean_272;embedding_mean_760
sam3,22,5,MI2020__leaf_width_cm,architecture,0.21113791738504362,5.663059807400196e-05,358,3,0.5295087190575187,embedding_mean_228;embedding_mean_272;embedding_mean_760
sam3,23,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.4924214615683354,8.861022042303712e-60,960,2,0.21861134560856818,embedding_mean_308;embedding_std_275
sam3,23,2,NE2025_image__leaf_pixels,image_leaf_size,-0.4900550826548062,3.8640011281149303e-59,960,2,0.21861134560856818,embedding_mean_308;embedding_std_275
sam3,23,3,NE2025__leaf_number,architecture,-0.2203597060808808,2.641478393616866e-11,895,2,0.21861134560856818,embedding_mean_308;embedding_std_275
sam3,23,4,NE2025__seed_mass_g,yield,-0.21969245082186678,3.4500333688995873e-11,890,2,0.21861134560856818,embedding_mean_308;embedding_std_275
sam3,23,5,NE2025_image__percentUnhealthy,disease_severity,0.2180410893397587,8.324334801618107e-12,961,2,0.21861134560856818,embedding_mean_308;embedding_std_275
sam3,24,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.2700144343380495,1.682931441069726e-17,960,2,0.23124736887543326,embedding_mean_824;embedding_std_357
sam3,24,2,NE2025_image__leaf_pixels,image_leaf_size,-0.2685928681382132,2.5120676320727756e-17,960,2,0.23124736887543326,embedding_mean_824;embedding_std_357
sam3,24,3,NE2020__leaf_angle_median_degrees,architecture,-0.14361410192766916,0.010340591170474265,318,2,0.23124736887543326,embedding_mean_824;embedding_std_357
sam3,24,4,NE2020__seed_mass_g,yield,-0.13408739594069286,0.01780446676651659,312,2,0.23124736887543326,embedding_mean_824;embedding_std_357
sam3,24,5,NE2021__ash_pct,composition,0.1322121263657251,0.00020924290670193622,782,2,0.23124736887543326,embedding_mean_824;embedding_std_357
sam3,25,1,NE2025_image__human_score,disease_severity,-0.3213617584482192,7.829723212947988e-16,598,11,0.13763393594466186,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
sam3,25,2,NE2023__starch_pct,composition,0.28913740155458606,3.023177085625488e-07,303,11,0.13763393594466186,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
sam3,25,3,NE2025__seed_green_intensity,seed_color,0.2763355642738077,8.045514617394574e-07,309,11,0.13763393594466186,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
sam3,25,4,NE2025__seed_red_intensity,seed_color,0.27591723762109116,8.372141525648622e-07,309,11,0.13763393594466186,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
sam3,25,5,NE2025__seed_blue_intensity,seed_color,0.2509848064253005,7.980212993061115e-06,309,11,0.13763393594466186,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
sam3,26,1,NE2025__seed_red_intensity,seed_color,-0.3820796752637949,3.5315012898420003e-12,309,3,0.3829242204350162,embedding_mean_340;embedding_std_253;embedding_std_358
sam3,26,2,NE2025_image__human_score,disease_severity,0.3819057702656285,3.3488378529773782e-22,598,3,0.3829242204350162,embedding_mean_340;embedding_std_253;embedding_std_358
sam3,26,3,NE2025_image__percentUnhealthy,disease_severity,0.36005358547323485,8.660440406909724e-31,961,3,0.3829242204350162,embedding_mean_340;embedding_std_253;embedding_std_358
sam3,26,4,NE2025__seed_green_intensity,seed_color,-0.3363327984778808,1.3125749001320896e-09,309,3,0.3829242204350162,embedding_mean_340;embedding_std_253;embedding_std_358
sam3,26,5,NE2025__seed_mass_g,yield,-0.2989995045942312,7.734474191208699e-20,890,3,0.3829242204350162,embedding_mean_340;embedding_std_253;embedding_std_358
sam3,27,1,NE2025_image__percentUnhealthy,disease_severity,0.551034910095673,2.0308648458530936e-77,961,5,0.33576857975352226,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
sam3,27,2,NE2025_image__human_score,disease_severity,0.5487452619262272,2.5399231851717384e-48,598,5,0.33576857975352226,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
sam3,27,3,NE2020__leaf_angle_median_degrees,architecture,0.32698573694027766,2.329067123356256e-09,318,5,0.33576857975352226,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
sam3,27,4,NE2023__single_panicle_mass_g,yield,-0.2531779103304677,2.1117440960174047e-06,342,5,0.33576857975352226,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
sam3,27,5,NE2025__seed_red_intensity,seed_color,-0.25115014408629155,7.867661088797558e-06,309,5,0.33576857975352226,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
sam3,28,1,NE2025_image__percentUnhealthy,disease_severity,0.21208344236142174,3.100315063580935e-11,961,6,0.27212037254188653,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
sam3,28,2,MI2021__stem_diameter_lower_mm,architecture,-0.19232617330277224,0.00023230127763661105,362,6,0.27212037254188653,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
sam3,28,3,NE2025__seed_green_intensity,seed_color,0.18431285220722202,0.0011350357343984235,309,6,0.27212037254188653,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
sam3,28,4,NE2025__seed_blue_intensity,seed_color,0.18056235141509838,0.0014357270228962434,309,6,0.27212037254188653,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
sam3,28,5,NE2025__seed_red_intensity,seed_color,0.17799219476121822,0.001682243369337162,309,6,0.27212037254188653,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
sam3,29,1,NE2025_image__human_score,disease_severity,0.5068253293450696,2.4220068521318148e-40,598,4,0.5767795072486362,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
sam3,29,2,NE2025__seed_red_intensity,seed_color,-0.4209012834522584,1.0681207267884798e-14,309,4,0.5767795072486362,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
sam3,29,3,NE2025__seed_green_intensity,seed_color,-0.3642480186942807,3.968832567729416e-11,309,4,0.5767795072486362,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
sam3,29,4,NE2025_image__percentUnhealthy,disease_severity,0.36200408533310674,3.96266220121753e-31,961,4,0.5767795072486362,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
sam3,29,5,NE2023__starch_pct,composition,-0.35969246126407833,1.1003007374756399e-10,303,4,0.5767795072486362,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726
sam3,30,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6601237829609538,3.474338480125766e-121,960,3,0.7010079890186909,embedding_mean_577;embedding_std_711;embedding_std_897
sam3,30,2,NE2025_image__leaf_pixels,image_leaf_size,-0.6546539087089082,1.5107490618740667e-118,960,3,0.7010079890186909,embedding_mean_577;embedding_std_711;embedding_std_897
sam3,30,3,NE2025_image__percentUnhealthy,disease_severity,0.5037495532547053,5.644536594073596e-63,961,3,0.7010079890186909,embedding_mean_577;embedding_std_711;embedding_std_897
sam3,30,4,NE2025_image__human_score,disease_severity,0.49051159078776174,1.5892166327355254e-37,598,3,0.7010079890186909,embedding_mean_577;embedding_std_711;embedding_std_897
sam3,30,5,NE2020__stem_diameter_lower_mm,architecture,-0.4045192830610734,7.169796680116745e-14,316,3,0.7010079890186909,embedding_mean_577;embedding_std_711;embedding_std_897
sam3,31,1,NE2025_image__human_score,disease_severity,-0.6431845581268576,4.050528478667935e-71,598,27,0.38665458802885055,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807
sam3,31,2,NE2025_image__percentUnhealthy,disease_severity,-0.5843561409174071,4.463669123953268e-89,961,27,0.38665458802885055,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807
