embedding_set,group_id,rank,trait,category,rho,p,n,n_embeddings,median_within_group_abs_spearman,example_embeddings
dinov2,13,2,NE2025_image__leaf_pixels,image_leaf_size,-0.44064031863574155,1.86435192805908e-45,930,1,,dinov2_mean_602
dinov2,13,3,NE2025__seed_mass_g,yield,-0.3323696204737171,1.257365182161859e-23,860,1,,dinov2_mean_602
dinov2,13,4,MI2020__leaf_width_cm,architecture,-0.31429925374472784,1.2613471858332314e-09,357,1,,dinov2_mean_602
dinov2,13,5,NE2021__leaf_number,architecture,-0.30794532774068684,3.475864033021947e-11,443,1,,dinov2_mean_602
dinov2,14,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.9128486538563989,0.0,930,10,0.6688814096087402,dinov2_mean_213;dinov2_mean_259;dinov2_mean_436;dinov2_mean_446;dinov2_mean_803;dinov2_std_82;dinov2_std_780;dinov2_std_885
dinov2,14,2,NE2025_image__leaf_pixels,image_leaf_size,-0.9053101175174421,0.0,930,10,0.6688814096087402,dinov2_mean_213;dinov2_mean_259;dinov2_mean_436;dinov2_mean_446;dinov2_mean_803;dinov2_std_82;dinov2_std_780;dinov2_std_885
dinov2,14,3,MI2020__leaf_width_cm,architecture,-0.4709074571428672,4.194502393385752e-21,357,10,0.6688814096087402,dinov2_mean_213;dinov2_mean_259;dinov2_mean_436;dinov2_mean_446;dinov2_mean_803;dinov2_std_82;dinov2_std_780;dinov2_std_885
dinov2,14,4,NE2025__leaf_number,architecture,-0.4433116293508881,6.0339373829596315e-43,865,10,0.6688814096087402,dinov2_mean_213;dinov2_mean_259;dinov2_mean_436;dinov2_mean_446;dinov2_mean_803;dinov2_std_82;dinov2_std_780;dinov2_std_885
dinov2,14,5,NE2020__leaf_width_cm,architecture,-0.43460568699189817,5.438819147318748e-16,316,10,0.6688814096087402,dinov2_mean_213;dinov2_mean_259;dinov2_mean_436;dinov2_mean_446;dinov2_mean_803;dinov2_std_82;dinov2_std_780;dinov2_std_885
dinov2,15,1,NE2025_image__leaf_pixels,image_leaf_size,0.6452305019325458,1.2940946256526917e-110,930,2,0.22561036850515753,dinov2_mean_429;dinov2_std_129
dinov2,15,2,NE2025_image__log_leaf_pixels,image_leaf_size,0.632486108001438,4.629035357151014e-105,930,2,0.22561036850515753,dinov2_mean_429;dinov2_std_129
dinov2,15,3,NE2021__leaf_width_cm,architecture,0.3015134771706729,2.5917522604270883e-11,469,2,0.22561036850515753,dinov2_mean_429;dinov2_std_129
dinov2,15,4,NE2021__stem_diameter_upper_mm,architecture,0.2777876737575366,1.0784327878575273e-07,354,2,0.22561036850515753,dinov2_mean_429;dinov2_std_129
dinov2,15,5,NE2025__leaf_number,architecture,0.26695742101988346,1.399958325953732e-15,865,2,0.22561036850515753,dinov2_mean_429;dinov2_std_129
dinov2,16,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.8722543133568962,1.5819859809459284e-290,930,7,0.6236113628479905,dinov2_mean_90;dinov2_mean_210;dinov2_mean_644;dinov2_mean_835;dinov2_mean_983;dinov2_std_305;dinov2_std_684
dinov2,16,2,NE2025_image__leaf_pixels,image_leaf_size,-0.868062895805331,1.7999583296017405e-284,930,7,0.6236113628479905,dinov2_mean_90;dinov2_mean_210;dinov2_mean_644;dinov2_mean_835;dinov2_mean_983;dinov2_std_305;dinov2_std_684
dinov2,16,3,MI2020__leaf_width_cm,architecture,-0.4725905316873915,2.9088030438196382e-21,357,7,0.6236113628479905,dinov2_mean_90;dinov2_mean_210;dinov2_mean_644;dinov2_mean_835;dinov2_mean_983;dinov2_std_305;dinov2_std_684
dinov2,16,4,NE2020__leaf_width_cm,architecture,-0.44319378895767914,1.2319489961573263e-16,316,7,0.6236113628479905,dinov2_mean_90;dinov2_mean_210;dinov2_mean_644;dinov2_mean_835;dinov2_mean_983;dinov2_std_305;dinov2_std_684
