cluster_jaccard_similarity_ge_0_50,n_traits,median_significant_loci,example_traits
52,1,6.0,embedding_std_622
54,1,1.0,embedding_mean_440
55,1,11.0,embedding_std_906
56,1,1.0,embedding_mean_684
60,1,1.0,embedding_std_314
63,1,5.0,embedding_mean_46
64,1,5.0,embedding_std_532
66,1,4.0,embedding_mean_619
70,1,19.0,embedding_mean_300
72,1,1.0,embedding_mean_574
73,1,1.0,embedding_std_511
74,1,1.0,embedding_std_567
78,1,2.0,embedding_mean_832
81,1,2.0,embedding_std_356
82,1,2.0,embedding_std_422
84,1,4.0,embedding_std_909
85,1,3.0,embedding_std_915
45,1,4.0,embedding_mean_657
42,1,3.0,embedding_std_488
37,1,2.0,embedding_std_215
16,1,2.0,embedding_mean_520
3,1,3.0,embedding_mean_406
4,1,1.0,embedding_mean_491
5,1,2.0,embedding_mean_33
6,1,2.0,embedding_mean_391
10,1,2.0,embedding_mean_441
11,1,2.0,embedding_mean_599
13,1,3.0,embedding_mean_953
14,1,1.0,embedding_std_184
17,1,2.0,embedding_mean_833
34,1,1.0,embedding_std_275
18,1,6.0,embedding_mean_245
21,1,1.0,embedding_mean_144
22,1,5.0,embedding_mean_851
24,1,3.0,embedding_std_298
26,1,3.0,embedding_std_794
28,1,6.0,embedding_std_175
29,1,1.0,embedding_std_925
33,1,3.0,embedding_mean_308
88,1,1.0,embedding_std_753
94,1,2.0,embedding_mean_978
175,1,1.0,embedding_mean_237
96,1,2.0,embedding_std_89
135,1,2.0,embedding_std_108
137,1,1.0,embedding_std_628
138,1,3.0,embedding_std_929
145,1,2.0,embedding_mean_207
146,1,4.0,embedding_std_776
147,1,3.0,embedding_std_286
148,1,1.0,embedding_std_751
153,1,1.0,embedding_std_292
159,1,2.0,embedding_mean_424
165,1,1.0,embedding_mean_3
166,1,1.0,embedding_mean_17
167,1,1.0,embedding_mean_55
168,1,1.0,embedding_mean_63
169,1,2.0,embedding_mean_70
170,1,1.0,embedding_mean_90
171,1,1.0,embedding_mean_104
172,1,1.0,embedding_mean_108
173,1,1.0,embedding_mean_161
174,1,1.0,embedding_mean_191
134,1,3.0,embedding_std_938
2,1,1.0,embedding_mean_121
130,1,1.0,embedding_mean_163
114,1,2.0,embedding_std_142
98,1,2.0,embedding_std_785
101,1,1.0,embedding_mean_973
102,1,3.0,embedding_std_255
104,1,2.0,embedding_std_679
108,1,4.0,embedding_mean_68
109,1,4.0,embedding_mean_903
112,1,2.0,embedding_mean_475
113,1,2.0,embedding_mean_535
115,1,2.0,embedding_std_161
129,1,1.0,embedding_mean_181
116,1,2.0,embedding_std_303
117,1,2.0,embedding_std_397
118,1,2.0,embedding_std_920
119,1,3.0,embedding_std_533
120,1,3.0,embedding_std_815
126,1,4.0,embedding_std_828
127,1,2.0,embedding_std_861
128,1,3.0,embedding_mean_285
265,1,1.0,embedding_std_1011
