cluster_jaccard_similarity_ge_0_25,n_traits,median_significant_loci,example_traits
81,1,1.0,embedding_mean_163
80,1,1.0,embedding_mean_181
79,1,3.0,embedding_mean_285
78,1,2.0,embedding_std_861
59,1,1.0,embedding_std_410
116,1,2.0,embedding_mean_70
117,1,1.0,embedding_mean_90
118,1,1.0,embedding_mean_104
119,1,1.0,embedding_mean_108
147,1,1.0,embedding_mean_688
146,1,2.0,embedding_mean_686
145,1,1.0,embedding_mean_685
144,1,5.0,embedding_mean_678
143,1,1.0,embedding_mean_650
141,1,1.0,embedding_mean_591
140,1,1.0,embedding_mean_564
139,1,1.0,embedding_mean_553
138,1,1.0,embedding_mean_523
137,1,1.0,embedding_mean_487
136,1,1.0,embedding_mean_486
135,1,1.0,embedding_mean_485
134,1,1.0,embedding_mean_481
133,1,1.0,embedding_mean_451
132,1,1.0,embedding_mean_433
131,1,1.0,embedding_mean_414
130,1,1.0,embedding_mean_410
129,1,2.0,embedding_mean_349
128,1,1.0,embedding_mean_329
127,1,1.0,embedding_mean_327
126,1,1.0,embedding_mean_323
125,1,1.0,embedding_mean_320
124,1,2.0,embedding_mean_266
123,1,1.0,embedding_mean_247
122,1,1.0,embedding_mean_237
121,1,1.0,embedding_mean_191
120,1,1.0,embedding_mean_161
212,1,1.0,embedding_std_1011
