trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50
embedding_std_714,0,-1,-1
embedding_std_715,0,-1,-1
embedding_std_716,0,-1,-1
embedding_std_717,0,-1,-1
embedding_std_718,0,-1,-1
embedding_std_719,0,-1,-1
embedding_std_720,0,-1,-1
embedding_std_721,2,97,149
embedding_std_722,1,17,25
embedding_std_723,0,-1,-1
embedding_std_724,1,201,254
embedding_std_725,0,-1,-1
embedding_std_726,1,29,41
embedding_std_727,0,-1,-1
embedding_std_728,0,-1,-1
embedding_std_729,1,74,122
embedding_std_730,1,72,111
embedding_std_731,0,-1,-1
embedding_std_732,0,-1,-1
embedding_std_733,1,202,255
embedding_std_734,0,-1,-1
embedding_std_735,0,-1,-1
embedding_std_736,1,6,8
embedding_std_737,0,-1,-1
embedding_std_738,0,-1,-1
embedding_std_739,1,55,80
embedding_std_740,0,-1,-1
embedding_std_741,1,72,111
embedding_std_742,0,-1,-1
embedding_std_743,0,-1,-1
embedding_std_744,0,-1,-1
embedding_std_745,1,203,256
embedding_std_746,1,10,15
embedding_std_747,0,-1,-1
embedding_std_748,0,-1,-1
embedding_std_749,0,-1,-1
embedding_std_750,0,-1,-1
embedding_std_751,1,96,148
embedding_std_752,0,-1,-1
embedding_std_753,1,57,88
embedding_std_754,0,-1,-1
embedding_std_755,0,-1,-1
embedding_std_756,0,-1,-1
embedding_std_757,1,72,111
embedding_std_758,0,-1,-1
embedding_std_759,0,-1,-1
embedding_std_760,0,-1,-1
embedding_std_761,2,68,105
embedding_std_762,0,-1,-1
embedding_std_763,0,-1,-1
embedding_std_764,0,-1,-1
embedding_std_765,0,-1,-1
embedding_std_766,1,31,44
embedding_std_767,1,72,111
embedding_std_768,0,-1,-1
embedding_std_769,1,72,111
embedding_std_770,0,-1,-1
embedding_std_771,0,-1,-1
embedding_std_772,0,-1,-1
embedding_std_773,0,-1,-1
embedding_std_774,1,62,93
embedding_std_775,1,72,111
embedding_std_776,4,95,146
embedding_std_777,0,-1,-1
embedding_std_778,1,55,80
embedding_std_779,0,-1,-1
embedding_std_780,0,-1,-1
embedding_std_781,1,204,257
embedding_std_782,0,-1,-1
embedding_std_783,1,72,111
embedding_std_784,1,205,258
embedding_std_785,2,64,98
embedding_std_786,0,-1,-1
embedding_std_787,0,-1,-1
embedding_std_788,0,-1,-1
embedding_std_789,0,-1,-1
embedding_std_790,0,-1,-1
embedding_std_791,1,6,8
embedding_std_792,0,-1,-1
embedding_std_793,2,61,92
embedding_std_794,3,17,26
embedding_std_795,0,-1,-1
embedding_std_796,1,74,122
embedding_std_797,0,-1,-1
embedding_std_798,0,-1,-1
embedding_std_799,0,-1,-1
embedding_std_800,0,-1,-1
embedding_std_801,0,-1,-1
embedding_std_802,2,16,23
embedding_std_803,1,7,9
embedding_std_804,0,-1,-1
embedding_std_805,0,-1,-1
embedding_std_806,0,-1,-1
embedding_std_807,0,-1,-1
embedding_std_808,1,41,59
embedding_std_809,0,-1,-1
embedding_std_810,1,93,144
embedding_std_811,1,31,44
embedding_std_812,0,-1,-1
embedding_std_813,0,-1,-1
embedding_std_814,0,-1,-1
embedding_std_815,3,72,120
embedding_std_816,0,-1,-1
embedding_std_817,0,-1,-1
embedding_std_818,1,72,111
embedding_std_819,0,-1,-1
embedding_std_820,1,55,80
embedding_std_821,0,-1,-1
embedding_std_822,0,-1,-1
embedding_std_823,1,77,125
embedding_std_824,0,-1,-1
embedding_std_825,0,-1,-1
embedding_std_826,0,-1,-1
embedding_std_827,1,56,87
embedding_std_828,4,77,126
embedding_std_829,0,-1,-1
embedding_std_830,0,-1,-1
embedding_std_831,1,55,80
embedding_std_832,0,-1,-1
embedding_std_833,0,-1,-1
embedding_std_834,0,-1,-1
embedding_std_835,1,206,259
embedding_std_836,0,-1,-1
embedding_std_837,1,92,143
embedding_std_838,0,-1,-1
embedding_std_839,1,207,260
embedding_std_840,2,91,142
embedding_std_841,0,-1,-1
embedding_std_842,0,-1,-1
embedding_std_843,0,-1,-1
embedding_std_844,0,-1,-1
embedding_std_845,1,31,44
embedding_std_846,0,-1,-1
embedding_std_847,1,62,93
embedding_std_848,0,-1,-1
embedding_std_849,1,44,62
embedding_std_850,0,-1,-1
embedding_std_851,2,27,39
embedding_std_852,0,-1,-1
embedding_std_853,0,-1,-1
embedding_std_854,0,-1,-1
embedding_std_855,0,-1,-1
embedding_std_856,0,-1,-1
embedding_std_857,0,-1,-1
embedding_std_858,0,-1,-1
embedding_std_859,0,-1,-1
embedding_std_860,0,-1,-1
embedding_std_861,2,78,127
embedding_std_862,0,-1,-1
embedding_std_863,1,44,62
embedding_std_864,0,-1,-1
embedding_std_865,0,-1,-1
embedding_std_866,0,-1,-1
embedding_std_867,1,72,111
embedding_std_868,0,-1,-1
embedding_std_869,0,-1,-1
embedding_std_870,0,-1,-1
embedding_std_871,0,-1,-1
embedding_std_872,2,54,79
embedding_std_873,3,33,50
embedding_std_874,1,55,80
embedding_std_875,0,-1,-1
embedding_std_876,0,-1,-1
embedding_std_877,0,-1,-1
embedding_std_878,1,208,261
embedding_std_879,0,-1,-1
embedding_std_880,0,-1,-1
embedding_std_881,0,-1,-1
embedding_std_882,1,74,122
embedding_std_883,0,-1,-1
embedding_std_884,0,-1,-1
embedding_std_885,1,90,141
embedding_std_886,1,72,111
embedding_std_887,0,-1,-1
embedding_std_888,0,-1,-1
embedding_std_889,1,55,80
embedding_std_890,1,72,111
embedding_std_891,0,-1,-1
embedding_std_892,1,55,80
embedding_std_893,0,-1,-1
embedding_std_894,0,-1,-1
embedding_std_895,0,-1,-1
embedding_std_896,1,55,80
embedding_std_897,2,30,43
embedding_std_898,0,-1,-1
embedding_std_899,0,-1,-1
embedding_std_900,0,-1,-1
embedding_std_901,0,-1,-1
embedding_std_902,0,-1,-1
embedding_std_903,0,-1,-1
embedding_std_904,1,89,140
embedding_std_905,1,55,80
embedding_std_906,11,37,55
embedding_std_907,0,-1,-1
embedding_std_908,0,-1,-1
embedding_std_909,4,55,84
embedding_std_910,1,17,25
embedding_std_911,0,-1,-1
embedding_std_912,0,-1,-1
embedding_std_913,0,-1,-1
embedding_std_914,0,-1,-1
embedding_std_915,3,55,85
embedding_std_916,0,-1,-1
embedding_std_917,0,-1,-1
embedding_std_918,0,-1,-1
embedding_std_919,0,-1,-1
embedding_std_920,2,72,118
embedding_std_921,0,-1,-1
embedding_std_922,1,88,139
embedding_std_923,0,-1,-1
embedding_std_924,0,-1,-1
embedding_std_925,1,19,29
embedding_std_926,0,-1,-1
embedding_std_927,2,65,100
embedding_std_928,0,-1,-1
embedding_std_929,3,87,138
embedding_std_930,0,-1,-1
embedding_std_931,0,-1,-1
embedding_std_932,1,74,122
embedding_std_933,0,-1,-1
embedding_std_934,0,-1,-1
embedding_std_935,1,86,136
embedding_std_936,0,-1,-1
embedding_std_937,2,33,49
embedding_std_938,3,84,134
embedding_std_939,1,28,40
embedding_std_940,0,-1,-1
embedding_std_941,0,-1,-1
embedding_std_942,0,-1,-1
embedding_std_943,0,-1,-1
embedding_std_944,1,33,46
embedding_std_945,0,-1,-1
embedding_std_946,0,-1,-1
embedding_std_947,0,-1,-1
embedding_std_948,0,-1,-1
embedding_std_949,0,-1,-1
embedding_std_950,0,-1,-1
embedding_std_951,0,-1,-1
embedding_std_952,0,-1,-1
embedding_std_953,0,-1,-1
embedding_std_954,0,-1,-1
embedding_std_955,0,-1,-1
embedding_std_956,0,-1,-1
embedding_std_957,2,56,86
embedding_std_958,0,-1,-1
embedding_std_959,0,-1,-1
embedding_std_960,0,-1,-1
embedding_std_961,0,-1,-1
embedding_std_962,1,83,132
embedding_std_963,1,31,44
embedding_std_964,0,-1,-1
embedding_std_965,0,-1,-1
embedding_std_966,1,55,80
embedding_std_967,0,-1,-1
embedding_std_968,1,82,131
embedding_std_969,1,52,76
embedding_std_970,0,-1,-1
embedding_std_971,0,-1,-1
embedding_std_972,0,-1,-1
embedding_std_973,0,-1,-1
embedding_std_974,1,74,122
embedding_std_975,0,-1,-1
embedding_std_976,0,-1,-1
embedding_std_977,2,70,107
embedding_std_978,0,-1,-1
embedding_std_979,0,-1,-1
embedding_std_980,0,-1,-1
embedding_std_981,0,-1,-1
embedding_std_982,0,-1,-1
embedding_std_983,1,72,111
embedding_std_984,1,17,25
embedding_std_985,0,-1,-1
embedding_std_986,1,209,262
embedding_std_987,2,56,86
embedding_std_988,0,-1,-1
embedding_std_989,1,72,111
embedding_std_990,0,-1,-1
embedding_std_991,0,-1,-1
embedding_std_992,0,-1,-1
embedding_std_993,0,-1,-1
embedding_std_994,0,-1,-1
embedding_std_995,1,210,263
embedding_std_996,0,-1,-1
embedding_std_997,0,-1,-1
embedding_std_998,1,72,111
embedding_std_999,0,-1,-1
embedding_std_1000,1,73,121
embedding_std_1001,0,-1,-1
embedding_std_1002,0,-1,-1
embedding_std_1003,0,-1,-1
embedding_std_1004,0,-1,-1
embedding_std_1005,1,35,53
embedding_std_1006,1,211,264
embedding_std_1007,1,31,44
embedding_std_1008,1,74,122
embedding_std_1009,0,-1,-1
embedding_std_1010,0,-1,-1
embedding_std_1011,1,212,265
embedding_std_1012,0,-1,-1
embedding_std_1013,0,-1,-1
embedding_std_1014,0,-1,-1
embedding_std_1015,0,-1,-1
embedding_std_1016,0,-1,-1
embedding_std_1017,0,-1,-1
embedding_std_1018,1,17,25
embedding_std_1019,0,-1,-1
embedding_std_1020,1,72,111
embedding_std_1021,2,55,83
embedding_std_1022,1,75,123
embedding_std_1023,0,-1,-1
