trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50
embedding_mean_558,1,72,111
embedding_mean_559,1,17,25
embedding_mean_560,0,-1,-1
embedding_mean_561,0,-1,-1
embedding_mean_562,0,-1,-1
embedding_mean_563,0,-1,-1
embedding_mean_564,1,140,193
embedding_mean_565,1,20,30
embedding_mean_566,0,-1,-1
embedding_mean_567,0,-1,-1
embedding_mean_568,0,-1,-1
embedding_mean_569,0,-1,-1
embedding_mean_570,1,31,44
embedding_mean_571,0,-1,-1
embedding_mean_572,0,-1,-1
embedding_mean_573,0,-1,-1
embedding_mean_574,1,48,72
embedding_mean_575,0,-1,-1
embedding_mean_576,0,-1,-1
embedding_mean_577,1,30,43
embedding_mean_578,0,-1,-1
embedding_mean_579,0,-1,-1
embedding_mean_580,0,-1,-1
embedding_mean_581,0,-1,-1
embedding_mean_582,0,-1,-1
embedding_mean_583,0,-1,-1
embedding_mean_584,0,-1,-1
embedding_mean_585,2,67,103
embedding_mean_586,1,72,111
embedding_mean_587,0,-1,-1
embedding_mean_588,0,-1,-1
embedding_mean_589,0,-1,-1
embedding_mean_590,0,-1,-1
embedding_mean_591,1,141,194
embedding_mean_592,0,-1,-1
embedding_mean_593,0,-1,-1
embedding_mean_594,1,109,162
embedding_mean_595,1,55,80
embedding_mean_596,1,31,44
embedding_mean_597,0,-1,-1
embedding_mean_598,1,74,122
embedding_mean_599,2,7,11
embedding_mean_600,0,-1,-1
embedding_mean_601,0,-1,-1
embedding_mean_602,0,-1,-1
embedding_mean_603,0,-1,-1
embedding_mean_604,1,108,161
embedding_mean_605,0,-1,-1
embedding_mean_606,0,-1,-1
embedding_mean_607,0,-1,-1
embedding_mean_608,0,-1,-1
embedding_mean_609,0,-1,-1
embedding_mean_610,1,72,111
embedding_mean_611,2,21,31
embedding_mean_612,0,-1,-1
embedding_mean_613,0,-1,-1
embedding_mean_614,0,-1,-1
embedding_mean_615,0,-1,-1
embedding_mean_616,2,76,124
embedding_mean_617,0,-1,-1
embedding_mean_618,0,-1,-1
embedding_mean_619,4,46,66
embedding_mean_620,0,-1,-1
embedding_mean_621,0,-1,-1
embedding_mean_622,0,-1,-1
embedding_mean_623,0,-1,-1
embedding_mean_624,1,72,111
embedding_mean_625,0,-1,-1
embedding_mean_626,0,-1,-1
embedding_mean_627,1,142,195
embedding_mean_628,0,-1,-1
embedding_mean_629,1,31,44
embedding_mean_630,0,-1,-1
embedding_mean_631,1,55,80
embedding_mean_632,0,-1,-1
embedding_mean_633,1,31,44
embedding_mean_634,0,-1,-1
embedding_mean_635,0,-1,-1
embedding_mean_636,18,46,69
embedding_mean_637,0,-1,-1
embedding_mean_638,0,-1,-1
embedding_mean_639,0,-1,-1
embedding_mean_640,0,-1,-1
embedding_mean_641,0,-1,-1
embedding_mean_642,0,-1,-1
embedding_mean_643,0,-1,-1
embedding_mean_644,0,-1,-1
embedding_mean_645,1,72,111
embedding_mean_646,1,69,106
embedding_mean_647,0,-1,-1
embedding_mean_648,0,-1,-1
embedding_mean_649,0,-1,-1
embedding_mean_650,1,143,196
embedding_mean_651,0,-1,-1
embedding_mean_652,0,-1,-1
embedding_mean_653,0,-1,-1
embedding_mean_654,0,-1,-1
embedding_mean_655,1,72,111
embedding_mean_656,0,-1,-1
embedding_mean_657,4,32,45
embedding_mean_658,0,-1,-1
embedding_mean_659,0,-1,-1
embedding_mean_660,1,44,62
embedding_mean_661,0,-1,-1
embedding_mean_662,0,-1,-1
embedding_mean_663,0,-1,-1
embedding_mean_664,1,72,111
embedding_mean_665,0,-1,-1
embedding_mean_666,1,33,46
embedding_mean_667,0,-1,-1
embedding_mean_668,0,-1,-1
embedding_mean_669,0,-1,-1
embedding_mean_670,1,72,111
embedding_mean_671,0,-1,-1
embedding_mean_672,0,-1,-1
embedding_mean_673,0,-1,-1
embedding_mean_674,3,33,49
embedding_mean_675,0,-1,-1
embedding_mean_676,0,-1,-1
embedding_mean_677,0,-1,-1
embedding_mean_678,5,144,197
embedding_mean_679,1,72,111
embedding_mean_680,1,74,122
embedding_mean_681,0,-1,-1
embedding_mean_682,1,10,15
embedding_mean_683,0,-1,-1
embedding_mean_684,1,38,56
embedding_mean_685,1,145,198
embedding_mean_686,2,146,199
embedding_mean_687,0,-1,-1
embedding_mean_688,1,147,200
embedding_mean_689,0,-1,-1
embedding_mean_690,2,73,121
embedding_mean_691,1,72,111
embedding_mean_692,0,-1,-1
embedding_mean_693,0,-1,-1
embedding_mean_694,0,-1,-1
embedding_mean_695,1,60,91
embedding_mean_696,0,-1,-1
embedding_mean_697,1,148,201
embedding_mean_698,5,47,71
embedding_mean_699,0,-1,-1
embedding_mean_700,1,103,156
embedding_mean_701,0,-1,-1
embedding_mean_702,1,72,111
embedding_mean_703,1,72,111
embedding_mean_704,1,149,202
embedding_mean_705,0,-1,-1
embedding_mean_706,0,-1,-1
embedding_mean_707,0,-1,-1
embedding_mean_708,1,72,111
embedding_mean_709,0,-1,-1
embedding_mean_710,3,72,110
embedding_mean_711,0,-1,-1
embedding_mean_712,0,-1,-1
embedding_mean_713,0,-1,-1
embedding_mean_714,1,55,80
embedding_mean_715,0,-1,-1
embedding_mean_716,1,12,19
embedding_mean_717,1,25,36
embedding_mean_718,0,-1,-1
embedding_mean_719,1,72,111
embedding_mean_720,1,74,122
embedding_mean_721,0,-1,-1
embedding_mean_722,0,-1,-1
embedding_mean_723,0,-1,-1
embedding_mean_724,0,-1,-1
embedding_mean_725,0,-1,-1
embedding_mean_726,0,-1,-1
embedding_mean_727,1,72,111
embedding_mean_728,0,-1,-1
embedding_mean_729,0,-1,-1
embedding_mean_730,0,-1,-1
embedding_mean_731,1,150,203
embedding_mean_732,0,-1,-1
embedding_mean_733,0,-1,-1
embedding_mean_734,0,-1,-1
embedding_mean_735,0,-1,-1
embedding_mean_736,1,151,204
embedding_mean_737,0,-1,-1
embedding_mean_738,1,21,31
embedding_mean_739,10,46,68
embedding_mean_740,2,75,123
embedding_mean_741,0,-1,-1
embedding_mean_742,3,33,50
embedding_mean_743,2,8,12
embedding_mean_744,0,-1,-1
embedding_mean_745,0,-1,-1
embedding_mean_746,1,1,1
embedding_mean_747,0,-1,-1
embedding_mean_748,0,-1,-1
embedding_mean_749,1,72,111
embedding_mean_750,0,-1,-1
embedding_mean_751,0,-1,-1
embedding_mean_752,1,72,111
embedding_mean_753,0,-1,-1
embedding_mean_754,1,101,154
embedding_mean_755,0,-1,-1
embedding_mean_756,2,69,106
embedding_mean_757,1,72,111
embedding_mean_758,0,-1,-1
embedding_mean_759,0,-1,-1
embedding_mean_760,1,22,32
embedding_mean_761,0,-1,-1
embedding_mean_762,1,7,9
embedding_mean_763,0,-1,-1
embedding_mean_764,0,-1,-1
embedding_mean_765,0,-1,-1
embedding_mean_766,0,-1,-1
embedding_mean_767,0,-1,-1
embedding_mean_768,0,-1,-1
embedding_mean_769,0,-1,-1
embedding_mean_770,0,-1,-1
embedding_mean_771,1,29,41
embedding_mean_772,0,-1,-1
embedding_mean_773,0,-1,-1
embedding_mean_774,0,-1,-1
embedding_mean_775,1,17,25
embedding_mean_776,1,72,111
embedding_mean_777,0,-1,-1
embedding_mean_778,1,107,160
embedding_mean_779,0,-1,-1
embedding_mean_780,1,44,62
embedding_mean_781,0,-1,-1
embedding_mean_782,0,-1,-1
embedding_mean_783,0,-1,-1
embedding_mean_784,0,-1,-1
embedding_mean_785,0,-1,-1
embedding_mean_786,0,-1,-1
embedding_mean_787,0,-1,-1
embedding_mean_788,0,-1,-1
embedding_mean_789,0,-1,-1
embedding_mean_790,0,-1,-1
embedding_mean_791,1,152,205
embedding_mean_792,1,41,59
embedding_mean_793,0,-1,-1
embedding_mean_794,0,-1,-1
embedding_mean_795,1,43,61
embedding_mean_796,1,153,206
embedding_mean_797,0,-1,-1
embedding_mean_798,0,-1,-1
embedding_mean_799,0,-1,-1
embedding_mean_800,0,-1,-1
embedding_mean_801,2,6,8
embedding_mean_802,0,-1,-1
embedding_mean_803,1,72,111
embedding_mean_804,0,-1,-1
embedding_mean_805,0,-1,-1
embedding_mean_806,2,105,158
embedding_mean_807,1,31,44
embedding_mean_808,0,-1,-1
embedding_mean_809,0,-1,-1
embedding_mean_810,0,-1,-1
embedding_mean_811,0,-1,-1
embedding_mean_812,0,-1,-1
embedding_mean_813,0,-1,-1
embedding_mean_814,0,-1,-1
embedding_mean_815,0,-1,-1
embedding_mean_816,0,-1,-1
embedding_mean_817,0,-1,-1
embedding_mean_818,0,-1,-1
embedding_mean_819,1,154,207
embedding_mean_820,1,72,111
embedding_mean_821,0,-1,-1
embedding_mean_822,1,72,111
embedding_mean_823,0,-1,-1
embedding_mean_824,2,24,35
embedding_mean_825,0,-1,-1
embedding_mean_826,1,91,142
embedding_mean_827,0,-1,-1
embedding_mean_828,0,-1,-1
embedding_mean_829,0,-1,-1
embedding_mean_830,0,-1,-1
embedding_mean_831,1,155,208
embedding_mean_832,2,53,78
embedding_mean_833,2,10,17
embedding_mean_834,0,-1,-1
embedding_mean_835,0,-1,-1
embedding_mean_836,0,-1,-1
embedding_mean_837,0,-1,-1
embedding_mean_838,1,8,12
embedding_mean_839,0,-1,-1
embedding_mean_840,0,-1,-1
embedding_mean_841,0,-1,-1
embedding_mean_842,0,-1,-1
embedding_mean_843,0,-1,-1
embedding_mean_844,1,156,209
embedding_mean_845,0,-1,-1
