image_path,location,image_id,plotNumber,device,range,row,experiment,block,percentUnhealthy,segmentation_method,excluded,poundsOfNitrogenPerAcre,population,genotype,score_A,score_B,comment_A,comment_B
data/fvsu2025/images/250553_LeafPhotoA_2025-10-03 09_33_02.676-05_00.jpg,GA,250553_LeafPhotoA_2025-10-03 09_33_02.676,250553,NA,37,16,NA,NA,6.46,CV2,FALSE,NA,SAP,PI533822,NA,NA,NA,NA
data/fvsu2025/images/250553_LeafPhotoA_2025-10-03 09_33_19.916-05_00.jpg,GA,250553_LeafPhotoA_2025-10-03 09_33_19.916,250553,NA,37,16,NA,NA,14.27,CV2,FALSE,NA,SAP,PI533822,NA,NA,NA,NA
data/fvsu2025/images/250553_LeafPhotoA_2025-10-03 09_33_39.092-05_00.jpg,GA,250553_LeafPhotoA_2025-10-03 09_33_39.092,250553,NA,37,16,NA,NA,2.43,CV2,FALSE,NA,SAP,PI533822,NA,NA,NA,NA
data/fvsu2025/images/250554_LeafPhotoA_2025-10-03 09_31_47.559-05_00.jpg,GA,250554_LeafPhotoA_2025-10-03 09_31_47.559,250554,NA,37,17,NA,NA,1.87,CV2,FALSE,NA,SAP,PI656110,NA,NA,NA,NA
data/fvsu2025/images/250554_LeafPhotoA_2025-10-03 09_32_15.178-05_00.jpg,GA,250554_LeafPhotoA_2025-10-03 09_32_15.178,250554,NA,37,17,NA,NA,8.96,CV2,FALSE,NA,SAP,PI656110,NA,NA,NA,NA
data/fvsu2025/images/250554_LeafPhotoA_2025-10-03 09_32_26.837-05_00.jpg,GA,250554_LeafPhotoA_2025-10-03 09_32_26.837,250554,NA,37,17,NA,NA,24.33,CV2,FALSE,NA,SAP,PI656110,4,4,NA,NA
data/fvsu2025/images/250555_LeafPhotoA_2025-10-03 09_30_44.995-05_00.jpg,GA,250555_LeafPhotoA_2025-10-03 09_30_44.995,250555,NA,37,18,NA,NA,0.38,CV2,FALSE,NA,SAP,PI656032,NA,NA,NA,NA
data/fvsu2025/images/250555_LeafPhotoA_2025-10-03 09_31_05.652-05_00.jpg,GA,250555_LeafPhotoA_2025-10-03 09_31_05.652,250555,NA,37,18,NA,NA,0.49,CV2,FALSE,NA,SAP,PI656032,NA,NA,NA,NA
data/fvsu2025/images/250555_LeafPhotoA_2025-10-03 09_31_19.278-05_00.jpg,GA,250555_LeafPhotoA_2025-10-03 09_31_19.278,250555,NA,37,18,NA,NA,0.07,CV2,FALSE,NA,SAP,PI656032,NA,NA,NA,NA
data/fvsu2025/images/250556_LeafPhotoA_2025-10-03 10_08_03.695-05_00.jpg,GA,250556_LeafPhotoA_2025-10-03 10_08_03.695,250556,NA,38,3,NA,NA,8.21,CV2,FALSE,NA,SAP,PI656035,NA,NA,NA,NA
data/fvsu2025/images/250556_LeafPhotoA_2025-10-03 10_08_14.028-05_00.jpg,GA,250556_LeafPhotoA_2025-10-03 10_08_14.028,250556,NA,38,3,NA,NA,12.45,CV2,FALSE,NA,SAP,PI656035,NA,NA,NA,NA
data/fvsu2025/images/250556_LeafPhotoA_2025-10-03 10_08_33.967-05_00.jpg,GA,250556_LeafPhotoA_2025-10-03 10_08_33.967,250556,NA,38,3,NA,NA,8.56,CV2,FALSE,NA,SAP,PI656035,NA,NA,NA,NA
data/fvsu2025/images/250557_LeafPhotoA_2025-10-03 10_08_50.574-05_00.jpg,GA,250557_LeafPhotoA_2025-10-03 10_08_50.574,250557,NA,38,4,NA,NA,1.39,CV2,FALSE,NA,SAP,PI656120,NA,NA,NA,NA
data/fvsu2025/images/250557_LeafPhotoA_2025-10-03 10_08_59.472-05_00.jpg,GA,250557_LeafPhotoA_2025-10-03 10_08_59.472,250557,NA,38,4,NA,NA,1.54,CV2,FALSE,NA,SAP,PI656120,NA,NA,NA,NA
data/fvsu2025/images/250557_LeafPhotoA_2025-10-03 10_09_13.735-05_00.jpg,GA,250557_LeafPhotoA_2025-10-03 10_09_13.735,250557,NA,38,4,NA,NA,0.99,CV2,FALSE,NA,SAP,PI656120,NA,NA,NA,NA
data/fvsu2025/images/250558_LeafPhotoA_2025-10-03 10_09_34.860-05_00.jpg,GA,250558_LeafPhotoA_2025-10-03 10_09_34.860,250558,NA,38,5,NA,NA,4.02,CV2,FALSE,NA,SAP,PI533954,NA,NA,NA,NA
data/fvsu2025/images/250558_LeafPhotoA_2025-10-03 10_09_48.439-05_00.jpg,GA,250558_LeafPhotoA_2025-10-03 10_09_48.439,250558,NA,38,5,NA,NA,0.53,CV2,FALSE,NA,SAP,PI533954,NA,NA,NA,NA
