feature_index,avg_fi,stat,embedding_num,trait
620,0.0001526711217326,mean,620,embedding_mean_620
1842,0.00015254338516445517,std,818,embedding_std_818
469,0.00015249569353418,mean,469,embedding_mean_469
1577,0.00015237419718111452,std,553,embedding_std_553
903,0.0001522522286116896,mean,903,embedding_mean_903
490,0.00015152927943768292,mean,490,embedding_mean_490
943,0.00015138330789992,mean,943,embedding_mean_943
105,0.00015100480639128,mean,105,embedding_mean_105
1255,0.00015066819904990732,std,231,embedding_std_231
877,0.000150481078054201,mean,877,embedding_mean_877
1646,0.00015034722848044,std,622,embedding_std_622
1663,0.00015026890405332,std,639,embedding_std_639
1610,0.00015011953171294,std,586,embedding_std_586
266,0.00015002962816968,mean,266,embedding_mean_266
232,0.00014980337764014,mean,232,embedding_mean_232
1016,0.000149795638646,mean,1016,embedding_mean_1016
257,0.00014954674596175997,mean,257,embedding_mean_257
1585,0.00014950350382744,std,561,embedding_std_561
58,0.00014950087101119072,mean,58,embedding_mean_58
82,0.00014928208640331602,mean,82,embedding_mean_82
1131,0.00014922336613593998,std,107,embedding_std_107
941,0.00014922232867341998,mean,941,embedding_mean_941
1499,0.00014885549164043999,std,475,embedding_std_475
678,0.00014880523052821773,mean,678,embedding_mean_678
1689,0.00014879360092927998,std,665,embedding_std_665
1203,0.00014878435000982,std,179,embedding_std_179
206,0.00014870913691596144,mean,206,embedding_mean_206
1949,0.00014869997392812553,std,925,embedding_std_925
211,0.00014855938744546,mean,211,embedding_mean_211
856,0.00014848259649874,mean,856,embedding_mean_856
676,0.00014840382548248003,mean,676,embedding_mean_676
1880,0.0001483606374396731,std,856,embedding_std_856
900,0.00014825805645172,mean,900,embedding_mean_900
555,0.00014815202682248,mean,555,embedding_mean_555
1263,0.00014812493593164,std,239,embedding_std_239
549,0.00014807824654842,mean,549,embedding_mean_549
1968,0.00014795800655918002,std,944,embedding_std_944
1274,0.00014787248522562014,std,250,embedding_std_250
1780,0.0001476318290929,std,756,embedding_std_756
293,0.00014751783814597998,mean,293,embedding_mean_293
1651,0.00014745700584626226,std,627,embedding_std_627
1558,0.00014743669403288,std,534,embedding_std_534
96,0.00014733930190601315,mean,96,embedding_mean_96
1241,0.00014727177485696666,std,217,embedding_std_217
1572,0.00014722907777396673,std,548,embedding_std_548
126,0.00014716931660756506,mean,126,embedding_mean_126
1272,0.00014713526103,std,248,embedding_std_248
1955,0.000147101536661,std,931,embedding_std_931
1386,0.00014699507322166,std,362,embedding_std_362
419,0.00014688253359601902,mean,419,embedding_mean_419
501,0.00014666500336603998,mean,501,embedding_mean_501
1065,0.00014664850107218001,std,41,embedding_std_41
