trait,avg_fi,stat,embedding_num,n_human,spearman_human,abs_spearman_human,spearman_human_r2,pearson_human,pearson_human_r2,n_exg,spearman_exg,abs_spearman_exg,spearman_exg_r2,pearson_exg,pearson_exg_r2,severity_lm_r2_human_exg,n_severity_lm,residual_fraction_after_human_exg
embedding_mean_698,0.00457931822401208,mean,698,598,-0.43113368023211773,0.43113368023211773,0.18587625023048995,-0.5101690200262935,0.26027242899458863,961,-0.6257931503245845,0.6257931503245845,0.391617066993168,-0.6564567208510937,0.4309354263505708,0.4805867919993124,598,0.5194132080006876
embedding_mean_210,0.0044734171214531795,mean,210,598,0.5728547273451163,0.5728547273451163,0.32816253864164757,0.6150717597347617,0.37831326962321643,961,0.6650398477414227,0.6650398477414227,0.4422779990839346,0.6544910728706809,0.4283585644674149,0.5223593739212538,598,0.47764062607874624
embedding_mean_836,0.00427122751918676,mean,836,598,-0.612817388795536,0.612817388795536,0.3755451520101792,-0.631352190047138,0.39860558787731754,961,-0.5923577269355291,0.5923577269355291,0.3508876766602269,-0.556436592893283,0.3096216819106851,0.458337654683468,598,0.541662345316532
embedding_std_968,0.004217086690758039,std,968,598,0.6204592372125909,0.6204592372125909,0.38496966504243013,0.6068686509299265,0.36828955948150893,961,0.6073894991907274,0.6073894991907274,0.3689220037271626,0.5033133679282531,0.25332434633528106,0.4071025712822782,598,0.5928974287177218
embedding_std_132,0.00406403905617524,std,132,598,0.5502382169954052,0.5502382169954052,0.3027620954422826,0.5190568337641133,0.2694199966772263,961,0.4548344985041928,0.4548344985041928,0.20687442102956055,0.3843501108994139,0.14772500774839176,0.27991923861648704,598,0.720080761383513
embedding_mean_37,0.003996934474745301,mean,37,598,0.5483669804333576,0.5483669804333576,0.30070634522959844,0.5551822024494744,0.3082272779166491,961,0.5763798213847123,0.5763798213847123,0.3322136984994729,0.522158517969063,0.2726495178876483,0.36803376567483337,598,0.6319662343251666
embedding_mean_68,0.00391362470553596,mean,68,598,-0.5407282803866271,0.5407282803866271,0.29238707320987883,-0.5479984496601904,0.3003023008299722,961,-0.6199060465008739,0.6199060465008739,0.38428350648834364,-0.5473781700523419,0.29962286104985053,0.37748164231480064,598,0.6225183576851994
embedding_std_687,0.0038244243711411602,std,687,598,0.527812822407579,0.527812822407579,0.27858637549785453,0.5749884931322561,0.33061176723450253,961,0.6435923873145164,0.6435923873145164,0.41421116100919847,0.6408920810179682,0.410742659511542,0.46795157144742605,598,0.532048428552574
embedding_std_793,0.0038158247463138998,std,793,598,0.47040617171133553,0.47040617171133553,0.2212819663841145,0.5128448559229314,0.2630098462466123,961,0.6276643104545468,0.6276643104545468,0.3939624866183818,0.6649503634828535,0.442158985895979,0.4665895920324854,598,0.5334104079675146
embedding_mean_165,0.0038091259430950404,mean,165,598,-0.4181761350015129,0.4181761350015129,0.17487127988480355,-0.5114341655166,0.26156490565766105,961,-0.5279203564382379,0.5279203564382379,0.2786999027418761,-0.6214938791404997,0.386254641809106,0.4552573939413658,598,0.5447426060586342
embedding_mean_582,0.0037810981317638803,mean,582,598,-0.6033891073855427,0.6033891073855427,0.36407841491152204,-0.605760622725952,0.36694593204533316,961,-0.636419831041493,0.636419831041493,0.40503020134288253,-0.5264550763161069,0.27715494737899793,0.4159587635526055,598,0.5840412364473945
embedding_std_821,0.00371100747990526,std,821,598,0.5916163663032362,0.5916163663032362,0.350009924877845,0.6178947149836308,0.38179387880470234,961,0.6555893959029262,0.6555893959029262,0.4297974560203637,0.6397782613323431,0.40931622367343584,0.5120670764331106,598,0.48793292356688944
embedding_mean_108,0.0036590210815776202,mean,108,598,-0.5449107263439968,0.5449107263439968,0.2969276996847422,-0.5412805596672992,0.2929846442737446,961,-0.6087249087814846,0.6087249087814846,0.3705460145710267,-0.5656424953705361,0.319951432569007,0.39150555729555503,598,0.608494442704445
embedding_mean_119,0.0035790956060098604,mean,119,598,0.5274635135966865,0.5274635135966865,0.2782177581757619,0.5832958235787375,0.3402340178043977,961,0.5611066769364046,0.5611066769364046,0.31484070290261473,0.6419532410537623,0.4121039636994298,0.4996759675744813,598,0.5003240324255187
