"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"263","250025","PI 533927","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250025_LeafPhotoA_2025-10-01%2008_35_37.824-05_00.jpg","2025-10-01 08:35:38.407-05:00"," ","","1","SM-A166U1"
"263","250025","PI 533927","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250025_LeafPhotoA_2025-10-01%2008_36_03.557-05_00.jpg","2025-10-01 08:36:03.995-05:00"," ","","2","SM-A166U1"
"263","250025","PI 533927","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250025_LeafPhotoA_2025-10-01%2008_36_27.558-05_00.jpg","2025-10-01 08:36:28.025-05:00"," ","","3","SM-A166U1"
"556","250026","PI 629059","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250026_LeafPhotoA_2025-10-01%2008_37_08.013-05_00.jpg","2025-10-01 08:37:08.561-05:00"," ","","1","SM-A166U1"
"556","250026","PI 629059","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250026_LeafPhotoA_2025-10-01%2008_37_30.254-05_00.jpg","2025-10-01 08:37:30.717-05:00"," ","","2","SM-A166U1"
"556","250026","PI 629059","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250026_LeafPhotoA_2025-10-01%2008_38_00.045-05_00.jpg","2025-10-01 08:38:00.496-05:00"," ","","3","SM-A166U1"
"652","250027","PI 656039","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250027_LeafPhotoA_2025-10-01%2008_38_31.362-05_00.jpg","2025-10-01 08:38:31.898-05:00"," ","","1","SM-A166U1"
"652","250027","PI 656039","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250027_LeafPhotoA_2025-10-01%2008_38_57.670-05_00.jpg","2025-10-01 08:38:58.175-05:00"," ","","2","SM-A166U1"
"652","250027","PI 656039","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250027_LeafPhotoA_2025-10-01%2008_39_28.548-05_00.jpg","2025-10-01 08:39:29.061-05:00"," ","","3","SM-A166U1"
"543","250028","PI 597972","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250028_LeafPhotoA_2025-10-01%2008_40_04.549-05_00.jpg","2025-10-01 08:40:04.997-05:00"," ","","1","SM-A166U1"
"543","250028","PI 597972","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250028_LeafPhotoA_2025-10-01%2008_40_33.520-05_00.jpg","2025-10-01 08:40:34.015-05:00"," ","","2","SM-A166U1"
"543","250028","PI 597972","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250028_LeafPhotoA_2025-10-01%2008_40_52.513-05_00.jpg","2025-10-01 08:40:52.974-05:00"," ","","3","SM-A166U1"
"672","250029","PI 656067","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250029_LeafPhotoA_2025-10-01%2008_41_24.957-05_00.jpg","2025-10-01 08:41:25.548-05:00"," ","","1","SM-A166U1"
"672","250029","PI 656067","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250029_LeafPhotoA_2025-10-01%2008_42_02.507-05_00.jpg","2025-10-01 08:42:02.970-05:00"," ","","2","SM-A166U1"
"672","250029","PI 656067","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250029_LeafPhotoA_2025-10-01%2008_42_31.801-05_00.jpg","2025-10-01 08:42:32.339-05:00"," ","","3","SM-A166U1"
"290","250030","PI 533997","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250030_LeafPhotoA_2025-10-01%2008_43_06.776-05_00.jpg","2025-10-01 08:43:07.287-05:00"," ","","1","SM-A166U1"
"290","250030","PI 533997","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250030_LeafPhotoA_2025-10-01%2008_43_31.100-05_00.jpg","2025-10-01 08:43:31.637-05:00"," ","","2","SM-A166U1"
"290","250030","PI 533997","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250030_LeafPhotoA_2025-10-01%2008_43_57.044-05_00.jpg","2025-10-01 08:43:57.506-05:00"," ","","3","SM-A166U1"
"482","250031","PI 576391","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250031_LeafPhotoA_2025-10-01%2008_44_38.824-05_00.jpg","2025-10-01 08:44:39.389-05:00"," ","","1","SM-A166U1"
"482","250031","PI 576391","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250031_LeafPhotoA_2025-10-01%2008_45_01.098-05_00.jpg","2025-10-01 08:45:01.531-05:00"," ","","2","SM-A166U1"
"482","250031","PI 576391","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250031_LeafPhotoA_2025-10-01%2008_45_22.228-05_00.jpg","2025-10-01 08:45:22.785-05:00"," ","","3","SM-A166U1"
"551","250032","PI 609456","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250032_LeafPhotoA_2025-10-01%2008_45_52.136-05_00.jpg","2025-10-01 08:45:52.831-05:00"," ","","1","SM-A166U1"
"551","250032","PI 609456","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250032_LeafPhotoA_2025-10-01%2008_46_13.921-05_00.jpg","2025-10-01 08:46:14.387-05:00"," ","","2","SM-A166U1"
"551","250032","PI 609456","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250032_LeafPhotoA_2025-10-01%2008_46_36.960-05_00.jpg","2025-10-01 08:46:37.466-05:00"," ","","3","SM-A166U1"
"488","250064","PI 576418","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250064_LeafPhotoA_2025-10-01%2008_48_51.284-05_00.jpg","2025-10-01 08:48:52.017-05:00"," ","","1","SM-A166U1"
"488","250064","PI 576418","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250064_LeafPhotoA_2025-10-01%2008_49_10.180-05_00.jpg","2025-10-01 08:49:10.793-05:00"," ","","2","SM-A166U1"
"488","250064","PI 576418","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250064_LeafPhotoA_2025-10-01%2008_49_39.450-05_00.jpg","2025-10-01 08:49:39.983-05:00"," ","","3","SM-A166U1"
"469","250063","PI 576350","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250063_LeafPhotoA_2025-10-01%2008_50_13.250-05_00.jpg","2025-10-01 08:50:13.931-05:00"," ","","1","SM-A166U1"
"469","250063","PI 576350","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250063_LeafPhotoA_2025-10-01%2008_50_33.642-05_00.jpg","2025-10-01 08:50:34.267-05:00"," ","","2","SM-A166U1"
"469","250063","PI 576350","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250063_LeafPhotoA_2025-10-01%2008_50_55.358-05_00.jpg","2025-10-01 08:50:55.869-05:00"," ","","3","SM-A166U1"
"469","250063","PI 576350","Rep 1","SAP","LeafPhotoNotesA","3 leaves from single plant","2025-10-01 08:51:19.179-05:00"," ","","1","SM-A166U1"
"352","250062","PI 561073","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250062_LeafPhotoA_2025-10-01%2008_52_40.989-05_00.jpg","2025-10-01 08:52:41.616-05:00"," ","","1","SM-A166U1"
"352","250062","PI 561073","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250062_LeafPhotoA_2025-10-01%2008_53_10.723-05_00.jpg","2025-10-01 08:53:11.179-05:00"," ","","2","SM-A166U1"
"352","250062","PI 561073","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250062_LeafPhotoA_2025-10-01%2008_53_37.138-05_00.jpg","2025-10-01 08:53:37.566-05:00"," ","","3","SM-A166U1"
"698","250061","PI 656104","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250061_LeafPhotoA_2025-10-01%2008_54_15.464-05_00.jpg","2025-10-01 08:54:15.952-05:00"," ","","1","SM-A166U1"
"698","250061","PI 656104","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250061_LeafPhotoA_2025-10-01%2008_54_44.881-05_00.jpg","2025-10-01 08:54:45.451-05:00"," ","","2","SM-A166U1"
"698","250061","PI 656104","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250061_LeafPhotoA_2025-10-01%2008_55_50.814-05_00.jpg","2025-10-01 08:55:51.283-05:00"," ","","3","SM-A166U1"
"673","250060","PI 656068","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250060_LeafPhotoA_2025-10-01%2008_56_14.677-05_00.jpg","2025-10-01 08:56:15.342-05:00"," ","","1","SM-A166U1"
"673","250060","PI 656068","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250060_LeafPhotoA_2025-10-01%2008_56_35.775-05_00.jpg","2025-10-01 08:56:36.266-05:00"," ","","2","SM-A166U1"
"673","250060","PI 656068","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250060_LeafPhotoA_2025-10-01%2008_56_50.632-05_00.jpg","2025-10-01 08:56:51.186-05:00"," ","","3","SM-A166U1"
"498","250059","PI 585291","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250059_LeafPhotoA_2025-10-01%2008_57_28.668-05_00.jpg","2025-10-01 08:57:29.372-05:00"," ","","1","SM-A166U1"
"498","250059","PI 585291","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250059_LeafPhotoA_2025-10-01%2008_57_51.704-05_00.jpg","2025-10-01 08:57:52.214-05:00"," ","","2","SM-A166U1"
"498","250059","PI 585291","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250059_LeafPhotoA_2025-10-01%2008_58_19.600-05_00.jpg","2025-10-01 08:58:20.143-05:00"," ","","3","SM-A166U1"
"647","250058","PI 656034","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250058_LeafPhotoA_2025-10-01%2009_03_19.621-05_00.jpg","2025-10-01 09:03:20.285-05:00"," ","","1","SM-A166U1"
"647","250058","PI 656034","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250058_LeafPhotoA_2025-10-01%2009_04_18.463-05_00.jpg","2025-10-01 09:04:19.042-05:00"," ","","2","SM-A166U1"
"647","250058","PI 656034","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250058_LeafPhotoA_2025-10-01%2009_04_36.163-05_00.jpg","2025-10-01 09:04:36.906-05:00"," ","","3","SM-A166U1"
"531","250057","PI 597952","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250057_LeafPhotoA_2025-10-01%2009_05_27.847-05_00.jpg","2025-10-01 09:05:28.402-05:00"," ","","1","SM-A166U1"
"531","250057","PI 597952","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250057_LeafPhotoA_2025-10-01%2009_06_02.637-05_00.jpg","2025-10-01 09:06:03.266-05:00"," ","","2","SM-A166U1"
"531","250057","PI 597952","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250057_LeafPhotoA_2025-10-01%2009_06_27.929-05_00.jpg","2025-10-01 09:06:28.470-05:00"," ","","3","SM-A166U1"
"656","250056","PI 656044","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250056_LeafPhotoA_2025-10-01%2009_07_28.715-05_00.jpg","2025-10-01 09:07:29.296-05:00"," ","","1","SM-A166U1"
"656","250056","PI 656044","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250056_LeafPhotoA_2025-10-01%2009_07_45.959-05_00.jpg","2025-10-01 09:07:46.460-05:00"," ","","2","SM-A166U1"
"656","250056","PI 656044","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250056_LeafPhotoA_2025-10-01%2009_08_00.226-05_00.jpg","2025-10-01 09:08:00.751-05:00"," ","","3","SM-A166U1"
"536","250055","PI 597961","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250055_LeafPhotoA_2025-10-01%2009_08_58.929-05_00.jpg","2025-10-01 09:08:59.521-05:00"," ","","1","SM-A166U1"
