S.No,plotNumber,genotype,rep,population,range,row
434,251132,PI570039,Rep 2,BAP,76,15
55,251133,PI156487,Rep 2,BAP,76,16
420,251134,PI569447,Rep 2,BAP,76,17
122,251135,PI329478,Rep 2,BAP,76,18
64,251136,PI175919,Rep 2,BAP,77,3
445,251137,PI570090,Rep 2,BAP,77,4
158,251138,PI329864,Rep 2,BAP,77,5
124,251139,PI329501,Rep 2,BAP,77,6
104,251140,PI329256,Rep 2,BAP,77,7
552,251141,PI619807,Rep 2,BAP,77,8
91,251142,PI266927,Rep 2,BAP,77,9
58,251143,PI157030,Rep 2,BAP,77,10
84,251144,PI251672,Rep 2,BAP,77,11
135,251145,PI329551,Rep 2,BAP,77,12
27,251146,PI152860,Rep 2,BAP,77,13
191,251147,PI505722,Rep 2,BAP,77,14
403,251148,PI569244,Rep 2,BAP,77,15
590,251149,PI651497,Rep 2,BAP,77,16
406,251150,PI569418,Rep 2,BAP,77,17
511,251151,PI586443,Rep 2,BAP,77,18
89,251152,PI257599,Rep 2,BAP,78,3
97,251153,PI297130,Rep 2,BAP,78,4
404,251154,PI569264,Rep 2,BAP,78,5
432,251155,PI570031,Rep 2,BAP,78,6
457,251156,PI570393,Rep 2,BAP,78,7
497,251157,PI583832,Rep 2,BAP,78,8
378,251158,PI563006,Rep 2,BAP,78,9
168,251159,PI330196,Rep 2,BAP,78,10
65,251160,PI176766,Rep 2,BAP,78,11
113,251161,PI329333,Rep 2,BAP,78,12
141,251162,PI329605,Rep 2,BAP,78,13
388,251163,PI563331,Rep 2,BAP,78,14
137,251164,PI329569,Rep 2,BAP,78,15
428,251165,PI569460,Rep 2,BAP,78,16
131,251166,PI329541,Rep 2,BAP,78,17
372,251167,PI562985,Rep 2,BAP,78,18
106,251168,PI329299,Rep 2,BAP,79,3
418,251169,PI569445,Rep 2,BAP,79,4
585,251170,PI651491,Rep 2,BAP,79,5
26,251171,PI152828,Rep 2,BAP,79,6
178,251172,PI452542,Rep 2,BAP,79,7
458,251173,PI570400,Rep 2,BAP,79,8
433,251174,PI570038,Rep 2,BAP,79,9
139,251175,PI329583,Rep 2,BAP,79,10
148,251176,PI329645,Rep 2,BAP,79,11
11,251177,PI144134,Rep 2,BAP,79,12
34,251178,PI152967,Rep 2,BAP,79,13
368,251179,PI562970,Rep 2,BAP,79,14
43,251180,PI155149,Rep 2,BAP,79,15
500,251181,PI585406,Rep 2,BAP,79,16
208,251182,PI525049,Rep 2,BAP,79,17
42,251183,PI154988,Rep 2,BAP,79,18
390,251184,PI563338,Rep 2,BAP,80,3
415,251185,PI569435,Rep 2,BAP,80,4
80,251186,PI221651,Rep 2,BAP,80,5
411,251187,PI569423,Rep 2,BAP,80,6
41,251188,PI154987,Rep 2,BAP,80,7
444,251189,PI570087,Rep 2,BAP,80,8
152,251190,PI329699,Rep 2,BAP,80,9
99,251191,PI297171,Rep 2,BAP,80,10
347,251192,PI552851,Rep 2,BAP,80,11
340,251193,PI540518,Rep 2,BAP,80,12
424,251194,PI569455,Rep 2,BAP,80,13
115,251195,PI329351,Rep 2,BAP,80,14
162,251196,PI330169,Rep 2,BAP,80,15
101,251197,PI300118,Rep 2,BAP,80,16
59,251198,PI157033,Rep 2,BAP,80,17
83,251199,PI250583,Rep 2,BAP,80,18
71,251200,PI195754,Rep 2,BAP,81,3
389,251201,PI563332,Rep 2,BAP,81,4
194,251202,PI506069,Rep 2,BAP,81,5
579,251203,PI643016,Rep 2,BAP,81,6
380,251204,PI563020,Rep 2,BAP,81,7
206,251205,PI521290,Rep 2,BAP,81,8
167,251206,PI330195,Rep 2,BAP,81,9
442,251207,PI570076,Rep 2,BAP,81,10
410,251208,PI569422,Rep 2,BAP,81,11
147,251209,PI329644,Rep 2,BAP,81,12
383,251210,PI563032,Rep 2,BAP,81,13
385,251211,PI563295,Rep 2,BAP,81,14
88,251212,PI255744,Rep 2,BAP,81,15
75,251213,PI196598,Rep 2,BAP,81,16
8,251214,PI52606,Rep 2,BAP,81,17
185,251215,PI455217,Rep 2,BAP,81,18
503,251216,PI585454,Rep 2,BAP,82,3
364,251217,PI562732,Rep 2,BAP,82,4
441,251218,PI570075,Rep 2,BAP,82,5
371,251219,PI562982,Rep 2,BAP,82,6
413,251220,PI569427,Rep 2,BAP,82,7
336,251221,PI535793,Rep 2,BAP,82,8
414,251222,PI569433,Rep 2,BAP,82,9
9,251223,PI63715,Rep 2,BAP,82,10
416,251224,PI569443,Rep 2,BAP,82,11
514,251225,PI593916,Rep 2,BAP,82,12
195,251226,PI506114,Rep 2,BAP,82,13
20,251227,PI152727,Rep 2,BAP,82,14
437,251228,PI570053,Rep 2,BAP,82,15
33,251229,PI152966,Rep 2,BAP,82,16
454,251230,PI570371,Rep 2,BAP,82,17
176,251231,PI337689,Rep 2,BAP,82,18
407,251232,PI569419,Rep 2,BAP,83,3
505,251233,PI585467,Rep 2,BAP,83,4
196,251234,PI506122,Rep 2,BAP,83,5
156,251235,PI329841,Rep 2,BAP,83,6
379,251236,PI563009,Rep 2,BAP,83,7
29,251237,PI152923,Rep 2,BAP,83,8
76,251238,PI197542,Rep 2,BAP,83,9
508,251239,PI585961,Rep 2,BAP,83,10
52,251240,PI156330,Rep 2,BAP,83,11
3,251241,PI22913,Rep 2,BAP,83,12
67,251242,PI180348,Rep 2,BAP,83,13
28,251243,PI152862,Rep 2,BAP,83,14
70,251244,PI181899,Rep 2,BAP,83,15
62,251245,PI167093,Rep 2,BAP,83,16
69,251246,PI181083,Rep 2,BAP,83,17
16,251247,PI146890,Rep 2,BAP,83,18
207,251248,PI524475,Rep 2,BAP,84,3
127,251249,PI329511,Rep 2,BAP,84,4
77,251250,PI213900,Rep 2,BAP,84,5
374,251251,PI562991,Rep 2,BAP,84,6
54,251252,PI156463,Rep 2,BAP,84,7
567,251253,PI641836,Rep 2,BAP,84,8
79,251254,PI221548,Rep 2,BAP,84,9
85,251255,PI253986,Rep 2,BAP,84,10
63,251256,PI170787,Rep 2,BAP,84,11
170,251257,PI330796,Rep 2,BAP,84,12
456,251258,PI570388,Rep 2,BAP,84,13
119,251259,PI329465,Rep 2,BAP,84,14
94,251260,PI273969,Rep 2,BAP,84,15
165,251261,PI330185,Rep 2,BAP,84,16
373,251262,PI562990,Rep 2,BAP,84,17
92,251263,PI267573,Rep 2,BAP,84,18
189,251264,PI455307,Rep 2,BAP,91,3
51,251265,PI156326,Rep 2,BAP,91,4
393,251266,PI563355,Rep 2,BAP,91,5
563,251267,PI641829,Rep 2,BAP,91,6
149,251268,PI329646,Rep 2,BAP,91,7
384,251269,PI563196,Rep 2,BAP,91,8
134,251270,PI329550,Rep 2,BAP,91,9
431,251271,PI569886,Rep 2,BAP,91,10
146,251272,PI329632,Rep 2,BAP,91,11
107,251273,PI329300,Rep 2,BAP,91,12
449,251274,PI570109,Rep 2,BAP,91,13
151,251275,PI329673,Rep 2,BAP,91,14
182,251276,PI453106,Rep 2,BAP,91,15
426,251277,PI569458,Rep 2,BAP,91,16
439,251278,PI570073,Rep 2,BAP,91,17
103,251279,PI303658,Rep 2,BAP,91,18
429,251280,PI569462,Rep 2,BAP,92,3
154,251281,PI329710,Rep 2,BAP,92,4
82,251282,PI229841,Rep 2,BAP,92,5
502,251283,PI585452,Rep 2,BAP,92,6
386,251284,PI563329,Rep 2,BAP,92,7
73,251285,PI196583,Rep 2,BAP,92,8
377,251286,PI563002,Rep 2,BAP,92,9
72,251287,PI196049,Rep 2,BAP,92,10
558,251288,PI641810,Rep 2,BAP,92,11
316,251289,PI534120,Rep 2,BAP,92,12
405,251290,PI569416,Rep 2,BAP,92,13
66,251291,PI179749,Rep 2,BAP,92,14
594,251292,PI655972,Rep 2,BAP,92,15
160,251293,PI330167,Rep 2,BAP,92,16
335,251294,PI535785,Rep 2,BAP,92,17
205,251295,PI521281,Rep 2,BAP,92,18
501,251296,PI585448,Rep 2,BAP,89,3
187,251297,PI455280,Rep 2,BAP,89,4
61,251298,PI157804,Rep 2,BAP,89,5
421,251299,PI569452,Rep 2,BAP,89,6
451,251300,PI570114,Rep 2,BAP,89,7
197,251301,PI510757,Rep 2,BAP,89,8
25,251302,PI152816,Rep 2,BAP,89,9
569,251303,PI641850,Rep 2,BAP,89,10
68,251304,PI181080,Rep 2,BAP,89,11
565,251305,PI641834,Rep 2,BAP,89,12
455,251306,PI570373,Rep 2,BAP,89,13
584,251307,PI646266,Rep 2,BAP,89,14
450,251308,PI570110,Rep 2,BAP,89,15
448,251309,PI570106,Rep 2,BAP,89,17
2,251310,PI19770,Rep 2,BAP,89,18
74,251311,PI196586,Rep 2,BAP,89,19
587,251312,PI651493,Rep 2,BAP,90,3
177,251313,PI365512,Rep 2,BAP,90,4
121,251314,PI329471,Rep 2,BAP,90,5
102,251315,PI302252,Rep 2,BAP,90,6
183,251316,PI453177,Rep 2,BAP,90,7
112,251317,PI329326,Rep 2,BAP,90,8
192,251318,PI505735,Rep 2,BAP,90,9
19,251319,PI152694,Rep 2,BAP,90,10
87,251320,PI255239,Rep 2,BAP,90,11
145,251321,PI329618,Rep 2,BAP,90,12
143,251322,PI329615,Rep 2,BAP,90,13
346,251323,PI550604,Rep 2,BAP,90,14
186,251324,PI455221,Rep 2,BAP,90,15
116,251325,PI329403,Rep 2,BAP,90,17
142,251326,PI329614,Rep 2,BAP,90,18
334,251327,PI535783,Rep 2,BAP,90,19
209,251328,PI526905,Rep 2,BAP,87,3
24,251329,PI152751,Rep 2,BAP,87,4
506,251330,PI585577,Rep 2,BAP,87,5
44,251331,PI155516,Rep 2,BAP,87,6
338,251332,PI535795,Rep 2,BAP,87,7
18,251333,PI152651,Rep 2,BAP,87,8
32,251334,PI152965,Rep 2,BAP,87,9
31,251335,PI152963,Rep 2,BAP,87,10
22,251336,PI152730,Rep 2,BAP,87,11
169,251337,PI330199,Rep 2,BAP,87,12
48,251338,PI156203,Rep 2,BAP,87,13
392,251339,PI563350,Rep 2,BAP,87,14
81,251340,PI226096,Rep 2,BAP,87,15
202,251341,PI513898,Rep 2,BAP,87,16
21,251342,PI152728,Rep 2,BAP,87,17
40,251343,PI154944,Rep 2,BAP,87,18
438,251344,PI570071,Rep 2,BAP,88,3
57,251345,PI156890,Rep 2,BAP,88,4
163,251346,PI330181,Rep 2,BAP,88,5
452,251347,PI570145,Rep 2,BAP,88,6
375,251348,PI562994,Rep 2,BAP,88,7
114,251349,PI329338,Rep 2,BAP,88,8
38,251350,PI154844,Rep 2,BAP,88,9
198,251351,PI511355,Rep 2,BAP,88,10
93,251352,PI273465,Rep 2,BAP,88,11
440,251353,PI570074,Rep 2,BAP,88,12
365,251354,PI562781,Rep 2,BAP,88,13
105,251355,PI329286,Rep 2,BAP,88,14
425,251356,PI569457,Rep 2,BAP,88,15
570,251357,PI641860,Rep 2,BAP,88,16
153,251358,PI329702,Rep 2,BAP,88,17
144,251359,PI329617,Rep 2,BAP,88,18
130,251360,PI329519,Rep 2,BAP,85,3
553,251361,PI619838,Rep 2,BAP,85,4
78,251362,PI218112,Rep 2,BAP,85,5
184,251363,PI453696,Rep 2,BAP,85,6
126,251364,PI329510,Rep 2,BAP,85,7
427,251365,PI569459,Rep 2,BAP,85,8
370,251366,PI562981,Rep 2,BAP,85,9
402,251367,PI569148,Rep 2,BAP,85,10
369,251368,PI562971,Rep 2,BAP,85,11
50,251369,PI156268,Rep 2,BAP,85,12
412,251370,PI569425,Rep 2,BAP,85,13
47,251371,PI156018,Rep 2,BAP,85,14
562,251372,PI641824,Rep 2,BAP,85,15
45,251373,PI155760,Rep 2,BAP,85,16
17,251374,PI147224,Rep 2,BAP,85,17
387,251375,PI563330,Rep 2,BAP,85,18
409,251376,PI569421,Rep 2,BAP,86,3
203,251377,PI521019,Rep 2,BAP,86,4
447,251378,PI570096,Rep 2,BAP,86,5
332,251379,PI534165,Rep 2,BAP,86,6
391,251380,PI563348,Rep 2,BAP,86,7
15,251381,PI145633,Rep 2,BAP,86,8
56,251382,PI156871,Rep 2,BAP,86,9
117,251383,PI329435,Rep 2,BAP,86,10
561,251384,PI641821,Rep 2,BAP,86,11
