image_path,ExG_P20_disease_pct
250042_LeafPhotoA_2025-10-01 08_54_47.276-05_00_leaf.png,1.79
250043_LeafPhotoA_2025-10-01 08_59_10.324-05_00_leaf.png,4.71
250043_LeafPhotoA_2025-10-01 08_59_23.355-05_00_leaf.png,1.84
250043_LeafPhotoA_2025-10-01 08_59_37.918-05_00_leaf.png,4.03
250044_LeafPhotoA_2025-10-01 09_00_30.520-05_00_leaf.png,0.58
250044_LeafPhotoA_2025-10-01 09_00_41.440-05_00_leaf.png,1.17
250044_LeafPhotoA_2025-10-01 09_00_55.383-05_00_leaf.png,0.65
250045_LeafPhotoA_2025-10-01 09_01_58.025-05_00_leaf.png,12.46
250045_LeafPhotoA_2025-10-01 09_02_31.696-05_00_leaf.png,20.16
250045_LeafPhotoA_2025-10-01 09_02_57.693-05_00_leaf.png,53.45
250046_LeafPhotoA_2025-10-01 09_04_01.998-05_00_leaf.png,7.92
250046_LeafPhotoA_2025-10-01 09_04_14.225-05_00_leaf.png,13.06
250046_LeafPhotoA_2025-10-01 09_04_29.157-05_00_leaf.png,13
250047_LeafPhotoA_2025-10-01 09_05_37.741-05_00_leaf.png,38.4
250047_LeafPhotoA_2025-10-01 09_05_51.767-05_00_leaf.png,40.6
250047_LeafPhotoA_2025-10-01 09_06_04.002-05_00_leaf.png,30.16
250048_LeafPhotoA_2025-10-01 09_06_49.647-05_00_leaf.png,20.27
250048_LeafPhotoA_2025-10-01 09_07_03.099-05_00_leaf.png,6.22
250048_LeafPhotoA_2025-10-01 09_07_12.573-05_00_leaf.png,12.77
250049_LeafPhotoA_2025-10-01 09_18_00.155-05_00_leaf.png,2.34
250049_LeafPhotoA_2025-10-01 09_18_57.839-05_00_leaf.png,0.18
250050_LeafPhotoA_2025-10-01 09_16_36.691-05_00_leaf.png,0.86
250050_LeafPhotoA_2025-10-01 09_16_58.370-05_00_leaf.png,25.02
250050_LeafPhotoA_2025-10-01 09_17_34.450-05_00_leaf.png,39.83
250051_LeafPhotoA_2025-10-01 09_14_37.117-05_00_leaf.png,0
250051_LeafPhotoA_2025-10-01 09_14_56.862-05_00_leaf.png,1.31
250051_LeafPhotoA_2025-10-01 09_15_37.076-05_00_leaf.png,47.31
250052_LeafPhotoA_2025-10-01 09_13_28.092-05_00_leaf.png,3.46
250052_LeafPhotoA_2025-10-01 09_13_51.583-05_00_leaf.png,15.27
250052_LeafPhotoA_2025-10-01 09_14_07.066-05_00_leaf.png,22.81
250053_LeafPhotoA_2025-10-01 09_12_18.166-05_00_leaf.png,40.96
250053_LeafPhotoA_2025-10-01 09_12_38.147-05_00_leaf.png,61.59
250053_LeafPhotoA_2025-10-01 09_12_58.975-05_00_leaf.png,7.24
250054_LeafPhotoA_2025-10-01 09_10_26.507-05_00_leaf.png,99.93
250054_LeafPhotoA_2025-10-01 09_10_58.933-05_00_leaf.png,83.41
250054_LeafPhotoA_2025-10-01 09_11_22.496-05_00_leaf.png,16.28
250055_LeafPhotoA_2025-10-01 09_08_58.929-05_00_leaf.png,3.24
250055_LeafPhotoA_2025-10-01 09_09_17.668-05_00_leaf.png,4.66
250055_LeafPhotoA_2025-10-01 09_09_38.732-05_00_leaf.png,28.83
250056_LeafPhotoA_2025-10-01 09_07_28.715-05_00_leaf.png,0.09
250056_LeafPhotoA_2025-10-01 09_07_45.959-05_00_leaf.png,0.68
250056_LeafPhotoA_2025-10-01 09_08_00.226-05_00_leaf.png,0.25
250057_LeafPhotoA_2025-10-01 09_05_27.847-05_00_leaf.png,6.69
250057_LeafPhotoA_2025-10-01 09_06_02.637-05_00_leaf.png,2.67
250057_LeafPhotoA_2025-10-01 09_06_27.929-05_00_leaf.png,3.89
250058_LeafPhotoA_2025-10-01 09_03_19.621-05_00_leaf.png,1.27
250058_LeafPhotoA_2025-10-01 09_04_18.463-05_00_leaf.png,0.47
250058_LeafPhotoA_2025-10-01 09_04_36.163-05_00_leaf.png,0.91
250059_LeafPhotoA_2025-10-01 08_57_28.668-05_00_leaf.png,0.7
250059_LeafPhotoA_2025-10-01 08_57_51.704-05_00_leaf.png,2.87
250059_LeafPhotoA_2025-10-01 08_58_19.600-05_00_leaf.png,4.2
250060_LeafPhotoA_2025-10-01 08_56_14.677-05_00_leaf.png,2.22
250060_LeafPhotoA_2025-10-01 08_56_35.775-05_00_leaf.png,15.17
250060_LeafPhotoA_2025-10-01 08_56_50.632-05_00_leaf.png,13.26
250061_LeafPhotoA_2025-10-01 08_54_15.464-05_00_leaf.png,30.95
250061_LeafPhotoA_2025-10-01 08_54_44.881-05_00_leaf.png,29
250061_LeafPhotoA_2025-10-01 08_55_50.814-05_00_leaf.png,38.36
250062_LeafPhotoA_2025-10-01 08_52_40.989-05_00_leaf.png,7.95
250062_LeafPhotoA_2025-10-01 08_53_10.723-05_00_leaf.png,0.37
250062_LeafPhotoA_2025-10-01 08_53_37.138-05_00_leaf.png,2.06
250063_LeafPhotoA_2025-10-01 08_50_13.250-05_00_leaf.png,0.68
250063_LeafPhotoA_2025-10-01 08_50_33.642-05_00_leaf.png,2.34
250063_LeafPhotoA_2025-10-01 08_50_55.358-05_00_leaf.png,1.26
250064_LeafPhotoA_2025-10-01 08_48_51.284-05_00_leaf.png,59.28
250064_LeafPhotoA_2025-10-01 08_49_10.180-05_00_leaf.png,7.33
250064_LeafPhotoA_2025-10-01 08_49_39.450-05_00_leaf.png,9.31
250065_LeafPhotoA_2025-10-01 09_21_38.380-05_00_leaf.png,12.16
250065_LeafPhotoA_2025-10-01 09_21_54.462-05_00_leaf.png,6.64
250065_LeafPhotoA_2025-10-01 09_22_15.719-05_00_leaf.png,37.33
250066_LeafPhotoA_2025-10-01 09_19_12.497-05_00_leaf.png,9.46
250066_LeafPhotoA_2025-10-01 09_19_30.859-05_00_leaf.png,6.02
250066_LeafPhotoA_2025-10-01 09_19_53.515-05_00_leaf.png,1.98
250067_LeafPhotoA_2025-10-01 09_17_52.697-05_00_leaf.png,5.37
250067_LeafPhotoA_2025-10-01 09_18_07.466-05_00_leaf.png,4.34
250067_LeafPhotoA_2025-10-01 09_18_27.865-05_00_leaf.png,4.63
250068_LeafPhotoA_2025-10-01 09_16_27.794-05_00_leaf.png,3.36
250068_LeafPhotoA_2025-10-01 09_16_48.464-05_00_leaf.png,4.33
250068_LeafPhotoA_2025-10-01 09_17_04.949-05_00_leaf.png,3.32
250069_LeafPhotoA_2025-10-01 09_14_50.737-05_00_leaf.png,23.2
250069_LeafPhotoA_2025-10-01 09_15_13.603-05_00_leaf.png,19.23
250069_LeafPhotoA_2025-10-01 09_15_36.115-05_00_leaf.png,1.31
250070_LeafPhotoA_2025-10-01 09_12_58.383-05_00_leaf.png,0.7
250070_LeafPhotoA_2025-10-01 09_13_17.053-05_00_leaf.png,1.17
250070_LeafPhotoA_2025-10-01 09_13_36.683-05_00_leaf.png,1.37
250071_LeafPhotoA_2025-10-01 09_11_42.485-05_00_leaf.png,1.22
250071_LeafPhotoA_2025-10-01 09_12_08.637-05_00_leaf.png,6.29
250071_LeafPhotoA_2025-10-01 09_12_24.403-05_00_leaf.png,1.95
250072_LeafPhotoA_2025-10-01 09_09_50.558-05_00_leaf.png,2.92
250072_LeafPhotoA_2025-10-01 09_10_30.249-05_00_leaf.png,7.38
250072_LeafPhotoA_2025-10-01 09_10_51.189-05_00_leaf.png,64.17
250073_LeafPhotoA_2025-10-01 09_08_27.889-05_00_leaf.png,2.45
250073_LeafPhotoA_2025-10-01 09_08_38.326-05_00_leaf.png,4.27
250073_LeafPhotoA_2025-10-01 09_08_57.961-05_00_leaf.png,13.18
250074_LeafPhotoA_2025-10-01 09_02_24.669-05_00_leaf.png,2.06
250074_LeafPhotoA_2025-10-01 09_07_41.888-05_00_leaf.png,4.71
250074_LeafPhotoA_2025-10-01 09_07_57.153-05_00_leaf.png,11.92
250075_LeafPhotoA_2025-10-01 09_01_17.605-05_00_leaf.png,18.76
250075_LeafPhotoA_2025-10-01 09_01_32.204-05_00_leaf.png,5.66
250075_LeafPhotoA_2025-10-01 09_01_59.790-05_00_leaf.png,8.87
250076_LeafPhotoA_2025-10-01 08_59_51.984-05_00_leaf.png,11.24
250076_LeafPhotoA_2025-10-01 09_00_16.332-05_00_leaf.png,6.08
250076_LeafPhotoA_2025-10-01 09_00_37.961-05_00_leaf.png,5.99
250077_LeafPhotoA_2025-10-01 08_58_19.998-05_00_leaf.png,6.58
250077_LeafPhotoA_2025-10-01 08_58_45.384-05_00_leaf.png,17.39
250077_LeafPhotoA_2025-10-01 08_59_16.582-05_00_leaf.png,1.13
