responseVar,grp,vcov,pctVar,label
embedding_mean_49,row,38.461671892864196,1.3533179812255536,embedding_mean_49
embedding_mean_49,range,587.2410919350845,20.66275047127433,embedding_mean_49
embedding_mean_49,Residual,1537.413074983588,54.09564006323334,embedding_mean_49
embedding_mean_50,genotype,1463.5422963830356,31.212294584634336,embedding_mean_50
embedding_mean_50,row,0,0,embedding_mean_50
embedding_mean_50,range,432.7327111232747,9.228691845371994,embedding_mean_50
embedding_mean_50,Residual,2792.717954592447,59.55901356999367,embedding_mean_50
embedding_mean_51,genotype,1531.708904453373,37.64091724027763,embedding_mean_51
embedding_mean_51,row,35.675830403307415,0.8767142214716775,embedding_mean_51
embedding_mean_51,range,281.5075079556846,6.917894633026391,embedding_mean_51
embedding_mean_51,Residual,2220.3733775651563,54.5644739052243,embedding_mean_51
embedding_mean_52,genotype,3743.196674825342,48.274147705175274,embedding_mean_52
embedding_mean_52,row,45.9676507562465,0.5928219527419024,embedding_mean_52
embedding_mean_52,range,448.91093898245794,5.789381338323415,embedding_mean_52
embedding_mean_52,Residual,3515.9646362254384,45.34364900375941,embedding_mean_52
embedding_mean_53,genotype,1450.3616003125903,25.917739987858994,embedding_mean_53
embedding_mean_53,row,92.39998892036755,1.6511736708990346,embedding_mean_53
embedding_mean_53,range,869.5349471795997,15.538456524566287,embedding_mean_53
embedding_mean_53,Residual,3183.7222560901964,56.89262981667569,embedding_mean_53
embedding_mean_54,genotype,1217.7652934266473,35.12281695889636,embedding_mean_54
embedding_mean_54,row,14.335263728213302,0.41345803390961094,embedding_mean_54
embedding_mean_54,range,286.27028712588134,8.25661475964759,embedding_mean_54
embedding_mean_54,Residual,1948.7920966979887,56.207110247546446,embedding_mean_54
embedding_mean_55,genotype,1679.293259930606,33.24679499907786,embedding_mean_55
embedding_mean_55,row,58.48418565571809,1.1578750284890797,embedding_mean_55
embedding_mean_55,range,969.7189988497701,19.198581647854407,embedding_mean_55
embedding_mean_55,Residual,2343.49647075222,46.39674832457864,embedding_mean_55
embedding_mean_56,genotype,801.9794444960413,34.06429477356067,embedding_mean_56
embedding_mean_56,row,36.44651021787114,1.548075422692809,embedding_mean_56
embedding_mean_56,range,199.2280461359174,8.46226538262345,embedding_mean_56
embedding_mean_56,Residual,1316.6570155006552,55.92536442112307,embedding_mean_56
embedding_mean_57,genotype,6752.714991613129,47.65297570661019,embedding_mean_57
embedding_mean_57,row,36.72661041719349,0.2591746099413824,embedding_mean_57
embedding_mean_57,range,1151.2506379765125,8.124216519111348,embedding_mean_57
