range ,row,plot,experiment,rep,genotype
6,28,1226,SbDiv 2025,1,Check
7,28,1275,SbDiv 2025,1,SC0741
8,28,1326,SbDiv 2025,1,PI 656017
9,28,1375,SbDiv 2025,1,SC1442
10,28,1426,SbDiv 2025,1,PI 534010
11,28,1475,SbDiv 2025,1,SC1024
12,28,1526,SbDiv 2025,1,PI 656095
13,28,1575,SbDiv 2025,1,PI 659694
14,28,1626,SbDiv 2025,1,Check
15,28,1675,SbDiv 2025,1,SC0640
16,28,1726,SbDiv 2025,1,PI 576367
17,28,1775,SbDiv 2025,1,PI 534096
18,28,1826,SbDiv 2025,1,PI 533858
19,28,1875,SbDiv 2025,1,PI 595742
20,28,1926,SbDiv 2025,1,PI 533761
21,28,1975,SbDiv 2025,1,PI 561472
22,28,5026,Mural ExPVP 2025,1,PI 602599
23,28,9390,Border,Border,Border
1,29,9157,Border,Border,Border
2,29,1027,SbDiv 2025,1,PI 656040
3,29,1074,SbDiv 2025,1,PI 533934
4,29,1127,SbDiv 2025,1,PI 534153
5,29,1174,SbDiv 2025,1,PI 656012
6,29,1227,SbDiv 2025,1,PI 595710
7,29,1274,SbDiv 2025,1,PI 656006
8,29,1327,SbDiv 2025,1,PI 533978
9,29,1374,SbDiv 2025,1,PI 534016
10,29,1427,SbDiv 2025,1,PI 533905
11,29,1474,SbDiv 2025,1,PI 597966
12,29,1527,SbDiv 2025,1,Check
13,29,1574,SbDiv 2025,1,PI 597955
14,29,1627,SbDiv 2025,1,PI 533958
15,29,1674,SbDiv 2025,1,PI 656047
16,29,1727,SbDiv 2025,1,PI 642992
17,29,1774,SbDiv 2025,1,SC0868
18,29,1827,SbDiv 2025,1,Check
19,29,1874,SbDiv 2025,1,PI 533889
20,29,1927,SbDiv 2025,1,PI 576340
21,29,1974,SbDiv 2025,1,PI 576346
22,29,5027,Mural ExPVP 2025,1,PI 574398
23,29,9391,Border,Border,Border
1,30,9158,Border,Border,Border
2,30,1028,SbDiv 2025,1,PI 533767
3,30,1073,SbDiv 2025,1,PI 534086
4,30,1128,SbDiv 2025,1,Check
5,30,1173,SbDiv 2025,1,PI 597953
6,30,1228,SbDiv 2025,1,PI 576351
7,30,1273,SbDiv 2025,1,PI 533849
8,30,1328,SbDiv 2025,1,SC0547
9,30,1373,SbDiv 2025,1,PI 534040
10,30,1428,SbDiv 2025,1,PI 533886
11,30,1473,SbDiv 2025,1,SC0263
12,30,1528,SbDiv 2025,1,PI 656013
13,30,1573,SbDiv 2025,1,PI 533829
14,30,1628,SbDiv 2025,1,PI 533751
15,30,1673,SbDiv 2025,1,PI 534115
16,30,1728,SbDiv 2025,1,PI 659696
17,30,1773,SbDiv 2025,1,PI 576130
18,30,1828,SbDiv 2025,1,PI 601816
19,30,1873,SbDiv 2025,1,PI 534046
20,30,1928,SbDiv 2025,1,SC1021
21,30,1973,SbDiv 2025,1,PI 656099
22,30,5028,Mural ExPVP 2025,1,PI 613613
23,30,9392,Border,Border,Border
1,31,9159,Border,Border,Border
2,31,1029,SbDiv 2025,1,PI 576393
3,31,1072,SbDiv 2025,1,PI 534134
4,31,1129,SbDiv 2025,1,PI 656046
5,31,1172,SbDiv 2025,1,PI 276837
6,31,1229,SbDiv 2025,1,PI 656077
7,31,1272,SbDiv 2025,1,SC0582
8,31,1329,SbDiv 2025,1,PI 533871
9,31,1372,SbDiv 2025,1,Check
10,31,1429,SbDiv 2025,1,PI 534158
11,31,1472,SbDiv 2025,1,PI 48770
12,31,1529,SbDiv 2025,1,PI 533965
13,31,1572,SbDiv 2025,1,SC0436
14,31,1629,SbDiv 2025,1,PI 533802
15,31,1672,SbDiv 2025,1,PI 534065
16,31,1729,SbDiv 2025,1,PI 534101
17,31,1772,SbDiv 2025,1,PI 576345
18,31,1829,SbDiv 2025,1,PI 656055
19,31,1872,SbDiv 2025,1,PI 533957
20,31,1929,SbDiv 2025,1,PI 534058
21,31,1972,SbDiv 2025,1,PI 576386
22,31,5029,Mural ExPVP 2025,1,PI 619402
23,31,9393,Border,Border,Border
1,32,9160,Border,Border,Border
2,32,1030,SbDiv 2025,1,PI 533899
3,32,1071,SbDiv 2025,1,PI 595718
4,32,1130,SbDiv 2025,1,PI 656067
5,32,1171,SbDiv 2025,1,PI 533963
6,32,1230,SbDiv 2025,1,PI 656010
7,32,1271,SbDiv 2025,1,PI 533982
8,32,1330,SbDiv 2025,1,PI 595740
9,32,1371,SbDiv 2025,1,PI 533876
10,32,1430,SbDiv 2025,1,PI 656094
11,32,1471,SbDiv 2025,1,PI 533765
12,32,1530,SbDiv 2025,1,PI 656107
13,32,1571,SbDiv 2025,1,PI 655997
14,32,1630,SbDiv 2025,1,PI 534117
15,32,1671,SbDiv 2025,1,PI 533940
16,32,1730,SbDiv 2025,1,PI 533809
17,32,1771,SbDiv 2025,1,PI 533811
18,32,1830,SbDiv 2025,1,PI 533925
19,32,1871,SbDiv 2025,1,SC0236
20,32,1930,SbDiv 2025,1,PI 595699
21,32,1971,SbDiv 2025,1,Check
22,32,5030,Mural ExPVP 2025,1,PI 605724
23,32,9394,Border,Border,Border
1,33,9161,Border,Border,Border
2,33,1031,SbDiv 2025,1,PI 595728
3,33,1070,SbDiv 2025,1,PI 533859
4,33,1131,SbDiv 2025,1,PI 597947
5,33,1170,SbDiv 2025,1,PI 534149
6,33,1231,SbDiv 2025,1,PI 533843
7,33,1270,SbDiv 2025,1,PI 533796
8,33,1331,SbDiv 2025,1,PI 576401
9,33,1370,SbDiv 2025,1,PI 656093
10,33,1431,SbDiv 2025,1,PI 595711
11,33,1470,SbDiv 2025,1,PI 656036
12,33,1531,SbDiv 2025,1,PI 534028
13,33,1570,SbDiv 2025,1,PI 534148
14,33,1631,SbDiv 2025,1,PI 533837
15,33,1670,SbDiv 2025,1,Check
16,33,1731,SbDiv 2025,1,PI 533750
17,33,1770,SbDiv 2025,1,PI 595709
18,33,1831,SbDiv 2025,1,PI 655972
19,33,1870,SbDiv 2025,1,PI 595726
20,33,1931,SbDiv 2025,1,PI 533973
21,33,1970,SbDiv 2025,1,PI 534023
22,33,5031,Mural ExPVP 2025,1,PI 543247
23,33,9395,Border,Border,Border
1,34,9162,Border,Border,Border
2,34,1032,SbDiv 2025,1,PI 329440
3,34,1069,SbDiv 2025,1,SC0479
4,34,1132,SbDiv 2025,1,PI 533759
5,34,1169,SbDiv 2025,1,PI 534102
6,34,1232,SbDiv 2025,1,PI 533872
7,34,1269,SbDiv 2025,1,PI 534057
8,34,1332,SbDiv 2025,1,PI 533986
9,34,1369,SbDiv 2025,1,PI 533894
10,34,1432,SbDiv 2025,1,PI 655996
11,34,1469,SbDiv 2025,1,PI 656054
12,34,1532,SbDiv 2025,1,PI 576390
13,34,1569,SbDiv 2025,1,PI 534011
14,34,1632,SbDiv 2025,1,PI 17548
15,34,1669,SbDiv 2025,1,PI 533922
16,34,1732,SbDiv 2025,1,PI 656050
17,34,1769,SbDiv 2025,1,Check
18,34,1832,SbDiv 2025,1,PI 533840
19,34,1869,SbDiv 2025,1,PI 533927
20,34,1932,SbDiv 2025,1,SC0864
21,34,1969,SbDiv 2025,1,Check
22,34,5032,Mural ExPVP 2025,1,PI 601415
23,34,9396,Border,Border,Border
1,35,9163,Border,Border,Border
2,35,1033,SbDiv 2025,1,PI 534021
3,35,1068,SbDiv 2025,1,PI 533901
4,35,1133,SbDiv 2025,1,SC0652
5,35,1168,SbDiv 2025,1,PI 534133
6,35,1233,SbDiv 2025,1,PI 576410
7,35,1268,SbDiv 2025,1,Check
8,35,1333,SbDiv 2025,1,PI 533776
9,35,1368,SbDiv 2025,1,SC0777
10,35,1433,SbDiv 2025,1,Check
11,35,1468,SbDiv 2025,1,SC0618
12,35,1533,SbDiv 2025,1,PI 534070
13,35,1568,SbDiv 2025,1,PI 533867
14,35,1633,SbDiv 2025,1,PI 533798
15,35,1668,SbDiv 2025,1,PI 576396
16,35,1733,SbDiv 2025,1,PI 576338
17,35,1768,SbDiv 2025,1,PI 576376
18,35,1833,SbDiv 2025,1,PI 533836
19,35,1868,SbDiv 2025,1,PI 595747
20,35,1933,SbDiv 2025,1,PI 534051
21,35,1968,SbDiv 2025,1,PI 533784
22,35,5033,Mural ExPVP 2025,1,PI 554649
23,35,9397,Border,Border,Border
1,36,9164,Border,Border,Border
2,36,1034,SbDiv 2025,1,PI 534120
3,36,1067,SbDiv 2025,1,PI 533846
4,36,1134,SbDiv 2025,1,PI 576374
5,36,1167,SbDiv 2025,1,SC0616
6,36,1234,SbDiv 2025,1,SC0921
7,36,1267,SbDiv 2025,1,PI 576336
8,36,1334,SbDiv 2025,1,PI 533948
9,36,1367,SbDiv 2025,1,PI 595712
10,36,1434,SbDiv 2025,1,PI 533831
11,36,1467,SbDiv 2025,1,Check
12,36,1534,SbDiv 2025,1,PI 533786
13,36,1567,SbDiv 2025,1,PI 576332
14,36,1634,SbDiv 2025,1,PI 642998
15,36,1667,SbDiv 2025,1,SC1178
16,36,1734,SbDiv 2025,1,PI 656121
17,36,1767,SbDiv 2025,1,PI 533793
18,36,1834,SbDiv 2025,1,PI 534124
19,36,1867,SbDiv 2025,1,PI 576407
20,36,1934,SbDiv 2025,1,PI 595706
21,36,1967,SbDiv 2025,1,PI 542406
22,36,5034,Mural ExPVP 2025,1,PI 603983
23,36,9398,Border,Border,Border
1,37,9165,Border,Border,Border
2,37,1035,SbDiv 2025,1,Check
3,37,1066,SbDiv 2025,1,PI 653617
4,37,1135,SbDiv 2025,1,PI 656086
5,37,1166,SbDiv 2025,1,PI 656109
6,37,1235,SbDiv 2025,1,PI 533932
7,37,1266,SbDiv 2025,1,PI 656058
8,37,1335,SbDiv 2025,1,PI 597975
9,37,1366,SbDiv 2025,1,PI 533813
10,37,1435,SbDiv 2025,1,PI 533942
11,37,1466,SbDiv 2025,1,PI 656100
12,37,1535,SbDiv 2025,1,PI 534031
13,37,1566,SbDiv 2025,1,PI 534154
14,37,1635,SbDiv 2025,1,PI 576330
15,37,1666,SbDiv 2025,1,PI 534130
16,37,1735,SbDiv 2025,1,PI 533815
17,37,1766,SbDiv 2025,1,SC0092
18,37,1835,SbDiv 2025,1,PI 534059
19,37,1866,SbDiv 2025,1,PI 576420
20,37,1935,SbDiv 2025,1,PI 533955
21,37,1966,SbDiv 2025,1,PI 656039
22,37,5035,Mural ExPVP 2025,1,PI 574397
23,37,9399,Border,Border,Border
1,38,9166,Border,Border,Border
2,38,1036,SbDiv 2025,1,PI 576400
3,38,1065,SbDiv 2025,1,Check
4,38,1136,SbDiv 2025,1,PI 656105
5,38,1165,SbDiv 2025,1,PI 534061
6,38,1236,SbDiv 2025,1,PI 534030
7,38,1265,SbDiv 2025,1,PI 534071
8,38,1336,SbDiv 2025,1,PI 576437
9,38,1365,SbDiv 2025,1,SC0156
10,38,1436,SbDiv 2025,1,PI 534145
11,38,1465,SbDiv 2025,1,PI 597958
12,38,1536,SbDiv 2025,1,PI 576412
13,38,1565,SbDiv 2025,1,PI 656097
14,38,1636,SbDiv 2025,1,PI 656008
15,38,1665,SbDiv 2025,1,PI 656087
16,38,1736,SbDiv 2025,1,PI 576333
17,38,1765,SbDiv 2025,1,PI 533804
18,38,1836,SbDiv 2025,1,PI 533918
19,38,1865,SbDiv 2025,1,PI 576405
20,38,1936,SbDiv 2025,1,PI 576348
21,38,1965,SbDiv 2025,1,PI 595716
22,38,5036,Mural ExPVP 2025,1,Fill
23,38,9400,Border,Border,Border
1,39,9167,Border,Border,Border
2,39,1037,SbDiv 2025,1,PI 597943
3,39,1064,SbDiv 2025,1,PI 597956
4,39,1137,SbDiv 2025,1,PI 534121
5,39,1164,SbDiv 2025,1,PI 595729
6,39,1237,SbDiv 2025,1,PI 656015
7,39,1264,SbDiv 2025,1,PI 533861
8,39,1337,SbDiv 2025,1,PI 597978
9,39,1364,SbDiv 2025,1,PI 533818
10,39,1437,SbDiv 2025,1,PI 576421
11,39,1464,SbDiv 2025,1,PI 534034
12,39,1537,SbDiv 2025,1,PI 533762
13,39,1564,SbDiv 2025,1,SC0713
14,39,1637,SbDiv 2025,1,PI 534052
15,39,1664,SbDiv 2025,1,PI 534003
16,39,1737,SbDiv 2025,1,PI 597946
17,39,1764,SbDiv 2025,1,SC1058
18,39,1837,SbDiv 2025,1,PI 533960
19,39,1864,SbDiv 2025,1,SC1082
20,39,1937,SbDiv 2025,1,PI 597970
21,39,1964,SbDiv 2025,1,Check
22,39,5037,Mural ExPVP 2025,1,PI 601744
23,39,9401,Border,Border,Border
1,40,9168,Border,Border,Border
2,40,1038,SbDiv 2025,1,PI 533768
3,40,1063,SbDiv 2025,1,PI 576411
4,40,1138,SbDiv 2025,1,PI 533841
5,40,1163,SbDiv 2025,1,PI 534093
6,40,1238,SbDiv 2025,1,PI 534014
7,40,1263,SbDiv 2025,1,SC0923
8,40,1338,SbDiv 2025,1,PI 542718
9,40,1363,SbDiv 2025,1,PI 534166
10,40,1438,SbDiv 2025,1,PI 655989
11,40,1463,SbDiv 2025,1,PI 561073
12,40,1538,SbDiv 2025,1,PI 533791
13,40,1563,SbDiv 2025,1,PI 656114
14,40,1638,SbDiv 2025,1,PI 534035
15,40,1663,SbDiv 2025,1,Check
16,40,1738,SbDiv 2025,1,PI 533911
17,40,1763,SbDiv 2025,1,SC0456
18,40,1838,SbDiv 2025,1,SC0602
19,40,1863,SbDiv 2025,1,PI 533764
20,40,1938,SbDiv 2025,1,SC0400
21,40,1963,SbDiv 2025,1,SC0266
22,40,5038,Mural ExPVP 2025,1,PI 605725
23,40,9402,Border,Border,Border
1,41,9169,Border,Border,Border
2,41,1039,SbDiv 2025,1,PI 533980
3,41,1062,SbDiv 2025,1,PI 533790
4,41,1139,SbDiv 2025,1,PI 533920
5,41,1162,SbDiv 2025,1,PI 655981
6,41,1239,SbDiv 2025,1,PI 533746
7,41,1262,SbDiv 2025,1,Check
8,41,1339,SbDiv 2025,1,PI 597949
9,41,1362,SbDiv 2025,1,PI 576360
10,41,1439,SbDiv 2025,1,PI 576339
11,41,1462,SbDiv 2025,1,PI 534054
12,41,1539,SbDiv 2025,1,PI 533787
13,41,1562,SbDiv 2025,1,PI 576426
14,41,1639,SbDiv 2025,1,PI 656089
15,41,1662,SbDiv 2025,1,PI 533967
16,41,1739,SbDiv 2025,1,PI 656019
17,41,1762,SbDiv 2025,1,PI 576397
18,41,1839,SbDiv 2025,1,PI 534085
19,41,1862,SbDiv 2025,1,Check
20,41,1939,SbDiv 2025,1,PI 534025
21,41,1962,SbDiv 2025,1,PI 533820
22,41,5039,Mural ExPVP 2025,1,PI 601743
23,41,9403,Border,Border,Border
1,42,9170,Border,Border,Border
2,42,1040,SbDiv 2025,1,PI 655995
3,42,1061,SbDiv 2025,1,PI 656075
4,42,1140,SbDiv 2025,1,PI 533772
5,42,1161,SbDiv 2025,1,PI 576350
6,42,1240,SbDiv 2025,1,PI 576363
7,42,1261,SbDiv 2025,1,PI 534131
8,42,1340,SbDiv 2025,1,PI 533755
9,42,1361,SbDiv 2025,1,Check
10,42,1440,SbDiv 2025,1,PI 656020
11,42,1461,SbDiv 2025,1,Check
12,42,1540,SbDiv 2025,1,PI 533773
13,42,1561,SbDiv 2025,1,PI 534107
14,42,1640,SbDiv 2025,1,PI 533966
15,42,1661,SbDiv 2025,1,PI 656078
16,42,1740,SbDiv 2025,1,SC0157
17,42,1761,SbDiv 2025,1,PI 533865
18,42,1840,SbDiv 2025,1,SC0615
19,42,1861,SbDiv 2025,1,PI 533838
20,42,1940,SbDiv 2025,1,PI 576357
21,42,1961,SbDiv 2025,1,PI 597960
22,42,5040,Mural ExPVP 2025,1,PI 605723
23,42,9404,Border,Border,Border
1,43,9171,Border,Border,Border
2,43,1041,SbDiv 2025,1,PI 656042
3,43,1060,SbDiv 2025,1,BTx645
4,43,1141,SbDiv 2025,1,PI 533962
5,43,1160,SbDiv 2025,1,SC0159
6,43,1241,SbDiv 2025,1,PI 533975
7,43,1260,SbDiv 2025,1,PI 576428
8,43,1341,SbDiv 2025,1,PI 656053
9,43,1360,SbDiv 2025,1,PI 597979
10,43,1441,SbDiv 2025,1,PI 595705
11,43,1460,SbDiv 2025,1,PI 595743
12,43,1541,SbDiv 2025,1,PI 595723
13,43,1560,SbDiv 2025,1,PI 576353
14,43,1641,SbDiv 2025,1,PI 534161
15,43,1660,SbDiv 2025,1,PI 533832
16,43,1741,SbDiv 2025,1,PI 533758
17,43,1760,SbDiv 2025,1,PI 597980
18,43,1841,SbDiv 2025,1,SC0753
19,43,1860,SbDiv 2025,1,PI 576422
20,43,1941,SbDiv 2025,1,PI 533797
21,43,1960,SbDiv 2025,1,PI 534000
22,43,5041,Mural ExPVP 2025,1,PI 601756
23,43,9405,Border,Border,Border
1,44,9172,Border,Border,Border
2,44,1042,SbDiv 2025,1,PI 598069
3,44,1059,SbDiv 2025,1,PI 534146
4,44,1142,SbDiv 2025,1,PI 595703
5,44,1159,SbDiv 2025,1,PI 659753
6,44,1242,SbDiv 2025,1,SC0631
7,44,1259,SbDiv 2025,1,PI 595725
8,44,1342,SbDiv 2025,1,PI 595721
9,44,1359,SbDiv 2025,1,PI 576423
10,44,1442,SbDiv 2025,1,PI 533994
11,44,1459,SbDiv 2025,1,PI 533904
12,44,1542,SbDiv 2025,1,PI 656025
13,44,1559,SbDiv 2025,1,PI 533887
14,44,1642,SbDiv 2025,1,PI 534063
15,44,1659,SbDiv 2025,1,PI 576372
16,44,1742,SbDiv 2025,1,PI 656111
17,44,1759,SbDiv 2025,1,PI 595744
18,44,1842,SbDiv 2025,1,PI 576328
19,44,1859,SbDiv 2025,1,PI 656029
20,44,1942,SbDiv 2025,1,PI 533783
21,44,1959,SbDiv 2025,1,PI 533754
22,44,5042,Mural ExPVP 2025,1,PI 613612
23,44,9406,Border,Border,Border
1,45,9173,Border,Border,Border
2,45,1043,SbDiv 2025,1,PI 533852
3,45,1058,SbDiv 2025,1,SC0445
4,45,1143,SbDiv 2025,1,SC0871
5,45,1158,SbDiv 2025,1,PI 534088
6,45,1243,SbDiv 2025,1,Check
7,45,1258,SbDiv 2025,1,PI 533996
8,45,1343,SbDiv 2025,1,Check
9,45,1358,SbDiv 2025,1,PI 656103
10,45,1443,SbDiv 2025,1,PI 153846
11,45,1458,SbDiv 2025,1,SC0297
12,45,1543,SbDiv 2025,1,PI 576355
13,45,1558,SbDiv 2025,1,PI 534037
14,45,1643,SbDiv 2025,1,PI 35038
15,45,1658,SbDiv 2025,1,PI 533780
16,45,1743,SbDiv 2025,1,Check
17,45,1758,SbDiv 2025,1,SC0343
18,45,1843,SbDiv 2025,1,PI 585291
19,45,1858,SbDiv 2025,1,PI 595746
20,45,1943,SbDiv 2025,1,PI 655984
21,45,1958,SbDiv 2025,1,PI 595738
22,45,5043,Mural ExPVP 2025,1,Fill
23,45,9407,Border,Border,Border
1,46,9174,Border,Border,Border
2,46,1044,SbDiv 2025,1,PI 597952
3,46,1057,SbDiv 2025,1,PI 597977
4,46,1144,SbDiv 2025,1,PI 533817
5,46,1157,SbDiv 2025,1,PI 533801
6,46,1244,SbDiv 2025,1,PI 656102
7,46,1257,SbDiv 2025,1,SC0235
8,46,1344,SbDiv 2025,1,SC0247
9,46,1357,SbDiv 2025,1,SC1170
10,46,1444,SbDiv 2025,1,PI 576387
11,46,1457,SbDiv 2025,1,Check
12,46,1544,SbDiv 2025,1,PI 534111
13,46,1557,SbDiv 2025,1,PI 576370
14,46,1644,SbDiv 2025,1,BTx643
15,46,1657,SbDiv 2025,1,PI 656004
16,46,1744,SbDiv 2025,1,PI 576424
17,46,1757,SbDiv 2025,1,PI 656115
18,46,1844,SbDiv 2025,1,PI 564164
19,46,1857,SbDiv 2025,1,PI 656027
20,46,1944,SbDiv 2025,1,PI 576334
21,46,1957,SbDiv 2025,1,Check
22,46,5044,Mural ExPVP 2025,1,PI 543243
23,46,9408,Border,Border,Border
1,47,9175,Border,Border,Border
2,47,1045,SbDiv 2025,1,PI 534140
3,47,1056,SbDiv 2025,1,PI 576352
4,47,1145,SbDiv 2025,1,Check
5,47,1156,SbDiv 2025,1,PI 641824
6,47,1245,SbDiv 2025,1,PI 534127
7,47,1256,SbDiv 2025,1,PI 656113
8,47,1345,SbDiv 2025,1,PI 533936
9,47,1356,SbDiv 2025,1,PI 595702
10,47,1445,SbDiv 2025,1,PI 576366
11,47,1456,SbDiv 2025,1,SC0191
12,47,1545,SbDiv 2025,1,PI 656120
13,47,1556,SbDiv 2025,1,PI 533926
14,47,1645,SbDiv 2025,1,PI 534103
15,47,1656,SbDiv 2025,1,PI 534084
16,47,1745,SbDiv 2025,1,PI 533828
17,47,1756,SbDiv 2025,1,PI 607931
18,47,1845,SbDiv 2025,1,PI 597944
19,47,1856,SbDiv 2025,1,Check
20,47,1945,SbDiv 2025,1,PI 597963
21,47,1956,SbDiv 2025,1,PI 534043
22,47,5045,Mural ExPVP 2025,1,PI 601556
23,47,9409,Border,Border,Border
1,48,9176,Border,Border,Border
2,48,1046,SbDiv 2025,1,PI 656035
3,48,1055,SbDiv 2025,1,PI 576335
4,48,1146,SbDiv 2025,1,PI 533847
5,48,1155,SbDiv 2025,1,PI 533903
6,48,1246,SbDiv 2025,1,PI 533956
7,48,1255,SbDiv 2025,1,SC0895
8,48,1346,SbDiv 2025,1,PI 534095
9,48,1355,SbDiv 2025,1,PI 533913
10,48,1446,SbDiv 2025,1,PI 533979
11,48,1455,SbDiv 2025,1,PI 656034
12,48,1546,SbDiv 2025,1,PI 576331
13,48,1555,SbDiv 2025,1,PI 597954
14,48,1646,SbDiv 2025,1,PI 656051
15,48,1655,SbDiv 2025,1,PI 576399
16,48,1746,SbDiv 2025,1,PI 534132
17,48,1755,SbDiv 2025,1,PI 533830
18,48,1846,SbDiv 2025,1,PI 576347
19,48,1855,SbDiv 2025,1,Check
20,48,1946,SbDiv 2025,1,PI 585295
21,48,1955,SbDiv 2025,1,PI 656064
22,48,5046,Mural ExPVP 2025,1,PI 601553
23,48,9410,Border,Border,Border
1,49,9177,Border,Border,Border
2,49,1047,SbDiv 2025,1,PI 576435
3,49,1054,SbDiv 2025,1,PI 656021
4,49,1147,SbDiv 2025,1,PI 533976
5,49,1154,SbDiv 2025,1,PI 533999
6,49,1247,SbDiv 2025,1,PI 533856
7,49,1254,SbDiv 2025,1,PI 655970
8,49,1347,SbDiv 2025,1,Check
9,49,1354,SbDiv 2025,1,PI 656088
10,49,1447,SbDiv 2025,1,PI 153844
11,49,1454,SbDiv 2025,1,PI 534039
12,49,1547,SbDiv 2025,1,SC0814
13,49,1554,SbDiv 2025,1,PI 533885
14,49,1647,SbDiv 2025,1,PI 533883
15,49,1654,SbDiv 2025,1,SC0409
16,49,1747,SbDiv 2025,1,PI 533959
17,49,1754,SbDiv 2025,1,PI 533862
18,49,1847,SbDiv 2025,1,PI 597950
19,49,1854,SbDiv 2025,1,PI 656079
20,49,1947,SbDiv 2025,1,PI 533990
21,49,1954,SbDiv 2025,1,PI 576343
22,49,5047,Mural ExPVP 2025,1,Fill
23,49,9411,Border,Border,Border
1,50,9178,Border,Border,Border
2,50,1048,SbDiv 2025,1,PI 595741
3,50,1053,SbDiv 2025,1,PI 534042
4,50,1148,SbDiv 2025,1,PI 576414
5,50,1153,SbDiv 2025,1,PI 597982
6,50,1248,SbDiv 2025,1,PI 534055
7,50,1253,SbDiv 2025,1,PI 534108
8,50,1348,SbDiv 2025,1,PI 597967
9,50,1353,SbDiv 2025,1,SC0914
10,50,1448,SbDiv 2025,1,PI 656090
11,50,1453,SbDiv 2025,1,PI 533964
12,50,1548,SbDiv 2025,1,SC0276
13,50,1553,SbDiv 2025,1,PI 597973
14,50,1648,SbDiv 2025,1,PI 534151
15,50,1653,SbDiv 2025,1,PI 533954
16,50,1748,SbDiv 2025,1,PI 656061
17,50,1753,SbDiv 2025,1,PI 534092
18,50,1848,SbDiv 2025,1,PI 153852
19,50,1853,SbDiv 2025,1,PI 552856
20,50,1948,SbDiv 2025,1,PI 533952
21,50,1953,SbDiv 2025,1,PI 576377
22,50,5048,Mural ExPVP 2025,1,PI 601716
23,50,9412,Border,Border,Border
1,51,9179,Border,Border,Border
2,51,1049,SbDiv 2025,1,PI 656073
3,51,1052,SbDiv 2025,1,PI 534068
4,51,1149,SbDiv 2025,1,PI 576378
5,51,1152,SbDiv 2025,1,PI 533777
6,51,1249,SbDiv 2025,1,PI 595727
7,51,1252,SbDiv 2025,1,PI 655971
8,51,1349,SbDiv 2025,1,PI 534157
9,51,1352,SbDiv 2025,1,PI 595745
10,51,1449,SbDiv 2025,1,SC0463
11,51,1452,SbDiv 2025,1,PI 533794
12,51,1549,SbDiv 2025,1,PI 533864
13,51,1552,SbDiv 2025,1,PI 576430
14,51,1649,SbDiv 2025,1,PI 533909
15,51,1652,SbDiv 2025,1,Check
16,51,1749,SbDiv 2025,1,PI 533941
17,51,1752,SbDiv 2025,1,PI 534024
18,51,1849,SbDiv 2025,1,PI 534097
19,51,1852,SbDiv 2025,1,PI 655988
20,51,1949,SbDiv 2025,1,PI 534045
21,51,1952,SbDiv 2025,1,Check
22,51,5049,Mural ExPVP 2025,1,PI 602600
23,51,9413,Border,Border,Border
1,52,9180,Border,Border,Border
2,52,1050,SbDiv 2025,1,PI 576371
3,52,1051,SbDiv 2025,1,Check
4,52,1150,SbDiv 2025,1,SC0027
5,52,1151,SbDiv 2025,1,PI 576354
6,52,1250,SbDiv 2025,1,Check
7,52,1251,SbDiv 2025,1,SC0747
8,52,1350,SbDiv 2025,1,PI 576380
9,52,1351,SbDiv 2025,1,PI 533782
10,52,1450,SbDiv 2025,1,PI 534128
11,52,1451,SbDiv 2025,1,PI 534017
12,52,1550,SbDiv 2025,1,PI 533824
13,52,1551,SbDiv 2025,1,Check
14,52,1650,SbDiv 2025,1,PI 533949
15,52,1651,SbDiv 2025,1,PI 533795
16,52,1750,SbDiv 2025,1,PI 576415
17,52,1751,SbDiv 2025,1,PI 656082
18,52,1850,SbDiv 2025,1,PI 651496
19,52,1851,SbDiv 2025,1,PI 576341
20,52,1950,SbDiv 2025,1,PI 533752
21,52,1951,SbDiv 2025,1,PI 533821
22,52,5050,Mural ExPVP 2025,1,PI 601721
23,52,9414,Border,Border,Border
1,53,9181,Border,Border,Border
2,53,1001,SbDiv 2025,1,PI 533969
3,53,1100,SbDiv 2025,1,PI 656108
4,53,1101,SbDiv 2025,1,PI 533823
5,53,1200,SbDiv 2025,1,PI 656037
6,53,1201,SbDiv 2025,1,PI 548797
7,53,1300,SbDiv 2025,1,SC0438
8,53,1301,SbDiv 2025,1,Check
9,53,1400,SbDiv 2025,1,PI 576337
10,53,1401,SbDiv 2025,1,PI 595731
11,53,1500,SbDiv 2025,1,PI 656014
12,53,1501,SbDiv 2025,1,PI 534139
13,53,1600,SbDiv 2025,1,PI 656063
14,53,1601,SbDiv 2025,1,Check
15,53,1700,SbDiv 2025,1,PI 609456
16,53,1701,SbDiv 2025,1,PI 576398
17,53,1800,SbDiv 2025,1,PI 533785
18,53,1801,SbDiv 2025,1,PI 642793
19,53,1900,SbDiv 2025,1,PI 533944
20,53,1901,SbDiv 2025,1,PI 534109
21,53,9351,Border,Border,Border
22,53,5001,Mural ExPVP 2025,1,PI 544069
23,53,9415,Border,Border,Border
1,54,9182,Border,Border,Border
2,54,1002,SbDiv 2025,1,PI 534049
3,54,1099,SbDiv 2025,1,PI 656009
4,54,1102,SbDiv 2025,1,PI 534152
5,54,1199,SbDiv 2025,1,PI 533972
6,54,1202,SbDiv 2025,1,PI 576356
7,54,1299,SbDiv 2025,1,Check
8,54,1302,SbDiv 2025,1,PI 656018
9,54,1399,SbDiv 2025,1,PI 533854
10,54,1402,SbDiv 2025,1,SC0877
11,54,1499,SbDiv 2025,1,PI 533756
