range ,row,plot,experiment,rep,genotype
4,6,1104,SbDiv 2025,1,PI 656038
5,6,1197,SbDiv 2025,1,PI 659692
6,6,1204,SbDiv 2025,1,PI 534038
7,6,1297,SbDiv 2025,1,SC0178
8,6,1304,SbDiv 2025,1,PI 533879
9,6,1397,SbDiv 2025,1,PI 533877
10,6,1404,SbDiv 2025,1,PI 533816
11,6,1497,SbDiv 2025,1,PI 659695
12,6,1504,SbDiv 2025,1,PI 656112
13,6,1597,SbDiv 2025,1,PI 656048
14,6,1604,SbDiv 2025,1,PI 576344
15,6,1697,SbDiv 2025,1,PI 533907
16,6,1704,SbDiv 2025,1,PI 656059
17,6,1797,SbDiv 2025,1,PI 656096
18,6,1804,SbDiv 2025,1,PI 533814
19,6,1897,SbDiv 2025,1,SC0858
20,6,1904,SbDiv 2025,1,PI 152651
21,6,1997,SbDiv 2025,1,PI 597957
22,6,5004,Mural ExPVP 2025,1,PI 555457
23,6,9368,Border,Border,Border
1,7,9135,Border,Border,Border
2,7,1005,SbDiv 2025,1,PI 533902
3,7,1096,SbDiv 2025,1,PI 576425
4,7,1105,SbDiv 2025,1,PI 595735
5,7,1196,SbDiv 2025,1,SC0854
6,7,1205,SbDiv 2025,1,PI 655991
7,7,1296,SbDiv 2025,1,PI 534027
8,7,1305,SbDiv 2025,1,PI 597961
9,7,1396,SbDiv 2025,1,Fill
10,7,1405,SbDiv 2025,1,PI 533774
11,7,1496,SbDiv 2025,1,Check
12,7,1505,SbDiv 2025,1,PI 656033
13,7,1596,SbDiv 2025,1,PI 576329
14,7,1605,SbDiv 2025,1,PI 576369
15,7,1696,SbDiv 2025,1,PI 576395
16,7,1705,SbDiv 2025,1,PI 656119
17,7,1796,SbDiv 2025,1,SC0848
18,7,1805,SbDiv 2025,1,PI 534033
19,7,1896,SbDiv 2025,1,PI 534091
20,7,1905,SbDiv 2025,1,Check
21,7,1996,SbDiv 2025,1,PI 533799
22,7,5005,Mural ExPVP 2025,1,PI 605726
23,7,9369,Border,Border,Border
1,8,9136,Border,Border,Border
2,8,1006,SbDiv 2025,1,PI 597965
3,8,1095,SbDiv 2025,1,PI 533835
4,8,1106,SbDiv 2025,1,SC0371
5,8,1195,SbDiv 2025,1,PI 576362
6,8,1206,SbDiv 2025,1,PI 655992
7,8,1295,SbDiv 2025,1,PI 533888
8,8,1306,SbDiv 2025,1,PI 533851
9,8,1395,SbDiv 2025,1,PI 656104
10,8,1406,SbDiv 2025,1,PI 533991
11,8,1495,SbDiv 2025,1,SC0550
12,8,1506,SbDiv 2025,1,PI 576373
13,8,1595,SbDiv 2025,1,PI 659693
14,8,1606,SbDiv 2025,1,PI 533908
15,8,1695,SbDiv 2025,1,PI 533992
16,8,1706,SbDiv 2025,1,Check
17,8,1795,SbDiv 2025,1,PI 34911
18,8,1806,SbDiv 2025,1,PI 576385
19,8,1895,SbDiv 2025,1,Fill
20,8,1906,SbDiv 2025,1,PI 533881
21,8,1995,SbDiv 2025,1,PI 533946
22,8,5006,Mural ExPVP 2025,1,Fill
23,8,9370,Border,Border,Border
1,9,9137,Border,Border,Border
2,9,1007,SbDiv 2025,1,PI 533912
3,9,1094,SbDiv 2025,1,PI 655985
4,9,1107,SbDiv 2025,1,SC0458
5,9,1194,SbDiv 2025,1,PI 533866
6,9,1207,SbDiv 2025,1,PI 533855
7,9,1294,SbDiv 2025,1,PI 534119
8,9,1307,SbDiv 2025,1,PI 534036
9,9,1394,SbDiv 2025,1,PI 533870
10,9,1407,SbDiv 2025,1,PI 533984
11,9,1494,SbDiv 2025,1,SC1133
12,9,1507,SbDiv 2025,1,PI 656116
13,9,1594,SbDiv 2025,1,PI 533939
14,9,1607,SbDiv 2025,1,SC0150
15,9,1694,SbDiv 2025,1,PI 576433
16,9,1707,SbDiv 2025,1,PI 533747
17,9,1794,SbDiv 2025,1,Check
18,9,1807,SbDiv 2025,1,PI 534150
19,9,1894,SbDiv 2025,1,PI 656000
20,9,1907,SbDiv 2025,1,PI 533921
21,9,1994,SbDiv 2025,1,PI 534156
22,9,5007,Mural ExPVP 2025,1,PI 601555
23,9,9371,Border,Border,Border
1,10,9138,Border,Border,Border
2,10,1008,SbDiv 2025,1,PI 655975
3,10,1093,SbDiv 2025,1,SC0847
4,10,1108,SbDiv 2025,1,PI 533873
5,10,1193,SbDiv 2025,1,PI 533848
6,10,1208,SbDiv 2025,1,PI 576416
7,10,1293,SbDiv 2025,1,PI 656072
8,10,1308,SbDiv 2025,1,PI 534048
9,10,1393,SbDiv 2025,1,PI 656023
10,10,1408,SbDiv 2025,1,Check
11,10,1493,SbDiv 2025,1,PI 534125
12,10,1508,SbDiv 2025,1,SC0201
13,10,1593,SbDiv 2025,1,PI 576364
14,10,1608,SbDiv 2025,1,PI 534079
15,10,1693,SbDiv 2025,1,PI 534116
16,10,1708,SbDiv 2025,1,PI 533810
17,10,1793,SbDiv 2025,1,PI 533853
18,10,1808,SbDiv 2025,1,PI 656049
19,10,1893,SbDiv 2025,1,PI 595713
20,10,1908,SbDiv 2025,1,PI 655994
21,10,1993,SbDiv 2025,1,PI 533771
22,10,5008,Mural ExPVP 2025,1,PI 554650
23,10,9372,Border,Border,Border
1,11,9139,Border,Border,Border
2,11,1009,SbDiv 2025,1,PI 533950
3,11,1092,SbDiv 2025,1,SC1446
4,11,1109,SbDiv 2025,1,Check
5,11,1192,SbDiv 2025,1,Check
6,11,1209,SbDiv 2025,1,PI 595736
7,11,1292,SbDiv 2025,1,PI 656052
8,11,1309,SbDiv 2025,1,PI 534147
9,11,1392,SbDiv 2025,1,PI 597971
10,11,1409,SbDiv 2025,1,PI 656106
11,11,1492,SbDiv 2025,1,Check
12,11,1509,SbDiv 2025,1,PI 576404
13,11,1592,SbDiv 2025,1,PI 533882
14,11,1609,SbDiv 2025,1,SC0249
