image_path,pctd,plotNumber
1070_LeafPhotoA_2025-09-08 13_01_59.089-05_00_leaf.png,1.13,1070
1071_LeafPhotoA_2025-09-08 13_02_15.956-05_00_leaf.png,0.46,1071
1071_LeafPhotoA_2025-09-08 13_02_28.154-05_00_leaf.png,2.49,1071
1071_LeafPhotoA_2025-09-08 13_02_40.681-05_00_leaf.png,1.18,1071
1072_LeafPhotoA_2025-09-08 13_03_12.392-05_00_leaf.png,7.32,1072
1072_LeafPhotoA_2025-09-08 13_03_29.236-05_00_leaf.png,6.91,1072
1073_LeafPhotoA_2025-09-08 13_06_10.190-05_00_leaf.png,0.39,1073
1073_LeafPhotoA_2025-09-08 13_06_22.249-05_00_leaf.png,1.08,1073
1073_LeafPhotoA_2025-09-08 13_06_37.638-05_00_leaf.png,0.67,1073
1074_LeafPhotoA_2025-09-08 13_07_04.797-05_00_leaf.png,1.87,1074
1074_LeafPhotoA_2025-09-08 13_07_19.185-05_00_leaf.png,0.2,1074
1074_LeafPhotoA_2025-09-08 13_07_20.236-05_00_leaf.png,0.2,1074
1074_LeafPhotoA_2025-09-08 13_07_35.831-05_00_leaf.png,0.03,1074
1075_LeafPhotoA_2025-09-08 13_08_10.230-05_00_leaf.png,0.92,1075
1075_LeafPhotoA_2025-09-08 13_08_28.899-05_00_leaf.png,0.51,1075
1075_LeafPhotoA_2025-09-08 13_08_46.218-05_00_leaf.png,0.24,1075
1076_LeafPhotoA_2025-09-08 13_09_02.306-05_00_leaf.png,0.15,1076
1076_LeafPhotoA_2025-09-08 13_09_04.809-05_00_leaf.png,0.16,1076
1076_LeafPhotoA_2025-09-08 13_09_14.610-05_00_leaf.png,0.32,1076
1076_LeafPhotoA_2025-09-08 13_09_39.276-05_00_leaf.png,0.01,1076
1077_LeafPhotoA_2025-09-08 13_10_03.609-05_00_leaf.png,0.01,1077
1077_LeafPhotoA_2025-09-08 13_10_16.495-05_00_leaf.png,0.4,1077
1077_LeafPhotoA_2025-09-08 13_10_27.977-05_00_leaf.png,1.12,1077
1078_LeafPhotoA_2025-09-08 13_10_47.187-05_00_leaf.png,5.11,1078
1078_LeafPhotoA_2025-09-08 13_10_59.348-05_00_leaf.png,1.46,1078
1079_LeafPhotoA_2025-09-08 13_11_39.389-05_00_leaf.png,0.05,1079
1079_LeafPhotoA_2025-09-08 13_12_23.319-05_00_leaf.png,0.14,1079
1079_LeafPhotoA_2025-09-08 13_12_46.443-05_00_leaf.png,0.24,1079
1080_LeafPhotoA_2025-09-08 13_13_10.878-05_00_leaf.png,8.61,1080
1080_LeafPhotoA_2025-09-08 13_13_28.658-05_00_leaf.png,0.09,1080
1080_LeafPhotoA_2025-09-08 13_13_48.454-05_00_leaf.png,1.81,1080
1081_LeafPhotoA_2025-09-08 13_14_07.416-05_00_leaf.png,1.63,1081
1081_LeafPhotoA_2025-09-08 13_14_19.465-05_00_leaf.png,0.83,1081
1081_LeafPhotoA_2025-09-08 13_14_31.503-05_00_leaf.png,0.22,1081
1082_LeafPhotoA_2025-09-08 13_15_14.529-05_00_leaf.png,1.83,1082
1082_LeafPhotoA_2025-09-08 13_15_41.911-05_00_leaf.png,0.09,1082
1082_LeafPhotoA_2025-09-08 13_16_01.725-05_00_leaf.png,0.19,1082
1083_LeafPhotoA_2025-09-08 13_16_43.264-05_00_leaf.png,0,1083
1083_LeafPhotoA_2025-09-08 13_16_45.891-05_00_leaf.png,0,1083
1083_LeafPhotoA_2025-09-08 13_16_58.615-05_00_leaf.png,0,1083
1083_LeafPhotoA_2025-09-08 13_17_11.784-05_00_leaf.png,0.01,1083
1084_LeafPhotoA_2025-09-08 13_17_37.134-05_00_leaf.png,0.01,1084
1084_LeafPhotoA_2025-09-08 13_17_51.731-05_00_leaf.png,0.11,1084
