"S.No","Plot No","Accession","Replication","Population","height","color","lodging","flowering","insect damage","picture_test","Picture_fieldbook_default","plants","type","rust score","audio","location","gnss","GoPro","angle","Picture_android","notes","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"118","250051","PI 329440","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250051_LeafPhotoA_2025-10-01%2009_15_37.076-05_00.jpg",,,,
"478","250052","PI 576385","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250052_LeafPhotoA_2025-10-01%2009_14_07.066-05_00.jpg",,,,
"529","250053","PI 597950","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250053_LeafPhotoA_2025-10-01%2009_12_58.975-05_00.jpg",,,,
"530","250054","PI 597951","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250054_LeafPhotoA_2025-10-01%2009_11_22.496-05_00.jpg",,,,
"536","250055","PI 597961","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250055_LeafPhotoA_2025-10-01%2009_09_38.732-05_00.jpg",,,,
"656","250056","PI 656044","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250056_LeafPhotoA_2025-10-01%2009_08_00.226-05_00.jpg",,,,
"531","250057","PI 597952","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250057_LeafPhotoA_2025-10-01%2009_06_27.929-05_00.jpg",,,,
"647","250058","PI 656034","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250058_LeafPhotoA_2025-10-01%2009_04_36.163-05_00.jpg",,,,
"498","250059","PI 585291","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250059_LeafPhotoA_2025-10-01%2008_58_19.600-05_00.jpg",,,,
"673","250060","PI 656068","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250060_LeafPhotoA_2025-10-01%2008_56_50.632-05_00.jpg",,,,
