"S.No","Plot No","Accession","Replication","Population","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"608","250131","PI 655986","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250131_LeafPhotoA_2025-10-01%2010_39_31.054-05_00.jpg",,,,
"686","250132","PI 656089","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250132_LeafPhotoA_2025-10-01%2010_40_45.803-05_00.jpg",,,,
"688","250133","PI 656092","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250133_LeafPhotoA_2025-10-01%2010_41_38.793-05_00.jpg",,,,
"659","250134","PI 656048","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250134_LeafPhotoA_2025-10-01%2010_42_42.100-05_00.jpg",,,,
"547","250135","PI 597982","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250135_LeafPhotoA_2025-10-01%2010_43_48.081-05_00.jpg",,,,
"311","250136","PI 534112","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250136_LeafPhotoA_2025-10-01%2010_44_42.378-05_00.jpg",,,,
"708","250137","PI 656115","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250137_LeafPhotoA_2025-10-01%2010_45_30.491-05_00.jpg",,,,
"637","250138","PI 656019","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250138_LeafPhotoA_2025-10-01%2010_46_32.383-05_00.jpg",,,,
"641","250139","PI 656024","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250139_LeafPhotoA_2025-10-01%2010_47_27.607-05_00.jpg",,,,
"596","250140","PI 655973","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250140_LeafPhotoA_2025-10-01%2010_48_21.543-05_00.jpg",,,,
"294","250141","PI 534028","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250141_LeafPhotoA_2025-10-01%2010_49_34.358-05_00.jpg","pictures taken from single plant, high aphid infestation, photo for reference ",,,
"549","250142","PI 601816","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250142_LeafPhotoA_2025-10-01%2010_51_16.394-05_00.jpg",,,,
"633","250143","PI 656014","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250143_LeafPhotoA_2025-10-01%2010_52_00.835-05_00.jpg",,,,
"528","250144","PI 597949","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250144_LeafPhotoA_2025-10-01%2010_52_50.929-05_00.jpg",,,,
"592","250145","PI 655970","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250145_LeafPhotoA_2025-10-01%2013_30_32.969-05_00.jpg",,,,
"271","250146","PI 533954","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250146_LeafPhotoA_2025-10-01%2013_32_09.989-05_00.jpg",,,,
