"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"196","250753","PI506122","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250753_LeafPhotoA_2025-10-07%2014_15_01.790-05_00.jpg","2025-10-07 14:15:03.867-05:00"," ","","1","SM-A166U1"
"196","250753","PI506122","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250753_LeafPhotoA_2025-10-07%2014_15_18.059-05_00.jpg","2025-10-07 14:15:20.086-05:00"," ","","2","SM-A166U1"
"196","250753","PI506122","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250753_LeafPhotoA_2025-10-07%2014_15_30.168-05_00.jpg","2025-10-07 14:15:32.244-05:00"," ","","3","SM-A166U1"
"450","250754","PI570110","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250754_LeafPhotoA_2025-10-07%2014_13_31.534-05_00.jpg","2025-10-07 14:13:33.520-05:00"," ","","1","SM-A166U1"
"450","250754","PI570110","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250754_LeafPhotoA_2025-10-07%2014_13_47.464-05_00.jpg","2025-10-07 14:13:49.501-05:00"," ","","2","SM-A166U1"
"450","250754","PI570110","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250754_LeafPhotoA_2025-10-07%2014_14_06.967-05_00.jpg","2025-10-07 14:14:09.063-05:00"," ","","3","SM-A166U1"
"210","250755","PI527045","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250755_LeafPhotoA_2025-10-07%2014_12_07.385-05_00.jpg","2025-10-07 14:12:09.560-05:00"," ","","1","SM-A166U1"
"210","250755","PI527045","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250755_LeafPhotoA_2025-10-07%2014_12_26.611-05_00.jpg","2025-10-07 14:12:28.800-05:00"," ","","2","SM-A166U1"
"210","250755","PI527045","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250755_LeafPhotoA_2025-10-07%2014_12_41.048-05_00.jpg","2025-10-07 14:12:43.068-05:00"," ","","3","SM-A166U1"
"187","250756","PI455280","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250756_LeafPhotoA_2025-10-07%2014_08_19.224-05_00.jpg","2025-10-07 14:08:21.291-05:00"," ","","1","SM-A166U1"
