,cluster025_1,cluster025_7,cluster025_13,cluster025_14,cluster025_21,cluster025_27,cluster025_29,cluster025_30,cluster025_31,cluster025_32,cluster025_33,cluster025_40,cluster025_41,cluster025_43,cluster025_45,cluster025_46,cluster025_47,cluster025_50,cluster025_57,cluster025_61,cluster025_62,cluster025_63,cluster025_64,cluster025_66,cluster025_69,cluster025_71,cluster025_72,cluster025_73,cluster025_74,cluster025_75,cluster025_76,cluster025_80,cluster025_81,cluster025_82,cluster025_86,cluster025_104,cluster025_109,cluster025_110,cluster025_111,cluster025_112,cluster025_119,cluster025_120,cluster025_121,cluster025_122,cluster025_132,cluster025_136,cluster025_154,cluster025_156,cluster025_164,cluster025_166,cluster025_167,cluster025_174,cluster025_175,cluster025_186,cluster025_189,cluster025_190,cluster025_191,cluster025_192,cluster025_202,cluster025_204,cluster025_207,cluster025_211,cluster025_212
cluster025_33,0.16389693819486317,0.26025956719235843,-0.08845223880442069,0.1692329689384718,0.5402748944413862,0.22603761460890973,0.6083716722652126,0.5182628347122517,0.6019551473426786,0.03742306038318291,1.0,-0.09194876398171671,0.027042909086501508,-0.40417886665054853,-0.5288641913090277,-0.31902060595830667,-0.18062268506366763,0.3621615315509771,0.35088763677012313,-0.06093086523510399,0.46533382710785653,-0.027844455638138425,0.18917825738201843,0.42296914020524445,0.28134920867619706,-0.0027361389725945318,0.38886727370556107,0.0797628883441557,0.014789078193127542,-0.3793993838405488,-0.16457407780831898,-0.3002671999536265,0.144574750627078,0.5532531137718283,0.32547012649637985,0.4137755404231502,-0.20105774516100075,-0.16470375955578698,-0.2446133044326158,-0.028211447688523853,-0.21764152109899862,0.1539712622217401,0.3522788396620429,0.0029448306293809847,0.2443530430978012,-0.1309754505606014,0.3247052230347891,0.2495812769409832,0.21622983623484784,0.20148724931293502,-0.04957616486517432,-0.2402460429180368,0.06211354481521459,-0.03596081591086739,-0.13600627186047207,-0.15168889713529873,0.1414378103211688,0.40792123160960886,-0.07281910695290288,0.1569234158576311,0.534981511092012,0.301775963754653,-0.2434764708013072
cluster025_40,-0.015824006998212934,0.22369548705554784,0.5024827376956024,0.6621018897312901,0.013160564998290315,0.3140100421706973,0.41378294760214884,0.4890664847343792,0.5801615993940029,0.6665105641102704,-0.09194876398171671,1.0,0.7524862518970022,0.6372233639596803,0.6621912809142051,0.7900882910484885,0.6493030700315946,0.0758581265970502,0.49904008291102353,0.733484312590922,-0.20166715397861326,-0.1107917856292815,-0.1694019872956218,0.05144114663804278,0.001028615868438849,0.06289876190405913,-0.44640882145637534,0.7661391978962263,0.7773666294633619,0.08240074190753768,0.6535989532758234,0.45482034658920023,0.2917053988711178,-0.38523231284198045,0.07673784133311937,0.2855912776427011,0.5946328703275955,0.40875487593690635,-0.08490459286903582,0.3544535761930348,0.4950370638122017,0.30517254813046024,-0.41998573051857907,0.2882281772512121,0.49971615633962346,0.4200433606157879,0.583778996264958,-0.08808221654444492,0.6185222010129372,0.39847219638204745,-0.07063443806825373,-0.03454671810204281,0.5080834628584263,0.33975767694481024,0.08360917826916615,0.6970761199030365,0.4336990562496403,0.14029682418042155,0.6500751000972219,0.43134205822328875,0.07085940307284014,0.5808369433277014,0.5754261674141977
cluster025_41,0.12808906369581924,0.554133726347776,0.7239984659283373,0.6153866074668459,-0.054003693881605606,0.2120790102460084,0.34833154275068784,0.5819508259271129,0.5761555500855907,0.6222253977072929,0.027042909086501508,0.7524862518970022,1.0,0.61312017903825,0.6327411228256457,0.666216689895,0.7024119261866756,-0.031066915192486066,0.610866488712932,0.807694257688294,0.04992458285307082,-0.21221413514774048,-0.0329893026025937,-0.03494563958311162,0.2683264340417785,0.025248519974089462,-0.24171659240922955,0.5819213655560956,0.7858083444621053,0.20219210973264315,0.4656678235427027,0.624554674927392,0.11983847636123676,-0.37203967812552574,-0.0892992946149051,0.2982266343694957,0.3287400593343095,0.16011192584156844,0.00718039025676509,0.34566501442618247,0.5764054862618012,0.29435632722773214,-0.12861104535525122,0.32482789040820537,0.6402996439587902,0.5816265373859543,0.7704231847620634,0.2279609559738884,0.6164489765032216,0.5435896631582543,0.08198414420385856,0.1500447278575781,0.7434515136584311,0.3883370431422442,0.24809950445130768,0.4091943124424979,0.5207708381831884,0.31341034124677236,0.5491883681813515,0.6869715493340988,0.10984776311190628,0.41476035854001014,0.4604957608069267
cluster025_43,-0.0701997713370174,0.28656790297066875,0.5056775325586901,0.30237785316328203,-0.17449374947725377,0.12495318957476591,0.04481755739350237,0.20663557540691996,0.15369685990883722,0.41687348080933184,-0.40417886665054853,0.6372233639596803,0.61312017903825,1.0,0.6835848411969563,0.6702319420621682,0.47993898841334826,-0.2098167343268511,0.25439263250552396,0.572588544477823,-0.2215593576393365,0.04091936110050927,-0.15550168640983825,-0.1105653055198999,-0.006841231242616844,0.1188094396303548,-0.35900887904719203,0.37405729267775945,0.5295275827493421,0.21333351701640843,0.37769028951660544,0.5183982401889459,0.05045318608160763,-0.46176889775480817,-0.14230473083896766,0.08865481392703406,0.43643830960431373,0.2031438200039791,0.11248286704065999,0.11927328615764624,0.4363048120373616,0.18434591481031487,-0.27926925036739186,0.1225351945516607,0.2780031277935621,0.45448814583411123,0.2737283999014733,0.0062600482661884236,0.36913589561309534,0.3037878545776604,0.0442477096455415,0.18544430967182013,0.42247487935206485,0.33591267766462524,0.21904944625865766,0.4905364169606553,0.22861525678543188,0.009000704495672255,0.4507261406277062,0.3387407610522896,-0.03725146073638189,0.316699128722153,0.45409534088721554
cluster025_45,-0.01014124171648018,0.13131505849468894,0.5373285206497139,0.3979938160717209,-0.47356415693017767,0.06975635066696455,-0.05849384722957055,0.034539142578066964,0.10663248627658758,0.5530502580742529,-0.5288641913090277,0.6621912809142051,0.6327411228256457,0.6835848411969563,1.0,0.7781882090672905,0.7101543922649523,-0.2007378897042428,0.21168025710991684,0.7098870604410934,-0.3215719863183792,0.040067759975639355,-0.04564233555199854,-0.12773256514901518,0.14044446272546193,0.12258844767946127,-0.41798062960965365,0.5634186252225274,0.5585604697543136,0.4246373828147106,0.5193741921370044,0.6917455884286844,-0.007362258947177806,-0.6207557460559786,-0.13679940116324693,-0.11963371275391928,0.3709934702069652,0.35993202678738945,0.2308487457134809,0.3667721076726618,0.5122167809696327,0.2793430415824158,-0.3900914222650653,0.3130554700347483,0.3497536650034275,0.5254144099204122,0.33363558738747084,-0.03549029169947873,0.4153215645791393,0.23537666445134026,0.024472449629008346,0.20432565785920345,0.4275273610390072,0.2525690074820644,0.23481910588671798,0.5053028527543441,0.35555926600355386,-0.1514192084817586,0.4614740695846668,0.36929784348120126,-0.2684280582930397,0.14649713803718564,0.46725862746263797
cluster025_46,0.060365899491483126,0.13762619946147,0.5225179784719881,0.47641659422454957,-0.10493354876627119,0.3116765563261671,0.23791177146361278,0.2570087695668419,0.3971804292566848,0.7354432869760832,-0.31902060595830667,0.7900882910484885,0.666216689895,0.6702319420621682,0.7781882090672905,1.0,0.7452282826632254,0.03563933311932945,0.27960262953732146,0.6416557188654591,-0.21892122350099244,0.06156249558971231,-0.1274244938406641,-0.10012696297608555,-0.005258563996581586,0.1185237020889844,-0.36534712355530896,0.5558153243254367,0.5547883077342816,0.27450194507189574,0.8114399334319067,0.5889587467546945,0.416666360372333,-0.320570726508742,0.030761312943801192,0.16276498656789454,0.6541101047417195,0.44613234288875314,0.12110948093940649,0.3734054048108898,0.672689105349978,0.3086951106642362,-0.265714281144922,0.39549467876958555,0.4000223730474753,0.5697920538308877,0.4365412806153929,0.03200353053086269,0.5989068126097905,0.4283097162632386,0.09617579413025394,0.2954061826207996,0.46957342701469434,0.35109116584760747,0.1788460282888583,0.5672703583018021,0.3698146625613312,-0.040626609185087134,0.6764665982942892,0.4321136954839692,0.07357160900117023,0.42197023722528865,0.6355620796092735
cluster025_47,0.27433825763902503,0.16617818098145626,0.505285906026635,0.5745939259617105,-0.2832214853980793,0.2255417825359425,0.09246322623216527,0.20029037263974378,0.3622492392841197,0.6852539255313086,-0.18062268506366763,0.6493030700315946,0.7024119261866756,0.47993898841334826,0.7101543922649523,0.7452282826632254,1.0,0.13409791319846784,0.26058060106395703,0.6286346837958054,0.011825645443761426,-0.0013951028838925532,0.16756568028387672,0.000681376295383035,0.37457669304754043,0.3532900318253373,-0.07588225604378808,0.5567261267673029,0.5014268218833543,0.4205046819684207,0.6015240719709567,0.6544653687586907,0.21461602516802297,-0.30943302281447604,0.11830384354870761,-0.08852361707477088,0.2717683032164636,0.42400749202486704,0.23010589544390866,0.5515868351870966,0.5609352562332602,0.2350912074849319,-0.14087738989193346,0.45695395083075296,0.5894572723472975,0.5488766493984935,0.5325614398141875,0.07586553377604881,0.44346856419887604,0.40627105802769997,0.08704925176409402,0.2199447609626179,0.4434057715223652,0.23341101238208167,0.2515623045181631,0.45422900679914496,0.4948787634186027,-0.013002376834676166,0.5248571319307521,0.48178982920812846,0.03110922589676597,0.19084666833646174,0.40266398631534894
cluster025_50,0.33852791688606454,-0.20445528349167905,-0.24619428822887865,0.2355906309174136,0.2920042112057206,0.5873464507926649,0.3074584484614237,0.06584586519063287,0.38157008009208687,0.1979534637806763,0.3621615315509771,0.0758581265970502,-0.031066915192486066,-0.2098167343268511,-0.2007378897042428,0.03563933311932945,0.13409791319846784,1.0,0.10804215100101147,-0.1799581152085125,0.38519600644188884,0.16421314617711422,0.37910775422497484,0.41280935248377154,0.13612400111455594,0.35497639957735305,0.3390427158264676,0.22764553360153117,-0.15007446880355735,-0.3204760044015478,0.1836462730849012,-0.1922006108734189,0.3833992604997954,0.41507544422241294,0.4217245657885016,0.052124739475626146,0.09535342891643156,0.3254816861848171,-0.16259024448151832,0.2592537059533433,0.006819739200522408,0.19146000520354323,0.2215098081010352,0.1804280221549846,0.1162658031392354,-0.20858691815311306,0.006162520409373459,-0.07515781149172757,0.2996635148652403,0.09071541256345658,-0.08218565314161608,-0.12918341827787072,-0.24735833763150789,-0.12895744320342084,0.14043093901229026,0.15002559264516505,0.20391422273482643,0.1741719299957613,-0.01632803186007255,0.03653750968790272,0.4119878289948354,0.25809773710962164,0.08030097500641042
cluster025_57,-0.019968323647932402,0.5995711580049761,0.4950173113348721,0.38085096646430566,0.23563557902633694,0.2626484946493934,0.5104901787680565,0.6454371398592393,0.5971939024663633,0.3634388210082971,0.35088763677012313,0.49904008291102353,0.610866488712932,0.25439263250552396,0.21168025710991684,0.27960262953732146,0.26058060106395703,0.10804215100101147,1.0,0.4714732561978518,0.16144129001184837,-0.24667979514324176,-0.04472092737656602,0.09010678935573788,0.14984624912941094,-0.07173199120487278,-0.11131107376907765,0.40096471211507806,0.5392878878398222,-0.25199511945464975,0.16739037704757645,0.2781493073487997,0.08168376064946818,-0.11473369550136485,-0.05829026203709374,0.529747721864581,0.18273401165323208,-0.04761898615977021,-0.24261510566775726,0.07182901402675601,0.24106683691207162,0.20289438886270028,-0.04012409942802268,0.10409648142443642,0.4092511008148205,0.2604067007024671,0.5884162831230315,0.2150313322268766,0.6020720348718763,0.34715295956502346,-0.0003978833537091546,-0.09187991088602512,0.5385379670812058,0.23337161965740724,0.10631908404395721,0.1429537568412242,0.311690921764225,0.4485941637209334,0.30292244916465677,0.5438787675991696,0.12450673869512272,0.4723381004609313,0.15871685101517208
cluster025_61,-0.05857992762793312,0.5042635469798503,0.7166058768277599,0.5122017421516659,-0.27433000873514024,-0.006861657099855421,0.2444172386491224,0.5012411934884499,0.43438062894749674,0.6245109613483019,-0.06093086523510399,0.733484312590922,0.807694257688294,0.572588544477823,0.7098870604410934,0.6416557188654591,0.6286346837958054,-0.1799581152085125,0.4714732561978518,1.0,-0.07584757697847642,-0.19118363886590584,-0.04558117021026764,0.028835670864133564,0.29855445815517634,-0.09344781988905558,-0.3867797959877724,0.5957504565165063,0.8545213210176262,0.2207487204589286,0.4020359473202551,0.6137529316927067,-0.03945038282910411,-0.4846231874050796,-0.1682213278552381,0.1516525346202147,0.28550435551945236,0.08225562853715591,0.06450062047749985,0.2498731310165267,0.47152499422085714,0.24185250292085547,-0.27425402903541213,0.30649181160210576,0.6064359294869106,0.6432959600937108,0.7115729792731699,0.02960854265464709,0.4843797605679891,0.4296780242382536,0.09818095115417175,0.1373540978632561,0.692235079507509,0.3046798584970682,0.2555773883403539,0.4520158876133421,0.47787008475804854,0.18419266476603313,0.5330234345467292,0.49053911048029125,-0.05880764226714782,0.3736986056462512,0.5069704780988936
