cluster025,axis_id,severity_related,severity_class,cluster_type,n_embeddings,n_loci,has_validated_locus,has_validated_or_proposed_locus,median_max_abs_severity_r,max_abs_severity_r,axis_spearman_abs_r_with_human_exg_anchor,axis_orientation,example_embeddings,reported_candidate_genes
56,cluster025_56,False,not_severity_correlated,multi_trait,10,15,False,False,0.2287206746441698,0.3571797778302986,0.3251165459291813,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_508;embedding_mean_900;embedding_std_16;embedding_std_42;embedding_std_150;embedding_std_245;embedding_std_642;embedding_std_827;embedding_std_957;embedding_std_987,
57,cluster025_57,True,severity_correlated,singleton,1,1,False,False,0.4274964593268958,0.4274964593268958,0.45176933214159326,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_753,
58,cluster025_58,False,not_severity_correlated,multi_trait,2,21,True,True,0.2078015525333445,0.3701442986965847,0.23963500676564428,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_6;embedding_std_121,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
59,cluster025_59,False,not_severity_correlated,singleton,1,1,False,False,0.1770279290133324,0.1770279290133324,0.15721172170546296,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_410,
60,cluster025_60,False,not_severity_correlated,multi_trait,4,5,True,True,0.0999766813900973,0.325402052059134,0.20302019867569174,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_45;embedding_mean_270;embedding_mean_695;embedding_std_627,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
61,cluster025_61,True,severity_correlated,multi_trait,4,5,True,True,0.5160795201139775,0.6276643104545468,0.5721277842751143,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
62,cluster025_62,True,severity_correlated,multi_trait,8,11,True,True,0.3770364791633294,0.5200566075020963,0.5734394722227841,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
63,cluster025_63,True,severity_correlated,multi_trait,3,5,True,True,0.32985454862832,0.5236187921862129,0.4396421950961725,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_59;embedding_mean_846;embedding_std_89,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
64,cluster025_64,True,severity_correlated,multi_trait,3,5,True,True,0.3793065006345797,0.6650398477414227,0.5042604045402752,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_155;embedding_mean_210;embedding_std_785,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
65,cluster025_65,False,not_severity_correlated,multi_trait,5,8,True,True,0.3044173484294785,0.4416131224859598,0.44254272293904284,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_107;embedding_std_149;embedding_std_305;embedding_std_374;embedding_std_927,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
66,cluster025_66,True,severity_correlated,multi_trait,2,4,True,True,0.3833560950044954,0.4567874647631279,0.4140666650037923,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_973;embedding_std_255,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
67,cluster025_67,False,not_severity_correlated,multi_trait,7,11,True,True,0.1182454629626175,0.1476072315319305,0.01109805845212573,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_164;embedding_mean_454;embedding_mean_510;embedding_mean_549;embedding_mean_585;embedding_mean_927;embedding_std_679,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
68,cluster025_68,False,not_severity_correlated,multi_trait,2,3,True,True,0.1287724571362047,0.1977847612836919,0.08370159966167148,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_158;embedding_std_761,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
69,cluster025_69,True,severity_correlated,multi_trait,4,6,True,True,0.4542671541885136,0.5278558471962513,0.48360941395213425,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756,"Sobic.001G323801;Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
70,cluster025_70,False,not_severity_correlated,multi_trait,2,3,True,True,0.2698815918733768,0.3647851099256547,0.08965949675120848,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_125;embedding_std_977,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
71,cluster025_71,True,severity_correlated,multi_trait,2,8,True,True,0.4380844510619788,0.6199060465008739,0.5032853294350622,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_68;embedding_mean_903,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
72,cluster025_72,True,severity_correlated,multi_trait,140,155,True,True,0.2801031083746585,0.6521161390806277,0.4028735196970217,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165;embedding_mean_172;embedding_mean_178;embedding_mean_192;embedding_mean_204,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
73,cluster025_73,True,severity_correlated,multi_trait,4,5,False,False,0.4148632416914942,0.5321092690018489,0.49861259889881615,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000,
74,cluster025_74,True,severity_correlated,multi_trait,15,16,True,True,0.2866563964780468,0.5432506884444963,0.3916730794412372,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855;embedding_std_244;embedding_std_729;embedding_std_796;embedding_std_882,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
75,cluster025_75,True,severity_correlated,multi_trait,3,4,False,False,0.1666569353862978,0.539400719823625,0.2659515914478394,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_740;embedding_mean_1022;embedding_std_1022,
