"Variety Name","Plot Number","Block","LeafPhotoA","LeafPhotoNotes"
"SC 1463","11625","1",,
"Check","11626","1",,
"TX 3197 (COMB KAFIR 60) B LINE","11627","1",,
"Jola Nandyal","20101","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20101_LeafPhotoA_2025-10-23%2010_42_47.187-05_00.jpg",
"SAP-275","20102","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20102_LeafPhotoA_2025-10-23%2010_43_55.433-05_00.jpg",
"K037 Camjin","20103","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20103_LeafPhotoA_2025-10-23%2010_44_52.690-05_00.jpg",
"WHEATLAND","20104","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20104_LeafPhotoA_2025-10-23%2010_45_37.121-05_00.jpg",
"Check","20105","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20105_LeafPhotoA_2025-10-23%2010_46_36.024-05_00.jpg",
"RTX434","20106","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20106_LeafPhotoA_2025-10-23%2010_47_57.605-05_00.jpg",
"SC 1277","20107","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20107_LeafPhotoA_2025-10-23%2010_49_23.199-05_00.jpg",
"SC 22","20108","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20108_LeafPhotoA_2025-10-23%2010_51_12.753-05_00.jpg",
"Check","20109","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20109_LeafPhotoA_2025-10-23%2010_52_27.718-05_00.jpg",
"J.A.T.S. #67","20110","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20110_LeafPhotoA_2025-10-23%2010_53_17.475-05_00.jpg",
"BTx638","20111","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20111_LeafPhotoA_2025-10-23%2010_54_15.263-05_00.jpg",
"IS 12661","20112","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20112_LeafPhotoA_2025-10-23%2010_56_43.907-05_00.jpg",
"80M","20113","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20113_LeafPhotoA_2025-10-23%2010_58_14.128-05_00.jpg",
"Kuyuma","20114","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20114_LeafPhotoA_2025-10-23%2010_59_13.400-05_00.jpg",
"SAP-131","20115","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20115_LeafPhotoA_2025-10-23%2011_00_18.972-05_00.jpg",
"Check","20116","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20116_LeafPhotoA_2025-10-23%2011_01_32.414-05_00.jpg",
"IS 8525(J)","20117","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20117_LeafPhotoA_2025-10-23%2011_02_24.897-05_00.jpg",
"P898012","20118","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20118_LeafPhotoA_2025-10-23%2011_03_34.809-05_00.jpg",
"Maja Abiad Q2/2/68","20119","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20119_LeafPhotoA_2025-10-23%2011_05_11.400-05_00.jpg",
"Check","20120","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20120_LeafPhotoA_2025-10-23%2011_06_33.821-05_00.jpg",
"255 Tirter","20121","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20121_LeafPhotoA_2025-10-23%2011_07_30.111-05_00.jpg",
"BTx2928","20122","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20122_LeafPhotoA_2025-10-23%2011_08_18.994-05_00.jpg",
"SAP-150","20123","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20123_LeafPhotoA_2025-10-23%2011_09_06.322-05_00.jpg",
"SAP-312","20124","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20124_LeafPhotoA_2025-10-23%2011_09_55.776-05_00.jpg",
"BTx615","20125","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20125_LeafPhotoA_2025-10-23%2011_10_55.254-05_00.jpg",
"Check","20126","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20126_LeafPhotoA_2025-10-23%2011_15_35.339-05_00.jpg",
"QL3-TEXAS","20127","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20127_LeafPhotoA_2025-10-23%2011_13_52.458-05_00.jpg",
"SAP-206","20201","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20201_LeafPhotoA_2025-10-23%2011_18_50.950-05_00.jpg","Rest of plot dead "
