image_path,segmentation_method
data/aamu2025/block2/20122_LeafPhotoA_2025-10-23 11_08_18.994-05_00.jpg,CV2
data/aamu2025/block2/21513_LeafPhotoA_2025-10-24 15_19_00.782-05_00.jpg,CV2
data/aamu2025/block2/21309_LeafPhotoA_2025-10-24 14_24_35.988-05_00.jpg,CV2
data/aamu2025/block2/21513_LeafPhotoA_2025-10-24 15_19_30.570-05_00.jpg,CV2
data/aamu2025/block2/20713_LeafPhotoA_2025-10-23 16_06_45.050-05_00.jpg,CV2
data/aamu2025/block2/20723_LeafPhotoA_2025-10-23 16_15_07.393-05_00.jpg,CV2
data/aamu2025/block2/20117_LeafPhotoA_2025-10-23 11_02_24.897-05_00.jpg,CV2
data/aamu2025/block2/20918_LeafPhotoA_2025-10-24 10_46_22.372-05_00.jpg,CV2
data/aamu2025/block2/20327_LeafPhotoA_2025-10-23 12_20_18.862-05_00.jpg,CV2
data/aamu2025/block2/21112_LeafPhotoA_2025-10-24 11_40_35.700-05_00.jpg,CV2
data/aamu2025/block2/21524_LeafPhotoA_2025-10-24 15_27_34.832-05_00.jpg,CV2
data/aamu2025/block2/20513_LeafPhotoA_2025-10-23 14_32_38.456-05_00.jpg,CV2
data/aamu2025/block2/21303_LeafPhotoA_2025-10-24 14_13_51.258-05_00.jpg,CV2
data/aamu2025/block2/21215_LeafPhotoA_2025-10-24 12_09_08.783-05_00.jpg,CV2
data/aamu2025/block2/21525_LeafPhotoA_2025-10-24 15_28_37.282-05_00.jpg,CV2
data/aamu2025/block2/20603_LeafPhotoA_2025-10-23 14_45_32.888-05_00.jpg,CV2
data/aamu2025/block2/21602_LeafPhotoA_2025-10-24 15_34_18.897-05_00.jpg,CV2
data/aamu2025/block2/20418_LeafPhotoA_2025-10-23 14_10_51.206-05_00.jpg,CV2
data/aamu2025/block2/21617_LeafPhotoA_2025-10-24 15_54_27.222-05_00.jpg,Failed
data/aamu2025/block2/20209_LeafPhotoA_2025-10-23 11_30_41.344-05_00.jpg,CV2
data/aamu2025/block2/20107_LeafPhotoA_2025-10-23 10_49_07.761-05_00.jpg,CV2
data/aamu2025/block2/21619_LeafPhotoA_2025-10-24 15_56_05.193-05_00.jpg,CV2
data/aamu2025/block2/20820_LeafPhotoA_2025-10-24 10_12_04.658-05_00.jpg,CV2
data/aamu2025/block2/21020_LeafPhotoA_2025-10-24 11_19_30.041-05_00.jpg,CV2
data/aamu2025/block2/20405_LeafPhotoA_2025-10-23 14_00_44.013-05_00.jpg,CV2
data/aamu2025/block2/20411_LeafPhotoA_2025-10-23 14_04_19.072-05_00.jpg,CV2
data/aamu2025/block2/20708_LeafPhotoA_2025-10-23 16_03_34.559-05_00.jpg,CV2
data/aamu2025/block2/20303_LeafPhotoA_2025-10-23 11_55_31.538-05_00.jpg,CV2
data/aamu2025/block2/20208_LeafPhotoA_2025-10-23 11_29_37.524-05_00.jpg,CV2
data/aamu2025/block2/20421_LeafPhotoA_2025-10-23 14_18_32.928-05_00.jpg,CV2
data/aamu2025/block2/20119_LeafPhotoA_2025-10-23 11_04_41.033-05_00.jpg,CV2
data/aamu2025/block2/20623_LeafPhotoA_2025-10-23 15_02_10.338-05_00.jpg,CV2
data/aamu2025/block2/21622_LeafPhotoA_2025-10-24 16_01_45.056-05_00.jpg,CV2
data/aamu2025/block2/21219_LeafPhotoA_2025-10-24 12_12_35.871-05_00.jpg,CV2
data/aamu2025/block2/20110_LeafPhotoA_2025-10-23 10_53_17.475-05_00.jpg,CV2
data/aamu2025/block2/20218_LeafPhotoA_2025-10-23 11_38_55.486-05_00.jpg,CV2
data/aamu2025/block2/20416_LeafPhotoA_2025-10-23 14_08_45.606-05_00.jpg,CV2
data/aamu2025/block2/20608_LeafPhotoA_2025-10-23 14_49_17.238-05_00.jpg,CV2
data/aamu2025/block2/20812_LeafPhotoA_2025-10-24 09_58_43.914-05_00.jpg,CV2
data/aamu2025/block2/20409_LeafPhotoA_2025-10-23 14_02_52.549-05_00.jpg,CV2
data/aamu2025/block2/21509_LeafPhotoA_2025-10-24 15_17_43.162-05_00.jpg,CV2
data/aamu2025/block2/20809_LeafPhotoA_2025-10-24 09_55_40.317-05_00.jpg,CV2
data/aamu2025/block2/21525_LeafPhotoA_2025-10-24 15_28_23.492-05_00.jpg,CV2
data/aamu2025/block2/21121_LeafPhotoA_2025-10-24 11_49_07.853-05_00.jpg,CV2
data/aamu2025/block2/21316_LeafPhotoA_2025-10-24 14_30_49.630-05_00.jpg,CV2
data/aamu2025/block2/20503_LeafPhotoA_2025-10-23 14_27_29.580-05_00.jpg,CV2
data/aamu2025/block2/20918_LeafPhotoA_2025-10-24 10_46_49.394-05_00.jpg,CV2
data/aamu2025/block2/21112_LeafPhotoA_2025-10-24 11_39_51.103-05_00.jpg,CV2
data/aamu2025/block2/20906_LeafPhotoA_2025-10-24 10_28_02.102-05_00.jpg,CV2
data/aamu2025/block2/21621_LeafPhotoA_2025-10-24 15_59_11.488-05_00.jpg,CV2
data/aamu2025/block2/20411_LeafPhotoA_2025-10-23 14_04_47.795-05_00.jpg,CV2
data/aamu2025/block2/20208_LeafPhotoA_2025-10-23 11_29_47.228-05_00.jpg,CV2
data/aamu2025/block2/21407_LeafPhotoA_2025-10-24 14_49_20.637-05_00.jpg,CV2
data/aamu2025/block2/20417_LeafPhotoA_2025-10-23 14_09_39.501-05_00.jpg,CV2
