image_path,ExG_P20_disease_pct
10305_LeafPhotoA_2025-10-23 09_55_46.075-05_00_leaf.png,1.85
10305_LeafPhotoA_2025-10-23 09_55_57.422-05_00_leaf.png,0.01
10305_LeafPhotoA_2025-10-23 09_56_10.314-05_00_leaf.png,0
10306_LeafPhotoA_2025-10-23 09_56_50.132-05_00_leaf.png,13.93
10306_LeafPhotoA_2025-10-23 09_57_00.240-05_00_leaf.png,0.02
10306_LeafPhotoA_2025-10-23 09_57_10.156-05_00_leaf.png,1.3
10307_LeafPhotoA_2025-10-23 09_57_46.559-05_00_leaf.png,1.4
10307_LeafPhotoA_2025-10-23 09_57_57.301-05_00_leaf.png,0.02
10307_LeafPhotoA_2025-10-23 09_58_23.780-05_00_leaf.png,4.04
10308_LeafPhotoA_2025-10-23 09_58_50.362-05_00_leaf.png,30.26
10308_LeafPhotoA_2025-10-23 09_59_01.365-05_00_leaf.png,4.94
10308_LeafPhotoA_2025-10-23 09_59_14.938-05_00_leaf.png,1.48
10309_LeafPhotoA_2025-10-23 10_00_01.268-05_00_leaf.png,30.3
10309_LeafPhotoA_2025-10-23 10_00_21.452-05_00_leaf.png,25.42
10309_LeafPhotoA_2025-10-23 10_00_30.749-05_00_leaf.png,27.88
10313_LeafPhotoA_2025-10-23 10_01_27.144-05_00_leaf.png,53.38
10313_LeafPhotoA_2025-10-23 10_01_36.569-05_00_leaf.png,19.09
10314_LeafPhotoA_2025-10-23 10_02_10.361-05_00_leaf.png,6.9
10314_LeafPhotoA_2025-10-23 10_02_24.077-05_00_leaf.png,10.49
10314_LeafPhotoA_2025-10-23 10_02_50.119-05_00_leaf.png,0.03
10315_LeafPhotoA_2025-10-23 10_03_15.522-05_00_leaf.png,33.42
10315_LeafPhotoA_2025-10-23 10_03_26.881-05_00_leaf.png,0
10315_LeafPhotoA_2025-10-23 10_03_36.682-05_00_leaf.png,18.53
10316_LeafPhotoA_2025-10-23 10_04_11.887-05_00_leaf.png,9.14
10316_LeafPhotoA_2025-10-23 10_04_22.443-05_00_leaf.png,17.11
10316_LeafPhotoA_2025-10-23 10_04_34.824-05_00_leaf.png,6.38
10317_LeafPhotoA_2025-10-23 10_04_55.038-05_00_leaf.png,0.54
10317_LeafPhotoA_2025-10-23 10_05_05.507-05_00_leaf.png,3.3
10317_LeafPhotoA_2025-10-23 10_05_12.349-05_00_leaf.png,0.01
10320_LeafPhotoA_2025-10-23 10_05_58.409-05_00_leaf.png,2.89
10320_LeafPhotoA_2025-10-23 10_06_12.615-05_00_leaf.png,0.01
10320_LeafPhotoA_2025-10-23 10_06_23.841-05_00_leaf.png,36.98
10321_LeafPhotoA_2025-10-23 10_06_45.031-05_00_leaf.png,0
10321_LeafPhotoA_2025-10-23 10_06_54.968-05_00_leaf.png,8.96
10321_LeafPhotoA_2025-10-23 10_07_02.796-05_00_leaf.png,0
10322_LeafPhotoA_2025-10-23 10_07_49.818-05_00_leaf.png,7.11
10322_LeafPhotoA_2025-10-23 10_07_56.562-05_00_leaf.png,1.45
10322_LeafPhotoA_2025-10-23 10_08_04.346-05_00_leaf.png,0
10323_LeafPhotoA_2025-10-23 10_08_34.812-05_00_leaf.png,0.09
10323_LeafPhotoA_2025-10-23 10_08_44.853-05_00_leaf.png,7.21
10323_LeafPhotoA_2025-10-23 10_08_54.268-05_00_leaf.png,4.56
10324_LeafPhotoA_2025-10-23 10_09_30.099-05_00_leaf.png,0.21
10324_LeafPhotoA_2025-10-23 10_09_38.315-05_00_leaf.png,5.79
