image_path,segmentation_method
data/fvsu2025/bap2/250752_LeafPhotoA_2025-10-07 14_16_29.379-05_00.jpg,CV2
data/fvsu2025/bap2/251334_LeafPhotoA_2025-10-10 10_35_12.051-05_00.jpg,CV2
data/fvsu2025/bap2/250436_LeafPhotoA_2025-10-02 13_58_54.680-05_00.jpg,CV2
data/fvsu2025/bap2/250235_LeafPhotoA_2025-10-01 09_49_44.135-05_00.jpg,CV2
data/fvsu2025/bap2/250514_LeafPhotoA_2025-10-03 09_03_50.173-05_00.jpg,CV2
data/fvsu2025/bap2/250488_LeafPhotoA_2025-10-02 14_35_17.117-05_00.jpg,CV2
data/fvsu2025/bap2/250744_LeafPhotoA_2025-10-07 14_24_08.928-05_00.jpg,CV2
data/fvsu2025/bap2/250434_LeafPhotoA_2025-10-02 14_02_06.883-05_00.jpg,CV2
data/fvsu2025/bap2/251056_LeafPhotoA_2025-10-08 14_16_59.758-05_00.jpg,CV2
data/fvsu2025/bap2/250974_LeafPhotoA_2025-10-08 09_34_53.053-05_00.jpg,CV2
data/fvsu2025/bap2/250713_LeafPhotoA_2025-10-07 13_44_11.524-05_00.jpg,CV2
data/fvsu2025/bap2/250492_LeafPhotoA_2025-10-03 08_22_33.663-05_00.jpg,CV2
data/fvsu2025/bap2/250945_LeafPhotoA_2025-10-08 08_46_23.883-05_00.jpg,CV2
data/fvsu2025/bap2/251353_LeafPhotoA_2025-10-10 10_54_30.358-05_00.jpg,CV2
data/fvsu2025/bap2/251375_LeafPhotoA_2025-10-10 14_22_35.286-05_00.jpg,CV2
data/fvsu2025/bap2/251318_LeafPhotoA_2025-10-10 14_03_00.215-05_00.jpg,CV2
data/fvsu2025/bap2/250005_LeafPhotoA_2025-10-01 08_31_50.896-05_00.jpg,CV2
data/fvsu2025/bap2/250964_LeafPhotoA_2025-10-08 09_02_14.875-05_00.jpg,CV2
data/fvsu2025/bap2/250508_LeafPhotoA_2025-10-03 09_09_14.365-05_00.jpg,CV2
data/fvsu2025/bap2/250486_LeafPhotoA_2025-10-02 14_32_25.933-05_00.jpg,CV2
data/fvsu2025/bap2/250571_LeafPhotoA_2025-10-03 10_23_02.577-05_00.jpg,CV2
data/fvsu2025/bap2/251350_LeafPhotoA_2025-10-10 10_57_06.017-05_00.jpg,CV2
data/fvsu2025/bap2/250284_LeafPhotoA_2025-10-01 13_39_38.435-05_00.jpg,CV2
data/fvsu2025/bap2/250080_LeafPhotoA_2025-10-01 08_53_34.588-05_00.jpg,CV2
data/fvsu2025/bap2/250941_LeafPhotoA_2025-10-08 08_41_36.133-05_00.jpg,CV2
data/fvsu2025/bap2/251312_LeafPhotoA_2025-10-10 14_08_13.020-05_00.jpg,CV2
data/fvsu2025/bap2/250232_LeafPhotoA_2025-10-01 09_46_45.880-05_00.jpg,CV2
data/fvsu2025/bap2/250555_LeafPhotoA_2025-10-03 09_31_05.652-05_00.jpg,CV2
