image_name,pctd,image_id
1205_LeafPhotoA_2025-09-08 09_28_04.109-05_00_2.png,0.1269961224254744,1205_LeafPhotoA_2025-09-08 09_28_04.109
1205_LeafPhotoA_2025-09-08 09_28_04.109-05_00_3.png,0.08905756328436741,1205_LeafPhotoA_2025-09-08 09_28_04.109
1206_LeafPhotoA_2025-09-08 09_30_08.342-05_00_0.png,0.22238948953058713,1206_LeafPhotoA_2025-09-08 09_30_08.342
1206_LeafPhotoA_2025-09-08 09_30_08.342-05_00_1.png,0.4910340667087252,1206_LeafPhotoA_2025-09-08 09_30_08.342
1206_LeafPhotoA_2025-09-08 09_30_08.342-05_00_2.png,0.6386595469191269,1206_LeafPhotoA_2025-09-08 09_30_08.342
1206_LeafPhotoA_2025-09-08 09_30_08.342-05_00_3.png,0.38143067632348976,1206_LeafPhotoA_2025-09-08 09_30_08.342
1206_LeafPhotoA_2025-09-08 09_30_31.899-05_00_0.png,0.00163193507990469,1206_LeafPhotoA_2025-09-08 09_30_31.899
1206_LeafPhotoA_2025-09-08 09_30_31.899-05_00_1.png,7.903695056475853e-5,1206_LeafPhotoA_2025-09-08 09_30_31.899
1206_LeafPhotoA_2025-09-08 09_30_31.899-05_00_2.png,0.01076507464047008,1206_LeafPhotoA_2025-09-08 09_30_31.899
1206_LeafPhotoA_2025-09-08 09_30_31.899-05_00_3.png,0.01167212745632058,1206_LeafPhotoA_2025-09-08 09_30_31.899
1206_LeafPhotoA_2025-09-08 09_31_09.977-05_00_0.png,0.00348112110665613,1206_LeafPhotoA_2025-09-08 09_31_09.977
1206_LeafPhotoA_2025-09-08 09_31_09.977-05_00_1.png,0.0033149098013043,1206_LeafPhotoA_2025-09-08 09_31_09.977
1206_LeafPhotoA_2025-09-08 09_31_09.977-05_00_2.png,7.606807179608888e-5,1206_LeafPhotoA_2025-09-08 09_31_09.977
1206_LeafPhotoA_2025-09-08 09_31_09.977-05_00_3.png,0.02101500875760076,1206_LeafPhotoA_2025-09-08 09_31_09.977
1207_LeafPhotoA_2025-09-08 09_33_35.033-05_00_0.png,0.14321959515972418,1207_LeafPhotoA_2025-09-08 09_33_35.033
1207_LeafPhotoA_2025-09-08 09_33_35.033-05_00_1.png,0.16847415171331112,1207_LeafPhotoA_2025-09-08 09_33_35.033
1207_LeafPhotoA_2025-09-08 09_33_35.033-05_00_2.png,0.15227126271704794,1207_LeafPhotoA_2025-09-08 09_33_35.033
1207_LeafPhotoA_2025-09-08 09_33_35.033-05_00_3.png,0.38000966269028313,1207_LeafPhotoA_2025-09-08 09_33_35.033
1207_LeafPhotoA_2025-09-08 09_34_30.630-05_00_0.png,0.28839680682298424,1207_LeafPhotoA_2025-09-08 09_34_30.630
1207_LeafPhotoA_2025-09-08 09_34_30.630-05_00_1.png,0.5471067910019134,1207_LeafPhotoA_2025-09-08 09_34_30.630
1207_LeafPhotoA_2025-09-08 09_34_30.630-05_00_2.png,0.559440480350876,1207_LeafPhotoA_2025-09-08 09_34_30.630
1207_LeafPhotoA_2025-09-08 09_34_30.630-05_00_3.png,0.2510300647068558,1207_LeafPhotoA_2025-09-08 09_34_30.630
1209_LeafPhotoA_2025-09-08 09_36_46.496-05_00_0.png,0.14390491079624365,1209_LeafPhotoA_2025-09-08 09_36_46.496
1209_LeafPhotoA_2025-09-08 09_36_46.496-05_00_1.png,0.12902548547111928,1209_LeafPhotoA_2025-09-08 09_36_46.496
1209_LeafPhotoA_2025-09-08 09_36_46.496-05_00_2.png,0.03801255445953131,1209_LeafPhotoA_2025-09-08 09_36_46.496
1209_LeafPhotoA_2025-09-08 09_36_46.496-05_00_3.png,0,1209_LeafPhotoA_2025-09-08 09_36_46.496
1209_LeafPhotoA_2025-09-08 09_37_14.965-05_00_0.png,0.011722786576706,1209_LeafPhotoA_2025-09-08 09_37_14.965
1209_LeafPhotoA_2025-09-08 09_37_14.965-05_00_1.png,0.14459676954522682,1209_LeafPhotoA_2025-09-08 09_37_14.965
1209_LeafPhotoA_2025-09-08 09_37_14.965-05_00_2.png,0.13312787335653695,1209_LeafPhotoA_2025-09-08 09_37_14.965
1209_LeafPhotoA_2025-09-08 09_37_14.965-05_00_3.png,8.8840810332708e-4,1209_LeafPhotoA_2025-09-08 09_37_14.965
1209_LeafPhotoA_2025-09-08 09_37_46.150-05_00_0.png,0.27664029239883176,1209_LeafPhotoA_2025-09-08 09_37_46.150
1209_LeafPhotoA_2025-09-08 09_37_46.150-05_00_1.png,0.07788324355645787,1209_LeafPhotoA_2025-09-08 09_37_46.150
1209_LeafPhotoA_2025-09-08 09_37_46.150-05_00_2.png,0.03779447743832839,1209_LeafPhotoA_2025-09-08 09_37_46.150
1209_LeafPhotoA_2025-09-08 09_37_46.150-05_00_3.png,0.02409278483356487,1209_LeafPhotoA_2025-09-08 09_37_46.150
1210_LeafPhotoA_2025-09-08 09_38_24.164-05_00_0.png,0.08667869635673532,1210_LeafPhotoA_2025-09-08 09_38_24.164
1210_LeafPhotoA_2025-09-08 09_38_24.164-05_00_1.png,0.0317793161607899,1210_LeafPhotoA_2025-09-08 09_38_24.164
1210_LeafPhotoA_2025-09-08 09_38_24.164-05_00_2.png,0.07592795896645879,1210_LeafPhotoA_2025-09-08 09_38_24.164
1210_LeafPhotoA_2025-09-08 09_38_24.164-05_00_3.png,0.06734093806650823,1210_LeafPhotoA_2025-09-08 09_38_24.164
1210_LeafPhotoA_2025-09-08 09_39_04.129-05_00_0.png,0.08096307861798366,1210_LeafPhotoA_2025-09-08 09_39_04.129
1210_LeafPhotoA_2025-09-08 09_39_04.129-05_00_1.png,0.0880817642534746,1210_LeafPhotoA_2025-09-08 09_39_04.129
1210_LeafPhotoA_2025-09-08 09_39_04.129-05_00_2.png,0.2531687691607485,1210_LeafPhotoA_2025-09-08 09_39_04.129
1210_LeafPhotoA_2025-09-08 09_39_04.129-05_00_3.png,0.185901787435913,1210_LeafPhotoA_2025-09-08 09_39_04.129
1210_LeafPhotoA_2025-09-08 09_39_32.955-05_00_0.png,0.09022852998140173,1210_LeafPhotoA_2025-09-08 09_39_32.955
1210_LeafPhotoA_2025-09-08 09_39_32.955-05_00_1.png,0.05212846711405788,1210_LeafPhotoA_2025-09-08 09_39_32.955
1210_LeafPhotoA_2025-09-08 09_39_32.955-05_00_2.png,0.06611631019008915,1210_LeafPhotoA_2025-09-08 09_39_32.955
1210_LeafPhotoA_2025-09-08 09_39_32.955-05_00_3.png,0.03539547661486586,1210_LeafPhotoA_2025-09-08 09_39_32.955
1212_LeafPhotoA_2025-09-08 09_42_02.733-05_00_0.png,0.4194255284054761,1212_LeafPhotoA_2025-09-08 09_42_02.733
1212_LeafPhotoA_2025-09-08 09_42_02.733-05_00_1.png,0.5304919635638258,1212_LeafPhotoA_2025-09-08 09_42_02.733
1212_LeafPhotoA_2025-09-08 09_42_02.733-05_00_2.png,0.5311293423876035,1212_LeafPhotoA_2025-09-08 09_42_02.733
1212_LeafPhotoA_2025-09-08 09_42_02.733-05_00_3.png,0.1645788953961383,1212_LeafPhotoA_2025-09-08 09_42_02.733
1212_LeafPhotoA_2025-09-08 09_42_24.685-05_00_0.png,0.09450320452366612,1212_LeafPhotoA_2025-09-08 09_42_24.685
1212_LeafPhotoA_2025-09-08 09_42_24.685-05_00_1.png,0.24042403465618203,1212_LeafPhotoA_2025-09-08 09_42_24.685
1212_LeafPhotoA_2025-09-08 09_42_54.332-05_00_0.png,0.1909942443486776,1212_LeafPhotoA_2025-09-08 09_42_54.332
1212_LeafPhotoA_2025-09-08 09_42_54.332-05_00_1.png,1.3922545187386093,1212_LeafPhotoA_2025-09-08 09_42_54.332
1212_LeafPhotoA_2025-09-08 09_42_54.332-05_00_2.png,2.4678343923967905,1212_LeafPhotoA_2025-09-08 09_42_54.332
1212_LeafPhotoA_2025-09-08 09_42_54.332-05_00_3.png,1.559798075357284,1212_LeafPhotoA_2025-09-08 09_42_54.332
1213_LeafPhotoA_2025-09-08 09_43_59.948-05_00_0.png,0.03786534891009843,1213_LeafPhotoA_2025-09-08 09_43_59.948
1213_LeafPhotoA_2025-09-08 09_43_59.948-05_00_1.png,0.05647385551164067,1213_LeafPhotoA_2025-09-08 09_43_59.948
1213_LeafPhotoA_2025-09-08 09_43_59.948-05_00_2.png,0.899381538891487,1213_LeafPhotoA_2025-09-08 09_43_59.948
1213_LeafPhotoA_2025-09-08 09_43_59.948-05_00_3.png,0.8620536222115777,1213_LeafPhotoA_2025-09-08 09_43_59.948
1213_LeafPhotoA_2025-09-08 09_44_31.820-05_00_0.png,0.00270686926079267,1213_LeafPhotoA_2025-09-08 09_44_31.820
