plot,accession,flagleaflength,flagleafwidth,leaf.number,plant.height
5286,PI 533810,x,NA,NA,NA
5287,PI 656025,39.1,6.6,10,99
5288,PI 656005,46.1,5,12,71
5289,PI 656089,36,5,12,151
5290,PI 656078,29.2,3.3,11,80
5291,PI 534132,53.4,7.2,11,83
5292,BTx623,24.5,3.5,12,100
5293,PI 656099,33.4,3.7,11,87
5294,PI 659753,40.7,5.1,10,100
5295,PI 576394,34,4.8,13,89
5296,PI 597961,45,6.7,10,73
5297,PI 655999,47,4.2,10,180
5298,PI 534139,x,NA,NA,NA
5299,BTx623,x,NA,NA,NA
5300,PI 656108,46.3,6.4,9,102
5301,PI 533852,x,NA,NA,NA
5302,PI 642791,32.4,4.5,13,93
5303,PI 655973,47,7.9,13,185
5304,BTx623,36.5,4.5,11,90
5305,PI 656096,56.7,3.9,11,132
5306,PI 533961,x,NA,NA,NA
5307,PI 534128,?,NA,NA,NA
5308,PI 534063,39.8,4.1,12,146
5309,PI 597950,27.4,4.3,10,150
5310,PI 597972,46.4,5.6,11,92
5311,PI 576401,39.1,6.4,14,130
5312,BTx623,38,5,12,110
5313,PI 609456,25,6.5,18,270
5314,PI 656004,47,4.4,13,79
5315,PI 534157,37.2,7.2,14,91
5316,BTx623,25.7,3.6,13,98
5317,PI 534099,41,5.4,14,82
5318,PI 595741,42,3.8,12,78
5319,PI 656068,28.2,6.5,15,92
5320,PI 656028,22.9,4.7,18,273
5321,PI 564164,34.1,5.6,15,99
5322,PI 576418,35.6,4.5,12,124
5323,BTx623,40.6,5,13,100
5324,PI 656088,38,4.7,12,163
5325,PI 656046,49.5,7,13,121
5326,PI 656014,53.8,4.9,12,179
5327,PI 329435,63.1,7.8,14,83
5328,PI 595699,36,5.4,11,78
5329,PI 534116,32,4,10,75
5330,PI 534070,45.6,3.7,8,90
5331,PI 329440,37.1,4.6,12,73
5332,PI 597968,49.3,5.4,10,92
5333,PI 656010,41.5,5.4,12,82
5334,PI 533937,21,2.5,11,91
5335,PI 576385,43.4,5.3,12,152
5336,PI 576339,34,5.1,12,100
5337,PI 534137,28.1,5,11,110
5338,PI 656071,32.5,6.6,15,122
5339,PI 642992,36,5.5,15,253
5340,PI 656051,46.5,7.2,14,140
5341,PI 597945,x,NA,NA,NA
5342,BTx623,37.5,5.2,12,110
5343,PI 656006,48.5,5.5,14,80
5344,PI 655998,44.5,3.6,10,60
5345,PI 533910,43.5,5.8,10,72
5346,PI 533979,41,4.5,12,110
5347,PI 533972,54.2,7.9,12,122
5348,PI 534114,38.6,5.6,13,83
5349,PI 576396,40.5,5.2,14,86
5350,PI 552861,30.8,3.5,12,82
5351,PI 534135,40.9,4.9,16,62
5352,BTx623,33.5,4.1,12,95
5353,PI 533863,37.5,5,11,132
5354,PI 656050,46,6.1,12,284
5355,PI 656048,32.6,3.7,14,120
5356,PI 534101,35.4,4.1,13,175
5357,PI 595744,26.5,4,12,106
5358,PI 533912,46,4,7,85
5359,PI 655994,36.5,6.5,12,245
5360,PI 656061,36.4,3.9,14,100
5361,PI 659694,45,4.7,12,110
5362,PI 629059,47.5,5.1,12,83
5363,Btx623,30.5,4,12,98
5364,PI 533785,39.6,5,11,95
5365,PI 561073,39.3,4.2,16,118
5366,PI 597965,25.5,5,14,112
5367,PI 534053,42.5,4.2,13,85
5368,PI 656077,41,2.8,11,153
5369,PI 534112,53,6.8,13,92
5370,PI 576387,32,4,14,118
5371,PI 656102,22.5,4,7,90
5372,BTx623,48,4.4,13,92
5373,PI 642998,55,6.6,11,288
5374,PI 533750,48,4.5,10,70
5375,PI 533824,42.1,5.8,13,75
5376,PI 576340,34,4.4,13,119
