Unique_ID,Range,Row,Plot ID,Genotype,Flowering,Stand Count,Notes
25_2166,5,89,2166,PI 597966,8/5/2025,,
25_2167,5,88,2167,Check,8/5/2025,,
25_2168,5,87,2168,PI 595741,8/4/2025,,
25_2169,5,86,2169,PI 534111,8/5/2025,,
25_2170,5,85,2170,PI 656094,8/12/2025,,
25_2171,5,84,2171,PI 153846,8/15/2025,,dirs
25_2172,5,83,2172,PI 534146,8/18/2025,,dirs
25_2173,5,82,2173,PI 534053,8/13/2025,,
25_2174,5,81,2174,PI 595745,8/5/2025,,
25_2175,5,80,2175,PI 534060,7/28/2025,,
25_2176,5,79,2176,PI 595743,8/18/2025,,
25_2177,5,78,2177,PI 659691,8/19/2025,,
25_2178,5,77,2178,PI 656118,8/16/2025,,dirs
25_2179,5,76,2179,PI 533919,8/14/2025,,
25_2180,5,75,2180,PI 576371,8/10/2025,,
25_2181,5,74,2181,PI 533840,7/30/2025,,
25_2182,5,73,2182,SC0505,8/16/2025,,
25_2183,5,72,2183,PI 656038,8/22/2025,,stem lodging; 20%
25_2184,5,71,2184,PI 595726,8/7/2025,4,
25_2185,5,70,2185,PI 533760,8/8/2025,1,
25_2186,5,69,2186,PI 533794,8/11/2025,,
25_2187,5,68,2187,Check,8/12/2025,,
25_2188,5,67,2188,SC0777,8/13/2025,,
25_2189,5,66,2189,PI 276837,NA,,stem snap; 70%
25_2190,5,65,2190,PI 534127,8/17/2025,,
25_2191,5,64,2191,PI 533974,8/15/2025,,
25_2192,5,63,2192,PI 656084,8/11/2025,,
25_2193,5,62,2193,PI 597962,8/18/2025,3,
25_2194,5,61,2194,PI 533953,8/1/2025,,
25_2195,5,60,2195,PI 595712,7/31/2025,,
25_2196,5,59,2196,PI 534077,8/5/2025,,
25_2197,5,58,2197,PI 595713,8/17/2025,,
25_2198,5,57,2198,PI 534074,8/7/2025,,
25_2199,5,56,2199,PI 542718,8/1/2025,,
25_2200,5,55,2200,PI 534135,8/20/2025,,
25_2201,6,55,2201,PI 595733,8/7/2025,,
25_2202,6,56,2202,PI 576380,8/8/2025,,root lodging; 10%
25_2203,6,57,2203,SC0604,7/30/2025,,
25_2204,6,58,2204,PI 656031,8/10/2025,,
25_2205,6,59,2205,PI 576385,8/4/2025,,
25_2206,6,60,2206,PI 656048,8/12/2025,,
25_2207,6,61,2207,PI 533766,7/29/2025,,
25_2208,6,62,2208,PI 656109,7/24/2025,,
25_2209,6,63,2209,PI 642992,7/25/2025,,
25_2210,6,64,2210,SC0837,8/15/2025,,
25_2211,6,65,2211,PI 595736,8/3/2025,,
25_2212,6,66,2212,SC0235,8/16/2025,,
25_2213,6,67,2213,PI 534019,8/15/2025,,
25_2214,6,68,2214,SC0615,7/30/2025,,segregating height and flowering
25_2215,6,69,2215,PI 534069,8/5/2025,,stem lodging; 10%
25_2216,6,70,2216,Check,8/7/2025,,
25_2217,6,71,2217,PI 533843,8/7/2025,,
25_2218,6,72,2218,SC0581,8/20/2025,,root lodging; 5%
25_2219,6,73,2219,PI 561072,8/3/2025,,
25_2220,6,74,2220,PI 597951,7/31/2025,,
25_2221,6,75,2221,PI 651492,8/15/2025,,
25_2222,6,76,2222,PI 534123,8/18/2025,,
25_2223,6,77,2223,PI 576360,8/16/2025,,
25_2224,6,78,2224,SC0190,8/7/2025,,
25_2225,6,79,2225,Check,8/7/2025,,
25_2226,6,80,2226,PI 533954,8/4/2025,,
25_2227,6,81,2227,SC0178,8/15/2025,,
25_2228,6,82,2228,PI 655978,8/8/2025,,
25_2229,6,83,2229,PI 534016,8/18/2025,,dirs
25_2230,6,84,2230,Check,8/11/2025,,
25_2231,6,85,2231,PI 533775,8/1/2025,,
25_2232,6,86,2232,PI 597973,8/14/2025,,
25_2233,6,87,2233,PI 533939,7/30/2025,,
25_2234,6,88,2234,SC0616,8/6/2025,,
25_2235,6,89,2235,PI 576433,8/12/2025,,
25_2236,6,90,2236,SC1178,7/29/2025,,
25_2237,6,91,2237,PI 534008,8/15/2025,,dirs
25_2238,6,92,2238,PI 533951,8/2/2025,,
25_2239,6,93,2239,PI 533934,8/18/2025,,dirs
25_2240,6,94,2240,PI 576398,8/16/2025,,
25_2241,6,95,2241,SC0179,8/12/2025,,
25_2242,6,96,2242,PI 656081,7/29/2025,,
25_2243,6,97,2243,PI 534129,8/22/2025,,
25_2244,6,98,2244,PI 533994,8/15/2025,,
25_2245,6,99,2245,PI 533897,8/2/2025,,minor root lodging; 25%
25_2246,6,100,2246,PI 533916,8/13/2025,4,
25_2247,6,101,2247,PI 534140,8/13/2025,,
25_2248,6,102,2248,SC0868,8/4/2025,,
25_2249,6,103,2249,PI 534114,8/14/2025,,
25_2250,6,104,2250,PI 534109,8/11/2025,,
25_9260,6,105,9260,Border,8/7/2025,,
25_9259,6,106,9259,Border,8/7/2025,,
25_9270,7,106,9270,Border,8/7/2025,,
25_9269,7,105,9269,Border,8/7/2025,,
25_2251,7,104,2251,PI 533793,8/18/2025,,dirs
25_2252,7,103,2252,PI 585295,8/15/2025,,
25_2253,7,102,2253,Fill,8/7/2025,,
25_2254,7,101,2254,PI 533890,7/24/2025,,
25_2255,7,100,2255,SC0741,NA,,root lodging; stem snap; 100%
25_2256,7,99,2256,PI 533772,8/3/2025,,"mixed, tall bagged"
25_2257,7,98,2257,PI 595740,8/18/2025,,
25_2258,7,97,2258,PI 533901,8/8/2025,,
25_2259,7,96,2259,Check,8/13/2025,,
