V1,V2,3rdLength,3rdWidth
5381,PI 561472,78,8.5
5382,PI 597964,67,9.7
5383,PI 585295,74,9
5386,PI 534021,72,7.5
5387,PI 656086,64,7.7
5388,PI 533919,72.5,7.5
5389,Btx623,68.5,6.5
5390,PI 534138,68,6.2
7001,PI 542718,61.5,7.1
7002,PI 656020,71.5,8
7003,PI 656011,84,7.5
7008,PI 656027,51,8.2
7009,PI 533821,53,8.5
7010,TX430,68,6.1
7011,BTx623,69.5,7.1
7014,PI 656044,69,10.7
7015,PI 656075,64,7.3
7016,BTx623,66.5,7
7017,PI 656117,74,7.5
7018,PI 542406,60,6
7019,PI 533962,64,6
7020,PI 534124,70,5.7
7021,PI 655979,74,7
7022,PI 533980,74,7
7023,PI 656100,76,8
7024,PI 656081,60.5,6.2
7025,PI 597976,71,6
7026,PI 656057,59,9
7027,PI 655975,72,8
7028,PI 655981,51,5.2
7029,PI 533924,51,7.5
7030,PI 656079,80,6.5
7031,PI 534115,67,8.5
7032,BTx623,70,7.7
7033,PI 656055,73,6.4
7034,PI 533755,60.5,5.5
7035,PI 597980,62.5,7
7036,PI 656029,64.5,6.7
7037,PI 533766,54.5,7
7038,PI 656072,75,8.5
7039,BTx623,34,6.2
7040,BTx623,75.5,7
7041,BTx623,64.5,6.1
7042,PI 576386,60,6.5
7043,PI 656009,60.5,6.1
7044,PI 533876,71,9
7045,PI 655970,65.5,7.2
7046,PI 656121,48.5,5
7047,PI 655976,71,6.2
7048,PI 576422,71,6.5
7049,PI 576347,57,6.3
7050,PI 533789,75.5,7
7051,PI 595739,71.5,8
7052,PI 533769,69,7
7053,PI 651496,42,6
7055,PI 533970,56.5,6.5
7056,PI 534117,51,6.4
7057,PI 276837,57.5,5.5
7058,PI 595718,74,6.8
7059,BTx623,73,6.5
7060,PI 576376,62,5.3
7061,PI 656043,65.5,7.2
7062,BTx623,74,7.7
7063,PI 533956,68,7
7064,PI 533800,71,7
7065,PI 656037,63,8.8
7066,PI 534163,49.5,6.5
7067,PI 595720,57,5.5
7068,PI 533845,52,5
7069,PI 656095,81,7.5
7070,PI 656076,71,8.5
7071,PI 597951,64,5.8
7072,PI 656092,69,6.5
7073,PI 655996,73,7.5
7074,PI 533927,48,6.5
7075,PI 656012,72,8
7076,PI 656030,54,6.8
7077,PI 656016,61.5,7.5
7078,PI 656111,80.5,6.8
7079,PI 533997,56,6.8
7080,PI 534144,45.5,7
7081,PI 659695,58.5,6.3
7082,PI 533938,56,6.5
7083,BTx623,79.5,7.8
7084,BTx623,67,7.2
7085,PI 656032,74,8.6
7086,PI 533957,62,7
7087,PI 656000,71,6.8
7088,BTx623,79,7.8
7089,PI 576349,74,5
7090,PI 656090,55,5.6
7091,PI 595745,74.5,6.6
7092,PI 533794,69.5,7.5
7093,PI 656018,83.5,8
7094,PI 34911,53.5,6
7095,PI 576437,48,6
7096,PI 629040,64,6
7097,PI 597982,48,7
7098,PI 656022,61,8
7099,PI 656110,63,6.5
7100,BTx623,75.5,7.8
7101,PI 533915,40,8.6
7102,PI 656114,56,8
7103,PI 656104,48,4
7104,PI 656093,79,6.4
7105,PI 656087,51,6
7106,PI 533759,67,7.5
7107,PI 533998,63,5.5
7108,PI 655995,61,9
7109,PI 656060,68,6.5
7110,PI 533987,62,7
7111,PI 601816,76,9.5
7112,PI 533838,36,7
7113,PI 534009,40,4
7114,BTx623,61,6.4
7115,PI 656008,46.5,3.5
7116,PI 656026,74,9.5
7117,BTx623,66,6.5
7118,PI 574455,70,8.5
7119,PI 595740,61,7.5
7120,PI 534046,67,5.5
7121,PI 656080,57,6.5
7122,PI 576350,56,5.5
7123,PI 533842,65,7
7124,PI 656007,72,6
7125,PI 533964,61.5,7
7126,BTx623,62,7
7127,PI 656105,60,7.5
7128,PI 656106,62,8.5
7129,PI 655971,66.5,6
7130,PI 534104,68,9
7131,PI 533949,70,6.5
7132,PI 576348,63,5
7133,PI 659691,79,7.5
7134,PI 656003,53.5,5.5
7135,TX430,67,7.5
7136,PI 533940,48,5.5
7137,PI 656031,70,8
7138,PI 656094,63,6
7139,PI 576426,57.5,5.5
7140,BTx623,69,6.5
7141,PI 656062,73,7
7142,PI 534145,68,6.5
7143,PI 534047,45,5
7144,PI 655997,53,6.5
7145,PI 533776,66.5,6
7146,PI 656001,72,8.5
7147,PI 533839,37,5
7148,PI 533903,65,8
7149,BTx623,69,7.5
7150,PI 597946,64,6.5
7151,PI 656042,87,8
7152,PI 656035,56,6.5
7153,BTx623,79,8
7154,PI 576332,65,6
7155,PI 534037,54,4.5
7156,PI 597958,58.5,8
7157,PI 656097,59,9
7158,PI 533758,76,8.5
7159,PI 656002,70,7
7160,BTx623,72,6.5
7161,PI 533965,74,8.5
7162,PI 656040,76,6
7163,PI 655974,59,7.5
7164,PI 576381,62.5,7
7165,PI 576428,61,10.5
7166,PI 533799,69.5,7
7167,PI 656074,55,6
7168,PI 656013,60,9
7169,TX430,76.5,7.5
7170,PI 576375,67,7.5
7171,PI 656107,77,10
7172,PI 565121,68,8
7173,PI 595743,74,7
7174,PI 659696,68.5,7
7175,PI 597967,72.5,8.5
7176,PI 655992,69,7.5
7177,PI 533761,79,9
7178,PI 548797,70,6
7179,PI 656082,79,7.5
7180,PI 641874,87.5,6.5
7182,PI 597966,58.5,7
7183,PI 656017,47,5.5
7184,PI 564165,50.5,7
7185,PI 656052,71,6.5
7186,PI 533814,65,7
7187,PI 533954,57,7.5
7188,PI 533833,50,5.5
7189,PI 533989,65,7
7190,PI 576393,60,6.5
7191,PI 152651,60,7.5
7192,PI 656039,70.5,10
7193,PI 533754,64,7
7194,PI 656036,65,7.5
7195,PI 656116,68,6
8170,PI 533761,77.5,9
8171,PI 641874,59.5,7
8173,BTx623,72,8.3
8174,PI 656002,67,7.3
8175,PI 659691,73,7
8176,PI 533967,51,5.7
8177,BTx623,67,6.5
8178,TX430,63.5,5.8
8179,PI 656074,58,6.5
8180,PI 533758,62.5,7.2
8181,PI 656106,53,8
8182,PI 533799,71.5,8
8183,PI 533760,55.5,6.8
8184,PI 152651,46,6.5
8185,PI 533939,44.5,6.5
8186,BTx623,70,6.6
8187,PI 533949,64,8.5
8188,PI 533839,59,5
8189,PI 576348,75.5,5.5
8190,PI 656119,59,6
8191,PI 533869,61.5,6.5
8192,PI 534148,63.5,5.2
8193,PI 534108,56,6.5
8194,PI 576359,51,7
8195,PI 656082,69.5,6
8196,PI 656070,82.5,8.3
8197,PI 576399,51.5,6
8198,PI 533855,57,7
8199,PI 533833,48.5,5.5
8200,PI 595743,70,6.8
8201,PI 656107,68,11
8202,PI 595740,46.5,6.5
8203,BTx623,68,6.5
8204,BTx623,71.5,7
8205,PI 534127,58,5.5
8206,PI 576393,49.5,5.2
8207,PI 659696,66,8.5
8208,PI 656105,57,6.2
8209,PI 655972,56,7
8210,PI 597960,66,7
8211,PI 533985,47.5,7.5
8212,PI 533991,67,7.2
8213,PI 656034,67.5,7
8214,BTx623,81.5,8
8215,PI 656058,62,7
8216,PI 656052,65,6
8217,PI 576345,37,6.2
8218,PI 655978,73,6.5
8219,BTx623,74.5,7.5
8220,PI 656109,43,4.8
8221,PI 533911,60,7.6
8222,PI 656017,44,4.5
8223,PI 576333,57,7.4
8224,PI 595702,45,5.5
8225,PI 656049,53,7.5
8226,PI 533943,51,6.5
8227,PI 613536,52,7.5
8228,PI 641849,63.5,6.5
8229,PI 533948,57,4.8
8230,PI 534133,74,7.5
8231,PI 642793,55,6
8232,PI 564165,62,7.5
8233,PI 17548,48.5,6.5
8234,BTx623,64.5,7.2
8235,PI 576380,71,8
8236,PI 656059,72.5,6.8
8237,PI 533878,50,5
8238,PI 597971,53.5,6.5
8239,PI 533754,55.5,6
8240,PI 533913,57,6.8
8241,PI 656069,67,7
8242,PI 656053,67,7.8
8243,PI 597973,69.5,5.8
8244,PI 656039,55.5,6
8245,PI 656091,56.5,6.8
8246,PI 655977,55.5,7.4
8247,PI 656024,81,7
8248,PI 656028,46,7.5
8249,PI 656010,60.5,7.5
8250,PI 533752,72,8.8
8251,PI 561072,67.5,7.3
8252,PI 576364,63.5,7.5
8253,PI 533996,55.5,6.2
8254,PI 534123,71,5.8
8255,PI 534063,55.5,5
8256,PI 576339,52.5,7.5
8257,PI 597972,71,6.5
8258,PI 576394,55,5.6
8259,PI 655993,75.5,7.5
8260,PI 533986,69,7.5
8261,PI 533961,59.5,6.5
8262,PI 564164,55,5.2
8263,PI 533955,65,5.5
8264,PI 564163,71,7.5
8265,PI 597957,55.5,6.2
8266,BTx623,67,6
8267,BTx623,66,7.5
8268,PI 656019,71,7
8269,PI 656096,68.5,7
8270,PI 533921,50,5.5
8271,BTx623,64,7
8272,PI 576435,62.5,7.5
8273,PI 595714,56,6
8274,PI 656078,60.5,7.5
8275,PI 576390,52.5,7
8276,BTx623,65,6.5
8277,PI 576401,50,6.5
8278,PI 656120,59,6
8279,PI 576337,61.5,5.5
8280,PI 576385,46,5.5
8281,PI 656021,73.5,7.5
8282,PI 534139,76,4.5
8283,PI 597949,61,4.5
8284,PI 656108,49.5,7
8285,BTx623,75,8.4
8286,PI 576366,35,9
8287,PI 533856,71,8
8288,PI 534097,67,6
8289,PI 533976,62,8
8290,PI 534070,55,7.5
8291,PI 533841,68.5,7
8292,PI 533852,44.5,7
8293,BTx623,71,7
8294,PI 656099,61,8.8
8295,PI 597950,39.5,5.5
8296,PI 659753,59,6
8297,BTx623,72,6.8
8298,PI 656089,52,6.5
8299,PI 576425,56,6.5
8300,PI 534137,63.5,8.5
8301,PI 534132,72,8.5
8302,PI 597961,67,7.5
8303,PI 656046,60.5,8.5
8304,PI 595741,66,6
8305,PI 656005,70,7
8306,PI 656068,73,8
8308,BTx623,52,5
8309,PI 655973,56,8
8310,PI 533937,57,7.2
8311,PI 655999,65,4.2
8312,PI 576418,75.5,7
8313,PI 533902,76,7.5
8314,PI 629059,66,5.8
8315,PI 552861,52,5.5
8316,PI 534099,72.5,6.8
8317,PI 656088,53,6.5
8318,PI 656025,52,8.8
8319,BTx623,64,6.8
8320,PI 533863,64,6.8
8321,PI 534021,61.5,6.5
8322,PI 597964,70,9.5
8323,PI 656077,55,5.5
8324,PI 534155,64.5,8.8
8325,PI 534128,58.5,7
8326,PI 656051,70,9
8327,PI 329435,86,8.3
8328,PI 533824,56.5,7.5
8329,PI 533810,69,8
8330,PI 597968,65.5,7.5
8331,PI 642791,60,6.5
8332,PI 534116,60,7
8333,PI 576340,53.5,6.8
8334,PI 659693,41,4.5
8335,PI 642998,57,6.5
8336,PI 561073,60,7.5
8337,PI 656071,60,7.8
8338,PI 329440,63.5,6.3
8339,BTx623,75,6.5
8341,PI 533979,54,5
8342,PI 533919,77,7.5
8343,BTx623,68,6.5
8344,PI 656056,61,7.5
8345,PI 597952,69,6.7
8346,PI 656085,62,6.5
8347,PI 534054,64,6.5
8348,BTx623,50,5
8349,PI 656048,55.5,6.5
8350,BTx623,67,6.5
8351,PI 642992,70,7.3
8352,PI 585295,67,7.8
8353,PI 656102,49,5.7
8355,PI 533910,63.5,5.5
8356,BTx623,65,6.5
8357,PI 659694,55,5.5
8358,PI 534053,60,5.8
8359,PI 656086,65,8.5
8360,PI 595744,44,6
8361,PI 656115,59,5.5
8362,PI 656014,61.5,5.5
8363,PI 597965,50,5.5
8364,PI 656023,54,6
8365,PI 534138,54,5
8366,PI 534105,78,7.3
8367,PI 534114,55,5.8
8368,PI 533750,65,6.8
8369,PI 561472,60,6.5
8370,PI 576373,60,6.5
8371,PI 595699,65,6.5
8372,PI 533912,45.5,5.5
8373,PI 533972,61,6.5
8374,PI 656061,61.5,6
8375,PI 534157,61.5,6.5
8376,PI 534101,66,7
8377,PI 576396,60,5
8381,PI 656004,67,6
8382,BTx623,75.5,9
8383,PI 656006,56.5,6
8384,PI 534135,38,5.5
8389,PI 576387,58,6
8390,BTx623,72,8
9536,PI 656056,67.5,6.5
9537,PI 597952,74,10.7
9538,PI 656085,71,7.8
9539,PI 656115,58,6
9541,PI 534105,58.5,6.5
9542,PI 533902,65,6
9543,PI 576373,81,9.5
9544,PI 659693,57,6.5
9835,PI 609456,45,7.5
9836,PI 533830,53,6
9838,PI 533785,61.5,6
9843,PI 534112,74,4.3
9844,PI 655998,68,6
