plotNumber,Rep,date,genotype,A,B,score_average,Comment
1185,1,828,PI 629059,3,2.5,2.75,few plants
1186,1,828,PI 576381,1,1,1,
1187,1,828,PI 534006,2,2.5,2.25,few plants
1188,1,828,PI 656003,3,3,3,
1189,1,828,PI 534077,3,3,3,
1190,1,828,PI 574455,2,3,2.5,
1191,1,828,PI 534143,1,1.5,1.25,
1192,1,828,Check,2,2,2,
1193,1,828,PI 533848,4,4,4,
1194,1,828,PI 533866,3,2.5,2.75,
1195,1,828,PI 576362,3,3,3,
1196,1,828,SC0854,3.5,3,3.25,
1197,1,828,PI 659692,4,5,4.5,
1198,1,828,PI 534080,1,3,2,"collected, LG is not"
1199,1,828,PI 533972,2,1,1.5,
1200,1,828,PI 656037,2,1,1.5,
1201,1,828,PI 548797,1,1,1,
1202,1,828,PI 576356,2,1.5,1.75,
1203,1,828,SC1166,4,4,4,
1204,1,828,PI 534038,3,2,2.5,
1205,1,828,PI 655991,2,1,1.5,
1206,1,828,PI 655992,2,1,1.5,
1207,1,828,PI 533855,2.5,3,2.75,
1208,1,828,PI 576416,,,,no plants
1209,1,828,PI 595736,1,1,1,
1210,1,828,PI 533878,3,2,2.5,
1211,1,828,PI 533890,2.5,2,2.25,
1212,1,828,PI 534083,1.5,2,1.75,
1213,1,828,PI 533800,1,1,1,
1214,1,828,PI 533763,4.5,5,4.75,
1215,1,828,PI 534118,1,1.5,1.25,
1216,1,828,PI 595714,2,2.5,2.25,
1217,1,828,PI 655974,1,2,1.5,
1218,1,828,PI 533931,5,5,5,
1219,1,828,PI 533822,2,2,2,
1220,1,828,PI 534060,2.5,3,2.75,
1221,1,828,PI 533839,2,2,2,
1222,1,828,PI 533789,3,2,2.5,
1223,1,828,PI 655983,4,5,4.5,
1224,1,828,Check,2,2,2,
1225,1,828,SC0965,1.5,2,1.75,
1226,1,828,Check,2,2,2,
1227,1,828,PI 595710,3,3.5,3.25,
1228,1,828,PI 576351,1,1,1,
1229,1,828,PI 656077,1.5,2,1.75,
1230,1,828,PI 656010,2,1,1.5,
1231,1,828,PI 533843,1.5,1,1.25,
1232,1,828,PI 533872,1,1,1,
1233,1,828,PI 576410,2.5,3,2.75,
1234,1,828,SC0921,4,4.5,4.25,
1235,1,828,PI 533932,2.5,2,2.25,
1236,1,828,PI 534030,1,1.5,1.25,
1237,1,828,PI 656015,3,3,3,
1238,1,828,PI 534014,2.5,2.5,2.5,
1239,1,828,PI 533746,0.5,5,2.75,
1240,1,828,PI 576363,2,2.5,2.25,
1241,1,828,PI 533975,2.5,3,2.75,
1242,1,828,SC0631,2.5,2,2.25,
1243,1,828,Check,2,1.5,1.75,
1244,1,828,PI 656102,3,2,2.5,
1245,1,828,PI 534127,2,2,2,
1246,1,828,PI 533956,1,1,1,
1247,1,828,PI 533856,1,1,1,
1248,1,828,PI 534055,1,1,1,
1249,1,828,PI 595727,3.5,3,3.25,HR?
1250,1,828,Check,2,2.5,2.25,
1251,1,828,SC0747,3,3,3,
1252,1,828,PI 655971,4,4,4,
1253,1,828,PI 534108,3,2,2.5,
1254,1,828,PI 655970,2,1.5,1.75,
1255,1,828,SC0895,4,5,4.5,
1256,1,828,PI 656113,3,3,3,
1257,1,828,SC0235,4,4,4,
1258,1,828,PI 533996,2,2.5,2.25,
1259,1,828,PI 595725,2,3,2.5,
1260,1,828,PI 576428,1,1,1,
1261,1,828,PI 534131,1,2,1.5,
1262,1,828,Check,2,2,2,
1263,1,828,SC0923,3,3.5,3.25,
1264,1,828,PI 533861,1,1,1,
1265,1,828,PI 534071,3.5,4,3.75,
1266,1,828,PI 656058,3,3,3,
1267,1,828,PI 576336,2,2,2,
1268,1,828,Check,2,2,2,
1269,1,828,PI 534057,4.5,5,4.75,
1270,1,828,PI 533796,4,3.5,3.75,
1271,1,828,PI 533982,2,2,2,
1272,1,828,SC0582,4,3.5,3.75,
1273,1,828,PI 533849,5,5,5,
1274,1,828,PI 656006,1,1,1,
1275,1,828,SC0741,4.5,4,4.25,
1276,1,828,PI 576419,4,3.5,3.75,
1277,1,828,SC0636,3,3.5,3.25,
1278,1,828,PI 576413,3,2,2.5,
1279,1,828,PI 595733,1,1,1,
1280,1,828,PI 564165,2,2,2,
1281,1,828,PI 533896,4,4.5,4.25,
1282,1,828,Check,1,1.5,1.25,
1283,1,828,PI 534165,1,1,1,
1284,1,828,PI 534062,3,2.5,2.75,
1285,1,828,PI 655986,3,2,2.5,
1286,1,828,PI 534089,1,1.5,1.25,
1287,1,828,PI 533857,1,2,1.5,
1288,1,828,PI 534160,2,2,2,
1289,1,828,Check,2,1.5,1.75,
1290,1,828,PI 533850,4,5,4.5,
1291,1,828,SC0870,4,3.5,3.75,
1292,1,828,PI 656052,2,2,2,
1293,1,828,PI 656072,3,3,3,
1294,1,828,PI 534119,1,1,1,
1295,1,828,PI 533888,2,2,2,
1296,1,828,PI 534027,3,3,3,
1297,1,828,SC0178,2,1.5,1.75,
1298,1,828,PI 534138,2,1,1.5,
1299,1,828,Check,2,2,2,
1300,1,828,SC0438,3,2,2.5,
1301,1,828,Check,2.5,2,2.25,
1302,1,828,PI 656018,3,3,3,
1303,1,828,PI 656031,1,1,1,
1304,1,828,PI 533879,3,3,3,
1305,1,828,PI 597961,2,1,1.5,
1306,1,828,PI 533851,3,1,2,RRR is only bipolaris
1307,1,828,PI 534036,1,1,1,
1308,1,828,PI 534048,1,1,1,
1309,1,828,PI 534147,1,1.5,1.25,many freckles
1310,1,828,PI 534122,3,3,3,
1311,1,828,PI 656101,5,5,5,
1312,1,828,PI 534009,3,4,3.5,
1313,1,828,SC0604,3,3,3,
1314,1,828,PI 595719,1.5,2,1.75,
1315,1,828,Check,1,2,1.5,
1316,1,828,PI 597968,1,1,1,
1317,1,828,Check,2,2,2,
1318,1,828,PI 595732,2,2,2,
1319,1,828,PI 576389,2,1.5,1.75,
1320,1,828,PI 534005,3.5,4,3.75,
1321,1,828,PI 533807,2,2.5,2.25,
1322,1,828,PI 655978,3,3,3,
1323,1,828,PI 656065,4,3.5,3.75,
1324,1,828,PI 534022,4,4.5,4.25,
1325,1,828,PI 655977,2,2,2,
1326,1,828,PI 656017,3,1.5,2.25,
1327,1,828,PI 533978,3,3,3,
1328,1,828,SC0547,,,,no plants
1329,1,828,PI 533871,1,1,1,
1330,1,828,PI 595740,2,1,1.5,
1331,1,828,PI 576401,3,2.5,2.75,
1332,1,828,PI 533986,2.5,2,2.25,
1333,1,828,PI 533776,3,3,3,
1334,1,828,PI 533948,2.5,1.5,2,
1335,1,828,PI 597975,1,1.5,1.25,
1336,1,828,PI 576437,1,1.5,1.25,
1337,1,828,PI 597978,2.5,2.5,2.5,
1338,1,828,PI 542718,4,5,4.5,
1339,1,828,PI 597949,4,3.5,3.75,
1340,1,828,PI 533755,2,2,2,
1341,1,828,PI 656053,2,2,2,
1342,1,828,PI 595721,2,2,2,
1343,1,828,Check,2,2.5,2.25,
1344,1,828,SC0247,3,4,3.5,
1345,1,828,PI 533936,2.5,2,2.25,
1346,1,828,PI 534095,3,3.5,3.25,
1347,1,828,Check,3,3,3,
1348,1,828,PI 597967,2,1,1.5,
1349,1,828,PI 534157,2,2,2,
1350,1,828,PI 576380,2,2,2,
1351,1,828,PI 533782,1,1.5,1.25,bacteria
1352,1,828,PI 595745,1,1,1,
1353,1,828,SC0914,1,1.5,1.25,
1354,1,828,PI 656088,3.5,3,3.25,
1355,1,828,PI 533913,3,3,3,
1356,1,828,PI 595702,3,2.5,2.75,
1357,1,828,SC1170,3,2,2.5,
1358,1,828,PI 656103,4,5,4.5,
1359,1,828,PI 576423,1,1,1,
1360,1,828,PI 597979,1,1,1,
1361,1,828,Check,1,1.5,1.25,
1362,1,828,PI 576360,3,3,3,
1363,1,828,PI 534166,1,2,1.5,
1364,1,828,PI 533818,2,2.5,2.25,
1365,1,828,SC0156,2.5,3,2.75,
1366,1,828,PI 533813,1,1,1,
1367,1,828,PI 595712,1.5,2,1.75,
1368,1,828,SC0777,2,1.5,1.75,
1369,1,828,PI 533894,3,3.5,3.25,
1370,1,828,PI 656093,2,2,2,
1371,1,828,PI 533876,3.5,4,3.75,
1372,1,828,Check,2,1.5,1.75,
1373,1,828,PI 534040,3,2,2.5,
1374,1,828,PI 534016,3,3,3,
1375,1,828,SC1442,2,2.5,2.25,
1376,1,828,PI 533819,2,3,2.5,
1377,1,828,PI 533938,3,2,2.5,
1378,1,828,PI 533928,2,1.5,1.75,
1379,1,828,Check,2,2,2,
1380,1,828,PI 597964,,,,no plants
1381,1,828,PI 656071,2,2,2,
1382,1,828,PI 533974,,,,no plants
1383,1,828,PI 655982,1,1.5,1.25,
1384,1,828,SC0287,3,3,3,
1385,1,828,PI 595704,2,2.5,2.25,
1386,1,828,PI 659691,2,1,1.5,
1387,1,828,PI 564163,2,1.5,1.75,
1388,1,828,PI 576418,3,3,3,
1389,1,828,PI 533916,1.5,2,1.75,
1390,1,828,PI 656066,1,1,1,looks like maize
1391,1,828,PI 534087,2,3,2.5,
1392,1,828,PI 597971,1,1,1,
1393,1,828,PI 656023,2,1,1.5,
1394,1,828,PI 533870,2,2,2,
1395,1,828,PI 656104,2.5,2,2.25,
1396,1,828,Fill,3,2.5,2.75,
1397,1,828,PI 533877,1,2,1.5,
1398,1,828,SC0041,2,2,2,
1399,1,828,PI 533854,4,3,3.5,
1400,1,828,PI 576337,2,1,1.5,bipolaris
1401,1,828,PI 595731,3,3,3,
1402,1,828,SC0877,3,2,2.5,
1403,1,828,PI 533915,3,2,2.5,
1404,1,828,PI 533816,4,4.5,4.25,
1405,1,828,PI 533774,1,1,1,
1406,1,828,PI 533991,3,2,2.5,
1407,1,828,PI 533984,1,1,1,
1408,1,828,Check,3,2.5,2.75,
1409,1,828,PI 656106,1.5,1.5,1.5,
1410,1,828,PI 533897,2.5,3,2.75,
1411,1,828,PI 656001,1,1,1,
1412,1,828,BTx399,2,1,1.5,
1413,1,828,PI 533930,1,1,1,
1414,1,828,PI 540816,1,2,1.5,
1415,1,828,PI 534001,1,1,1,
1416,1,828,PI 533803,2,2,2,
1417,1,828,PI 533983,1.5,2,1.75,
1418,1,828,PI 597976,1,1,1,
1419,1,828,PI 576392,3,3,3,
1420,1,828,PI 656060,3,3,3,bipo+colleto
1421,1,828,PI 533808,3,2,2.5,
1422,1,828,PI 534123,3,3,3,
1423,1,828,PI 534142,2,2,2,
1424,1,828,PI 576349,2,2,2,
1425,1,828,PI 655980,3,3.5,3.25,
1426,1,828,PI 534010,3.5,4,3.75,
1427,1,828,PI 533905,3,3.5,3.25,
1428,1,828,PI 533886,3,3,3,
1429,1,828,PI 534158,2,2,2,
1430,1,828,PI 656094,2.5,3,2.75,
1431,1,828,PI 595711,3,3.5,3.25,
1432,1,828,PI 655996,1,1,1,
1433,1,828,Check,2,1.5,1.75,
1434,1,828,PI 533831,1,1,1,
1435,1,828,PI 533942,4.5,5,4.75,
1436,1,828,PI 534145,4.5,4.5,4.5,
1437,1,828,PI 576421,1,2,1.5,bipolaris
1438,1,828,PI 655989,2,2,2,
1439,1,828,PI 576339,1,1,1,
1440,1,828,PI 656020,2,1.5,1.75,
1441,1,828,PI 595705,4,5,4.5,few plants
1442,1,828,PI 533994,3,3,3,
1443,1,828,PI 153846,3.5,3,3.25,
1444,1,828,PI 576387,2,2,2,collected
1445,1,828,PI 576366,2,1,1.5,
1446,1,828,PI 533979,1,1,1,
1447,1,828,PI 153844,3,3,3,
1448,1,828,PI 656090,3,2,2.5,
1449,1,828,SC0463,2,2,2,
1450,1,828,PI 534128,1,1,1,
1451,1,828,PI 534017,1,1,1,
1452,1,828,PI 533794,2,1.5,1.75,
1453,1,828,PI 533964,1,2,1.5,
1454,1,828,PI 534039,1,1.5,1.25,
1455,1,828,PI 656034,2,2,2,
1456,1,828,SC0191,4,4,4,
1457,1,828,Check,1,2,1.5,mostly bacteria
1458,1,828,SC0297,4,4,4,
1459,1,828,PI 533904,3,3,3,mostly bacteria
1460,1,828,PI 595743,2,2.5,2.25,mostly bacteria
1461,1,828,Check,2,2,2,mostly bacteria
1462,1,828,PI 534054,1,1.5,1.25,mostly bacteria
1463,1,828,PI 561073,2.5,3.5,3,
1464,1,828,PI 534034,4,3,3.5,
1465,1,828,PI 597958,2,2,2,
1466,1,828,PI 656100,3,2.5,2.75,
1467,1,828,Check,2,2.5,2.25,
1468,1,828,SC0618,2,2,2,
1469,1,828,PI 656054,2,2,2,
1470,1,828,PI 656036,1,1,1,
1471,1,828,PI 533765,3.5,4,3.75,
1472,1,828,PI 48770,2.5,3,2.75,
1473,1,828,SC0263,3,3.5,3.25,
1474,1,828,PI 597966,2,2,2,
1475,1,828,SC1024,4,3.5,3.75,
1476,1,828,PI 533987,3,3,3,
1477,1,828,PI 656118,2,1,1.5,
1478,1,828,PI 534136,3,3,3,
1479,1,828,PI 576409,2,2,2,
1480,1,828,PI 595724,2.5,3,2.75,
1481,1,828,PI 576402,3,3.5,3.25,
1482,1,828,PI 534159,1,1,1,
1483,1,828,PI 534076,3.5,4,3.75,
1484,1,828,PI 534094,2,2,2,
1485,1,828,PI 534056,2,1,1.5,
1486,1,828,PI 534106,1,1,1,
1487,1,828,PI 533834,2,1,1.5,
1488,1,828,PI 533781,1,1,1,
1489,1,828,PI 533935,3,3,3,
1490,1,828,PI 613536,2,2,2,
1491,1,828,PI 533953,2,3,2.5,
1492,1,828,Check,2.5,3,2.75,
1493,1,828,PI 534125,2,1.5,1.75,
1494,1,828,SC1133,2,1.5,1.75,
1495,1,828,SC0550,2,2,2,
1496,1,828,Check,2,2,2,
1497,1,828,PI 659695,2,2,2,
1498,1,828,PI 533929,2,2.5,2.25,
1499,1,828,PI 533756,2.5,2,2.25,
1500,1,828,PI 656014,1.5,3,2.25,
1501,1,828,PI 534139,2,2,2,
1502,1,828,SC1193,4,4,4,
1503,1,828,PI 533769,1,1,1,
1504,1,828,PI 656112,2.5,2.5,2.5,
1505,1,828,PI 656033,2,2,2,
1506,1,828,PI 576373,2,2,2,few plants
1507,1,828,PI 656116,3.5,4,3.75,
1508,1,828,SC0201,3,3,3,
1509,1,828,PI 576404,3.5,4,3.75,
1510,1,828,PI 629040,2,2,2,
1511,1,828,SC0517,2.5,2,2.25,
1512,1,828,PI 534050,2,1.5,1.75,elmintosporium collected NLS
1513,1,828,PI 534099,1.5,2,1.75,
1514,1,828,PI 597962,1.5,2,1.75,
1515,1,828,SC0003,2,2,2,
1516,1,828,PI 656002,2,1.5,1.75,
1517,1,828,Check,2,2,2,
1518,1,828,PI 533914,2.5,2,2.25,
1519,1,828,PI 656044,1,1.5,1.25,
1520,1,828,PI 576394,1,1,1,
1521,1,828,PI 533880,1,1,1,bacteria
1522,1,828,Check,2.5,3,2.75,
1523,1,828,PI 533833,2,2,2,
1524,1,828,SC1120,2,1.5,1.75,
1525,1,828,PI 576359,3,3,3,
1526,1,828,PI 656095,2.5,3,2.75,
1527,1,828,Check,2,2,2,
1528,1,828,PI 656013,4,4.5,4.25,
1529,1,828,PI 533965,2,2,2,
1530,1,828,PI 656107,3,2.5,2.75,
1531,1,828,PI 534028,3,3,3,
1532,1,828,PI 576390,4,3,3.5,
1533,1,828,PI 534070,3,3,3,
1534,1,828,PI 533786,2,2,2,
1535,1,828,PI 534031,2.5,3,2.75,
1536,1,828,PI 576412,2,2,2,
1537,1,828,PI 533762,1,1.5,1.25,
1538,1,828,PI 533791,3.5,1,2.25,bipolaris
1539,1,828,PI 533787,2,2,2,
1540,1,828,PI 533773,3,3,3,
1541,1,828,PI 595723,3,3,3,
1542,1,828,PI 656025,4,5,4.5,
1543,1,828,PI 576355,2.5,2,2.25,
1544,1,828,PI 534111,2,2,2,
1545,1,828,PI 656120,3,3,3,
1546,1,828,PI 576331,3.5,2,2.75,
1547,1,828,SC0814,3,2.5,2.75,
1548,1,828,SC0276,3,3,3,
1549,1,828,PI 533864,1,1,1,
1550,1,828,PI 533824,2.5,3,2.75,
1551,1,828,Check,2,2.5,2.25,
1552,1,828,PI 576430,2,2,2,
1553,1,828,PI 597973,2,2,2,
1554,1,828,PI 533885,4,2,3,
1555,1,828,PI 597954,3,3,3,
1556,1,828,PI 533926,3.5,4,3.75,
1557,1,828,PI 576370,3,3,3,
1558,1,828,PI 534037,3,3,3,
1559,1,828,PI 533887,3,2,2.5,
1560,1,828,PI 576353,1,1,1,
1561,1,828,PI 534107,2.5,2.5,2.5,
1562,1,828,PI 576426,3,3,3,
1563,1,828,PI 656114,1,1.5,1.25,
1564,1,828,SC0713,2.5,2.5,2.5,
1565,1,828,PI 656097,3,3,3,
1566,1,828,PI 534154,2.5,2,2.25,
1567,1,828,PI 576332,3,3.5,3.25,
1568,1,828,PI 533867,4,4,4,
1569,1,828,PI 534011,2.5,2,2.25,
1570,1,828,PI 534148,2,1.5,1.75,
1571,1,828,PI 655997,1,1,1,
1572,1,828,SC0436,4,3.5,3.75,
1573,1,828,PI 533829,4,4,4,
1574,1,828,PI 597955,1,1,1,
1575,1,828,PI 659694,1.5,1,1.25,
1576,1,828,PI 534110,2.5,3.5,3,
1577,1,828,PI 534113,2,2,2,
1578,1,828,PI 534044,1,2,1.5,
1579,1,828,PI 656092,2.5,3,2.75,
1580,1,828,PI 533995,2,2,2,
1581,1,828,PI 597974,2,2.5,2.25,
1582,1,828,PI 533998,2,2.5,2.25,
1583,1,828,PI 329435,2,2,2,
1584,1,828,PI 533906,2.5,1.5,2,
1585,1,828,PI 534126,3,3,3,
1586,1,828,PI 533792,2.5,2,2.25,
1587,1,828,SC0542,2,2,2,
1588,1,828,Check,1,1,1,
1589,1,828,PI 533971,2,2.5,2.25,
1590,1,828,PI 533766,2,2,2,
1591,1,828,SC0470,3,3.5,3.25,
1592,1,828,PI 533882,1,1,1,few plants
1593,1,828,PI 576364,3,3,3,
1594,1,828,PI 533939,3.5,4,3.75,
1595,1,828,PI 659693,3,3.5,3.25,
1596,1,828,PI 576329,2,3,2.5,
1597,1,828,PI 656048,2,2,2,
1598,1,828,PI 534004,3,3.5,3.25,
1599,1,828,PI 534164,3,2,2.5,
1600,1,828,PI 656063,2,2,2,
1601,1,828,Check,3,3,3,
1602,1,828,PI 656005,2,2,2,
1603,1,828,PI 533893,2,2,2,
1604,1,828,PI 576344,2.5,2.5,2.5,
1605,1,828,PI 576369,3,2.5,2.75,
1606,1,828,PI 533908,3,3,3,
1607,1,828,SC0150,2,2,2,
1608,1,828,PI 534079,2,3,2.5,
1609,1,828,SC0249,2.5,2,2.25,
1610,1,828,PI 534137,2,2,2,
1611,1,828,PI 534114,1,1.5,1.25,
1612,1,828,PI 595734,1,1,1,
1613,1,828,PI 534074,2,2,2,
1614,1,828,PI 656083,3,3,3,
1615,1,828,SC0556,3,2.5,2.75,
1616,1,828,PI 552861,3,3.5,3.25,
1617,1,828,PI 534167,3,3,3,
1618,1,828,Check,2,2,2,
1619,1,828,PI 534090,1,2,1.5,
1620,1,828,PI 656057,2,2,2,
1621,1,828,PI 534163,2,1,1.5,
1622,1,828,PI 595720,1,2,1.5,
1623,1,828,SC0999,2,1.5,1.75,
1624,1,828,PI 656056,2,2,2,
1625,1,828,PI 534026,2.5,3,2.75,
1626,1,828,Check,1,1.5,1.25,bacteria
1627,1,828,PI 533958,2,2.5,2.25,
1628,1,828,PI 533751,2.5,2,2.25,
1629,1,828,PI 533802,1,1,1,
1630,1,828,PI 534117,1,2,1.5,
1631,1,828,PI 533837,1,1.5,1.25,
1632,1,828,PI 17548,3,3,3,
1633,1,828,PI 533798,2,1,1.5,
1634,1,828,PI 642998,1,2,1.5,
