"Variety Name","Plot Number","Block","LeafPhotoA","LeafPhotoNotesA"
"No. 25 Gobo, Kaichama Ethiopia","10213","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10213_LeafPhotoA_2025-10-21%2016_22_31.934-05_00.jpg",
"SAP-250","10214","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10214_LeafPhotoA_2025-10-21%2016_23_24.093-05_00.jpg",
"A 84","10215","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10215_LeafPhotoA_2025-10-21%2016_24_32.490-05_00.jpg",
"SC 49","10216","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10216_LeafPhotoA_2025-10-21%2016_25_30.452-05_00.jpg",
"TX2784","10217","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10217_LeafPhotoA_2025-10-21%2016_27_33.187-05_00.jpg",
"Check","10218","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10218_LeafPhotoA_2025-10-21%2016_28_35.785-05_00.jpg",
"Accho Karuho","10219","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10219_LeafPhotoA_2025-10-21%2016_29_28.049-05_00.jpg",
"SV 34","10220","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10220_LeafPhotoA_2025-10-21%2016_30_15.029-05_00.jpg",
"AS 2613 NT","10221","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10221_LeafPhotoA_2025-10-21%2016_31_53.189-05_00.jpg",
"Mashica","10222","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10222_LeafPhotoA_2025-10-21%2016_33_05.685-05_00.jpg",
"RTX435","10223","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10223_LeafPhotoA_2025-10-21%2016_34_01.169-05_00.jpg",
"Check","10224","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10224_LeafPhotoA_2025-10-21%2016_35_00.194-05_00.jpg",
"N290B","10225","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10225_LeafPhotoA_2025-10-21%2016_40_26.242-05_00.jpg",
"BTx642","10226","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10226_LeafPhotoA_2025-10-21%2016_41_35.577-05_00.jpg",
"Check","10227","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10227_LeafPhotoA_2025-10-21%2016_38_24.729-05_00.jpg",
"ZA41 Danye","10301","1",,
"Jola Nandyal","10302","1",,
"R4, B1","10303","1",,
"Check","10304","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10304_LeafPhotoA_2025-10-23%2009_55_18.087-05_00.jpg",
"SAP-306","10305","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10305_LeafPhotoA_2025-10-23%2009_56_10.314-05_00.jpg",
"A/BTx635","10306","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10306_LeafPhotoA_2025-10-23%2009_57_10.156-05_00.jpg",
"SC 1047","10307","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10307_LeafPhotoA_2025-10-23%2009_58_23.780-05_00.jpg",
"SC 332","10308","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10308_LeafPhotoA_2025-10-23%2009_59_14.938-05_00.jpg",
"KANSAS ORANGE","10309","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10309_LeafPhotoA_2025-10-23%2010_00_30.749-05_00.jpg",
"SAP-219","10310","1",,"dead"
"Check","10311","1",,"dead"
"Check","10312","1",,"dead"
"SAP-398","10313","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10313_LeafPhotoA_2025-10-23%2010_01_45.400-05_00.jpg",
"SAP-287","10314","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10314_LeafPhotoA_2025-10-23%2010_02_50.119-05_00.jpg",
"SAP-342","10315","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10315_LeafPhotoA_2025-10-23%2010_03_36.682-05_00.jpg",
"SC 621","10316","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10316_LeafPhotoA_2025-10-23%2010_04_34.824-05_00.jpg",
"Shan Qui Red","10317","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10317_LeafPhotoA_2025-10-23%2010_05_12.349-05_00.jpg",
"BTx3042","10318","1",,"dead"
"Check","10319","1",,"dead"
"Check","10320","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10320_LeafPhotoA_2025-10-23%2010_06_23.841-05_00.jpg",
"T 28","10321","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10321_LeafPhotoA_2025-10-23%2010_07_02.796-05_00.jpg",
"Tx2917","10322","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10322_LeafPhotoA_2025-10-23%2010_08_04.346-05_00.jpg",
"SAP-225","10323","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10323_LeafPhotoA_2025-10-23%2010_08_54.268-05_00.jpg",
"Check","10324","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10324_LeafPhotoA_2025-10-23%2010_09_44.978-05_00.jpg",
"JOCORO","10325","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10325_LeafPhotoA_2025-10-23%2010_10_35.765-05_00.jpg",
"R9188","10326","1",,
"Tortillerio","10327","1",,
"Check","10401","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10401_LeafPhotoA_2025-10-23%2014_15_29.042-05_00.jpg",
"Monshal","10402","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10402_LeafPhotoA_2025-10-23%2014_18_09.396-05_00.jpg",
"EC 21463 STR 5/1","10403","1",,"na"
"BTx640","10404","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10404_LeafPhotoA_2025-10-23%2014_20_35.958-05_00.jpg",
"SAP-325","10405","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10405_LeafPhotoA_2025-10-23%2014_21_58.543-05_00.jpg",
"TX2783","10406","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10406_LeafPhotoA_2025-10-23%2014_23_21.950-05_00.jpg",
"SC 1019","10407","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10407_LeafPhotoA_2025-10-23%2014_24_42.081-05_00.jpg",
"ROX ORANGE","10408","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10408_LeafPhotoA_2025-10-23%2014_25_51.798-05_00.jpg",
"CE151-262-A1","10409","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10409_LeafPhotoA_2025-10-23%2014_27_00.554-05_00.jpg",
"No. 4 Hadoui","10410","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10410_LeafPhotoA_2025-10-23%2014_28_23.573-05_00.jpg",
"KA 24","10411","1",,"na"
"AS 4055 N Kambwa","10412","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10412_LeafPhotoA_2025-10-23%2014_29_49.221-05_00.jpg",
"Check","10413","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10413_LeafPhotoA_2025-10-23%2014_31_26.015-05_00.jpg",
"SAP-138","10414","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10414_LeafPhotoA_2025-10-23%2014_33_44.917-05_00.jpg",
"Check","10415","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10415_LeafPhotoA_2025-10-23%2014_35_26.046-05_00.jpg",
"SC 525","10416","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10416_LeafPhotoA_2025-10-23%2014_36_59.090-05_00.jpg",
"SC 1439","10417","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10417_LeafPhotoA_2025-10-23%2014_38_29.798-05_00.jpg",
"SC 1215","10418","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10418_LeafPhotoA_2025-10-23%2014_40_10.691-05_00.jpg",
"Brawley","10419","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10419_LeafPhotoA_2025-10-23%2014_42_29.271-05_00.jpg",
"Orange No. l, Baijo","10420","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10420_LeafPhotoA_2025-10-23%2014_44_16.385-05_00.jpg",
"Malwal Aweil","10421","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10421_LeafPhotoA_2025-10-23%2014_45_49.566-05_00.jpg",
"Tx2891","10422","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10422_LeafPhotoA_2025-10-23%2014_47_13.535-05_00.jpg",
"SAP-133","10423","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10423_LeafPhotoA_2025-10-23%2014_48_36.001-05_00.jpg",
"Check","10424","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10424_LeafPhotoA_2025-10-23%2014_50_40.575-05_00.jpg",
"RTAM428","10425","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10425_LeafPhotoA_2025-10-23%2014_52_48.645-05_00.jpg",
"Check","10426","1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F10426_LeafPhotoA_2025-10-23%2014_54_29.584-05_00.jpg",
