image_path,segmentation_method
data/fvsu2025/sap1/250533_LeafPhotoA_2025-10-03 09_22_03.385-05_00.jpg,CV2
data/fvsu2025/sap1/250432_LeafPhotoA_2025-10-02 14_05_00.147-05_00.jpg,CV2
data/fvsu2025/sap1/250227_LeafPhotoA_2025-10-01 09_38_13.770-05_00.jpg,CV2
data/fvsu2025/sap1/250409_LeafPhotoA_2025-10-02 10_31_11.635-05_00.jpg,CV2
data/fvsu2025/sap1/250511_LeafPhotoA_2025-10-03 09_07_01.218-05_00.jpg,CV2
data/fvsu2025/sap1/250507_LeafPhotoA_2025-10-03 08_51_11.100-05_00.jpg,CV2
data/fvsu2025/sap1/250420_LeafPhotoA_2025-10-02 13_38_00.103-05_00.jpg,CV2
data/fvsu2025/sap1/250398_LeafPhotoA_2025-10-02 10_13_53.486-05_00.jpg,CV2
data/fvsu2025/sap1/250496_LeafPhotoA_2025-10-03 08_39_59.262-05_00.jpg,CV2
data/fvsu2025/sap1/250503_LeafPhotoA_2025-10-03 08_47_02.442-05_00.jpg,CV2
data/fvsu2025/sap1/250497_LeafPhotoA_2025-10-03 08_42_01.822-05_00.jpg,SAM3
data/fvsu2025/sap1/250439_LeafPhotoA_2025-10-02 13_53_58.743-05_00.jpg,CV2
data/fvsu2025/sap1/250486_LeafPhotoA_2025-10-02 14_31_58.633-05_00.jpg,CV2
data/fvsu2025/sap1/250002_LeafPhotoA_2025-10-01 08_14_29.431-05_00.jpg,CV2
data/fvsu2025/sap1/250554_LeafPhotoA_2025-10-03 09_31_47.559-05_00.jpg,CV2
data/fvsu2025/sap1/250531_LeafPhotoA_2025-10-03 09_20_02.197-05_00.jpg,CV2
data/fvsu2025/sap1/250488_LeafPhotoA_2025-10-02 14_35_36.776-05_00.jpg,CV2
data/fvsu2025/sap1/250417_LeafPhotoA_2025-10-02 13_34_28.921-05_00.jpg,CV2
data/fvsu2025/sap1/250286_LeafPhotoA_2025-10-01 13_46_09.064-05_00.jpg,CV2
data/fvsu2025/sap1/250234_LeafPhotoA_2025-10-01 09_48_27.900-05_00.jpg,CV2
data/fvsu2025/sap1/250008_LeafPhotoA_2025-10-01 08_36_58.860-05_00.jpg,CV2
data/fvsu2025/sap1/250068_LeafPhotoA_2025-10-01 09_16_27.794-05_00.jpg,CV2
data/fvsu2025/sap1/250309_LeafPhotoA_2025-10-01 14_29_16.909-05_00.jpg,CV2
data/fvsu2025/sap1/250393_LeafPhotoA_2025-10-02 10_37_19.524-05_00.jpg,CV2
data/fvsu2025/sap1/250304_LeafPhotoA_2025-10-01 14_15_17.950-05_00.jpg,CV2
data/fvsu2025/sap1/250303_LeafPhotoA_2025-10-01 14_14_00.146-05_00.jpg,CV2
data/fvsu2025/sap1/250298_LeafPhotoA_2025-10-01 14_07_10.363-05_00.jpg,CV2
data/fvsu2025/sap1/250421_LeafPhotoA_2025-10-02 13_39_09.852-05_00.jpg,CV2
data/fvsu2025/sap1/250418_LeafPhotoA_2025-10-02 13_36_14.311-05_00.jpg,CV2
data/fvsu2025/sap1/250584_LeafPhotoA_2025-10-03 10_26_58.128-05_00.jpg,CV2
data/fvsu2025/sap1/250254_LeafPhotoA_2025-10-01 10_45_33.943-05_00.jpg,CV2
data/fvsu2025/sap1/250500_LeafPhotoNotesA_2025-10-03 08_45_18.631-05_00.jpg,CV2
data/fvsu2025/sap1/250312_LeafPhotoA_2025-10-01 14_25_53.072-05_00.jpg,CV2
data/fvsu2025/sap1/250404_LeafPhotoA_2025-10-02 10_24_42.934-05_00.jpg,CV2
data/fvsu2025/sap1/250573_LeafPhotoA_2025-10-03 10_40_01.875-05_00.jpg,CV2
data/fvsu2025/sap1/250493_LeafPhotoA_2025-10-03 08_37_50.924-05_00.jpg,CV2
data/fvsu2025/sap1/250441_LeafPhotoA_2025-10-02 13_51_02.584-05_00.jpg,CV2
data/fvsu2025/sap1/250529_LeafPhotoA_2025-10-03 09_17_58.683-05_00.jpg,CV2
data/fvsu2025/sap1/250496_LeafPhotoA_2025-10-03 08_40_35.101-05_00.jpg,CV2
data/fvsu2025/sap1/250249_LeafPhotoA_2025-10-01 10_38_59.130-05_00.jpg,CV2
data/fvsu2025/sap1/250401_LeafPhotoA_2025-10-02 10_19_04.994-05_00.jpg,CV2
data/fvsu2025/sap1/250305_LeafPhotoA_2025-10-01 14_33_20.931-05_00.jpg,CV2
data/fvsu2025/sap1/250237_LeafPhotoA_2025-10-01 09_52_46.510-05_00.jpg,CV2
data/fvsu2025/sap1/250516_LeafPhotoA_2025-10-03 09_00_25.408-05_00.jpg,CV2
data/fvsu2025/sap1/250505_LeafPhotoA_2025-10-03 08_48_43.305-05_00.jpg,CV2
data/fvsu2025/sap1/250427_LeafPhotoA_2025-10-02 13_47_36.185-05_00.jpg,CV2
