cluster025,n_embeddings,cluster_type,severity_related,severity_class,median_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,example_embeddings,has_validated,has_validated_or_proposed,candidate_genes
54,2,multi_trait,False,not_severity_correlated,0.0560478418326491,0.0585558914576229,0.0,embedding_mean_232;embedding_std_872,False,False,
55,37,multi_trait,False,not_severity_correlated,0.1707117269497341,0.4534666213348734,0.1081081081081081,embedding_mean_75;embedding_mean_153;embedding_mean_357;embedding_mean_595;embedding_mean_631;embedding_mean_714;embedding_mean_864;embedding_mean_988;embedding_std_2;embedding_std_5;embedding_std_48;embedding_std_71,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
56,10,multi_trait,False,not_severity_correlated,0.2287206746441698,0.3571797778302986,0.0,embedding_mean_508;embedding_mean_900;embedding_std_16;embedding_std_42;embedding_std_150;embedding_std_245;embedding_std_642;embedding_std_827;embedding_std_957;embedding_std_987,False,False,
57,1,singleton,True,severity_correlated,0.4274964593268958,0.4274964593268958,1.0,embedding_std_753,False,False,
58,2,multi_trait,False,not_severity_correlated,0.2078015525333445,0.3701442986965847,0.0,embedding_mean_6;embedding_std_121,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
59,1,singleton,False,not_severity_correlated,0.1770279290133324,0.1770279290133324,0.0,embedding_std_410,False,False,
60,4,multi_trait,False,not_severity_correlated,0.0999766813900973,0.325402052059134,0.0,embedding_mean_45;embedding_mean_270;embedding_mean_695;embedding_std_627,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
61,4,multi_trait,True,severity_correlated,0.5160795201139775,0.6276643104545468,0.75,embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
62,8,multi_trait,True,severity_correlated,0.3770364791633294,0.5200566075020963,0.5,embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847,True,True,Sobic.001G185000;Sobic.001G185100;Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
63,3,multi_trait,True,severity_correlated,0.32985454862832,0.5236187921862129,0.3333333333333333,embedding_mean_59;embedding_mean_846;embedding_std_89,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
64,3,multi_trait,True,severity_correlated,0.3793065006345797,0.6650398477414227,0.3333333333333333,embedding_mean_155;embedding_mean_210;embedding_std_785,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
65,5,multi_trait,False,not_severity_correlated,0.3044173484294785,0.4416131224859598,0.4,embedding_mean_107;embedding_std_149;embedding_std_305;embedding_std_374;embedding_std_927,True,True,Sobic.002G022600;Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
66,2,multi_trait,True,severity_correlated,0.3833560950044954,0.4567874647631279,0.5,embedding_mean_973;embedding_std_255,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
67,7,multi_trait,False,not_severity_correlated,0.1182454629626175,0.1476072315319305,0.0,embedding_mean_164;embedding_mean_454;embedding_mean_510;embedding_mean_549;embedding_mean_585;embedding_mean_927;embedding_std_679,True,True,Sobic.009G217900;Sobic.009G221000;Sobic.009G221266
