trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50,cluster025,human_score,percentUnhealthy,max_abs_severity_r,severity_r_ge_0_4,severity_r_ge_0_5,n_loci,has_validated_locus,has_proposed_locus,has_new_annotation_locus,candidate_loci,reported_candidate_genes,has_validated_or_proposed_locus,has_any_reported_candidate_locus
embedding_mean_245,6,11,18,11,0.1927473128460398,0.1578042323660485,0.1927473128460398,False,False,6,False,True,False,10:51759875-51859180;4:2749159-2803702;5:64014880-64046445;5:67522914-67522914;7:62853152-63323476;7:67838810-67838810,Sobic.007G163100,True,True
embedding_mean_246,1,72,111,72,0.0108374430123687,0.0999331820275439,0.0999331820275439,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_247,1,123,176,123,0.1008151001711532,0.0455399654089302,0.1008151001711532,False,False,1,False,False,False,10:25249269-25249269,,False,False
embedding_mean_261,2,51,75,51,0.1920153030331659,0.3190882184503869,0.3190882184503869,False,False,2,False,False,True,1:65358296-65371952;3:76282336-76285032,Sobic.001G323801,False,True
embedding_mean_263,1,72,111,72,0.2419829259425922,0.2260224853446319,0.2419829259425922,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_266,2,124,177,124,0.0078490384690853,0.0358405932146039,0.0358405932146039,False,False,2,False,False,False,2:57402639-57402639;3:73858919-73858919,,False,False
embedding_mean_267,1,72,111,72,0.3018296302607544,0.397128405774625,0.397128405774625,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_269,1,72,111,72,0.1649045056614634,0.1529225924927116,0.1649045056614634,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_270,1,60,91,60,0.0863504315991532,0.0468049367485597,0.0863504315991532,False,False,1,False,False,False,6:57033584-57315023,,False,False
embedding_mean_272,1,22,32,22,0.0402518482083353,0.0898685943630875,0.0898685943630875,False,False,1,False,False,False,2:6607927-6737765,,False,False
embedding_mean_273,2,44,62,44,0.2423630787230191,0.3211953017639173,0.3211953017639173,False,False,2,False,False,False,4:16842234-20745353;6:57881583-58658248,,False,False
embedding_mean_275,1,31,44,31,0.5058023578220808,0.5472618659450357,0.5472618659450357,True,True,1,False,False,False,4:64445411-65094100,,False,False
